10．中川区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
95,下之田公園,中川区供米田二丁目,0.29 ,S58
96,中之通公園,中川区西伏屋二丁目,0.25 ,S58
97,伏屋公園,中川区伏屋三丁目,0.29 ,S58
98,下之島公園,中川区伏屋三丁目,0.26 ,S58
99,北堤緑地,中川区富田町大字前田字北堤,0.10 ,S58
100,大当郎緑地,中川区大当郎二丁目,0.28 ,S58
101,中流公園,中川区戸田ゆたか二丁目,0.25 ,S58
102,正色公園,中川区下之一色町字古川,0.09 ,S58
103,打出第二公園,中川区打出二丁目,0.29 ,S58
104,庄田公園,中川区春田四丁目,0.22 ,S58
105,横堀公園,中川区露橋一丁目,0.05 ,S58
106,荒江北公園,中川区荒江町,0.12 ,S58
107,西古渡公園,中川区尾頭橋四丁目,0.20 ,S58
108,八幡南公園,中川区尾頭橋四丁目,0.17 ,S58
109,西川田公園,中川区助光三丁目,0.25 ,S60
110,松重閘門公園,"中川区山王一丁目、西日置町字桑木島、
　　字南出、松重町",0.23 ,S61
111,波花公園,中川区一色新町三丁目,0.38 ,S61
112,荒越北公園,中川区荒越町一丁目,0.28 ,S61
113,水落公園,中川区かの里一丁目,0.23 ,S61
114,乗江公園,中川区かの里二丁目,0.25 ,S61
115,木藪公園,中川区大当郎一丁目,0.24 ,S62
116,近内公園,中川区かの里一丁目,0.21 ,S62
117,小碓緑道,中川区明徳町４丁目,0.18 ,S62
118,東出公園,中川区山王一丁目,0.09 ,S62
119,山王公園,中川区山王四丁目,0.19 ,S62
120,吉津公園,中川区吉津二丁目,0.15 ,S62
121,古苗代公園,中川区吉津三丁目,0.38 ,S62
122,松下公園,中川区吉津四丁目,0.29 ,S62
123,藤西公園,中川区吉津四丁目,0.22 ,S62
124,若宮公園,中川区吉津五丁目,0.15 ,S62
125,刎畑公園,中川区東かの里町,0.20 ,S63
126,柳堀公園,中川区柳堀町,0.06 ,H1
127,四畝公園,中川区かの里二丁目,0.27 ,H1
128,西金公園,中川区東春田二丁目,0.25 ,H1
129,北畑公園,中川区万場一丁目,0.18 ,H1
130,出口公園,中川区万場五丁目,0.15 ,H1
131,郷内公園,中川区万場三丁目,0.18 ,H1
132,愛知公園,中川区愛知町,0.62 ,H1
133,小本西公園,中川区小本一丁目,0.33 ,H2
134,西前田公園,中川区前田西町三丁目,0.88 ,H2
135,屋敷地公園,中川区小本二丁目,0.15 ,H2
136,供米田公園,中川区供米田二丁目,0.23 ,H2
137,登公園,中川区伏屋五丁目,0.24 ,H2
138,上之島公園,中川区伏屋二丁目,0.26 ,H2
139,的場公園,中川区的場町３丁目,0.42 ,H3
140,御屋敷公園,中川区助光１丁目,0.20 ,H5
141,直会公園,中川区供米田三丁目,0.12 ,H5
142,外浦公園,中川区供米田一丁目,0.36 ,H5
143,北堤公園,中川区前田西町一丁目,0.23 ,H5
144,梅木須公園,中川区前田西町三丁目,0.18 ,H5
145,万場川東公園,中川区万場四丁目,1.01 ,H5
146,山塩緑道,"中川区大塩町１丁目、２丁目、３丁目
　　若山町１丁目、３丁目",0.87 ,H5
147,東中島公園,中川区東中島町８丁目,0.08 ,H6
148,富田公園,"中川区富田町大字服部字鵜ノ首、字君矢田、
　　　大字春田字川原割、字北甚兵衛浦、
　　　字新替、字大明神割、字鍋鶴、
　　　字大明神屋敷、大字戸田字上川田、
　　　字下川田、字八幡腰、戸田明正一丁目、
　　　春田一丁目",7.02 ,H7
149,戸田ゆたか公園,中川区戸田ゆたか二丁目,0.10 ,H8
150,江松北公園,中川区富田町江松一丁目,0.35 ,H8
151,東並公園,中川区富田町江松二丁目,0.28 ,H8
152,八熊公園,中川区八熊二丁目,0.14 ,H9
153,江松中公園,中川区江松五丁目,0.25 ,H12
154,土坪公園,中川区富田町大字千音寺字土坪,0.02 ,H14
155,尾頭橋東公園,中川区尾頭橋一丁目,0.06 ,H15
156,長須賀公園,中川区長須賀三丁目,0.50 ,H15
157,長須賀北公園,中川区長須賀二丁目,0.12 ,H16
158,長須賀南公園,中川区長須賀二丁目,0.17 ,H16
159,新家第二公園,中川区新家一丁目,0.20 ,H18
160,新家第三公園,中川区新家二丁目,0.22 ,H18
161,狭間公園,中川区富田町大字千音寺字狭間,0.02 ,H18
162,東米替公園,中川区戸田明正二丁目,0.18 ,H18
163,東亀之助公園,中川区戸田西一丁目,0.29 ,H18
164,郷東公園,中川区富田町大字千音寺字郷東,0.03 ,H20
165,新家中央公園,中川区新家三丁目,1.03 ,H20
166,東稗田公園,中川区戸田西三丁目,0.14 ,H20
167,東起公園,中川区東起町3丁目,0.19 ,H21
168,荒子東公園,中川区吉良町、小城町１丁目、荒子町字小城,0.34 ,H22
169,鵜垂公園,中川区富田町大字榎津字西鵜垂、字西ナコラ,0.25 ,H25
170,三角公園,中川区下之一色町字三角,0.05 ,H26
171,三角東緑地,中川区下之一色町字三角,0.14 ,H27
172,三角西緑地,中川区下之一色町字三角,0.16 ,H27
173,榎津公園,中川区富田町大字榎津字東新海,0.05 ,R2
174,松年公園,中川区松年町 1丁目,0.17 ,R4
