"施設名","所在地","緯度","経度"
"クリスタルアージョ","広島県安芸高田市吉田町吉田761","34.666469","132.703675"
"旧郷野小学校体育館","広島県安芸高田市吉田町桂234","34.63014","132.648326"
"郷野地区コミュニティ集会所","広島県安芸高田市吉田町桂279-3","34.629344","132.649106"
"道の駅「三矢の里あきたかた」","広島県安芸高田市吉田町山手1059-1","34.648615","132.674314"
"愛郷小学校","広島県安芸高田市吉田町山手1165-3","34.648161","132.671671"
"可愛振興センター","広島県安芸高田市吉田町山手1392-2","34.650032","132.667618"
"吉田運動公園","広島県安芸高田市吉田町相合555-1","34.669791","132.690027"
"丹比西コミュニティ集会所","広島県安芸高田市吉田町多治比1691-1","34.682029","132.657097"
"吉田生活改善センター","広島県安芸高田市吉田町多治比613-1","34.677645","132.682868"
"向原戸島地区生活改善センター","広島県安芸高田市向原町戸島1016-1","34.631867","132.722417"
"向原坂地区生活改善センター","広島県安芸高田市向原町坂1984-7","34.609275","132.736261"
"向原生涯学習センターみらい","広島県安芸高田市向原町坂333","34.611054","132.719417"
"向原運動広場","広島県安芸高田市向原町長田4680","34.603257","132.718684"
"上長田地区多目的集会所","広島県安芸高田市向原町長田4733","34.604301","132.718059"
"向原保垣地区生活改善センター","広島県安芸高田市向原町保垣942-3","34.580064","132.71646"
"小原中央集会所","広島県安芸高田市甲田町下小原3472-7","34.663727","132.742787"
"甲田中学校","広島県安芸高田市甲田町高田原1250","34.69286","132.757406"
"甲田文化センターミューズ","広島県安芸高田市甲田町高田原1446-3","34.695403","132.758553"
"甲田人権福祉センター","広島県安芸高田市甲田町高田原1458","34.695692","132.758432"
"羽佐竹コミュニティホーム","広島県安芸高田市高宮町羽佐竹646-1","34.773389","132.696797"
"来原コミュニティセンター","広島県安芸高田市高宮町原田2267-1","34.745433","132.697574"
"旧来原小学校体育館","広島県安芸高田市高宮町原田3375","34.746825","132.697346"
"高宮Ｂ＆Ｇ海洋センター","広島県安芸高田市高宮町佐々部38-7","34.763311","132.709249"
"高宮小学校","広島県安芸高田市高宮町佐々部915-1","34.766074","132.718089"
"高宮田園パラッツォ","広島県安芸高田市高宮町佐々部957","34.766523","132.721217"
"高宮ハーモニー広場","広島県安芸高田市高宮町佐々部983-2","34.767089","132.719094"
"旧川根小学校","広島県安芸高田市高宮町川根1920","34.825201","132.673371"
"船木ゆめ広場","広島県安芸高田市高宮町船木2334","34.784656","132.76099"
"房後ふれあいセンター","広島県安芸高田市高宮町房後257","34.757066","132.723792"
"来女木公民館","広島県安芸高田市高宮町来女木1796","34.759454","132.681434"
"八千代基幹集落センター","広島県安芸高田市八千代町下根2570-4","34.607116","132.596695"
"八千代Ｂ＆Ｇ海洋センター","広島県安芸高田市八千代町佐々井1329","34.619997","132.60579"
"八千代文化施設フォルテ","広島県安芸高田市八千代町佐々井1391","34.620294","132.607813"
"横田地域活動拠点施設","広島県安芸高田市美土里町横田1936-1","34.723573","132.656364"
"桑田の庄","広島県安芸高田市美土里町桑田760-1","34.758882","132.59161"
"生田集会所","広島県安芸高田市美土里町生田1841-1","34.77428","132.606729"
"中北会館","広島県安芸高田市美土里町北773-1","34.762524","132.63401"
"本郷地域活動拠点施設","広島県安芸高田市美土里町本郷2830-1","34.718035","132.61308"
"美土里生涯学習センターまなび","広島県安芸高田市美土里町本郷4535-2","34.725288","132.628311"
"川・森・文化・交流センター","広島県安芸太田町大字加計5908-2","34.619814","132.319613"
"修道活性化センター","広島県安芸太田町大字穴2870","34.587653","132.375851"
"安芸太田町役場東館","広島県安芸太田町大字戸河内784-1","34.576548","132.227537"
"飯室児童館","広島県安佐北区安佐町飯室1544","34.551458","132.444943"
"海田高等学校","広島県海田町つくも町1-60","34.366938","132.52919"
"海田町シルバープラザ","広島県海田町つくも町6-3","34.366553","132.530614"
"稲荷町公園","広島県海田町稲荷町2084","34.372443","132.532065"
"ＤＣＭダイキ海田店","広島県海田町栄町3-16","34.363667","132.534012"
"ＪＲ海田市駅ＮＫビル（ビエラ海田市）","広島県海田町窪町1-23","34.371143","132.531595"
"窪地公園","広島県海田町窪町1953-20","34.371477","132.5303"
"ガイナステイツ海田市駅前","広島県海田町窪町2-10","34.371334","132.530445"
"港町公園","広島県海田町窪町2214-1","34.370738","132.528044"
"安芸農業協同組合","広島県海田町窪町8-8","34.370459","132.530666"
"株式会社植田商店　業務用食品スーパー海田店","広島県海田町月見町10-5","34.360116","132.537505"
"海田中学校","広島県海田町幸町10-1","34.368111","132.544079"
"海田児童館","広島県海田町幸町5-7","34.369627","132.542031"
"株式会社東洋シート","広島県海田町国信1-6-25","34.376869","132.550537"
"国信公園","広島県海田町国信2-6070-3","34.382223","132.559195"
"砂走公園","広島県海田町砂走1203-3","34.382824","132.555578"
"丸善工業株式会社","広島県海田町砂走16-14","34.381997","132.555117"
"三迫公園","広島県海田町三迫2-3565-1","34.36561","132.552184"
"三迫第二公園","広島県海田町三迫3-2495-1","34.360257","132.552919"
"海田町民センター","広島県海田町寺迫1-1-29","34.372943","132.549327"
"寺迫公園","広島県海田町寺迫1-2219-7","34.37026","132.550735"
"小さくら保育所","広島県海田町寺迫2-12-35","34.371185","132.552063"
"海田東公民館","広島県海田町寺迫2-2-59","34.374029","132.550029"
"万惣海田店","広島県海田町曙町1-31","34.369093","132.541332"
"あけぼの公園","広島県海田町曙町582-1","34.368185","132.540361"
"海田小学校","広島県海田町昭和中町2-55","34.369163","132.537207"
"昭和公園","広島県海田町昭和町７２０地先","34.371212","132.538537"
"海田町ふるさと館","広島県海田町畝2-10-20","34.379694","132.549826"
"イトウゴフク海田店","広島県海田町畝2-15-15","34.380025","132.552168"
"鮮Ｄｏ！エブリイ海田店","広島県海田町畝2-15-15","34.380575","132.552698"
"こうわ認定こども園かいた","広島県海田町畝2-15-23","34.379812","132.552044"
"観音免公園","広島県海田町畝2-165-17","34.380027","132.549624"
"畝公園","広島県海田町畝１－１４０６地先","34.376416","132.547568"
"西浜公園","広島県海田町西浜1751-6","34.367926","132.545886"
"石原公園","広島県海田町石原1444-8","34.375367","132.545325"
"広島国際学院","広島県海田町曽田1-5","34.374834","132.546229"
"海田南小学校","広島県海田町大立町12-5","34.364999","132.545275"
"大立公園","広島県海田町大立町445-8","34.365427","132.544226"
"一貫田公園","広島県海田町中店183","34.374154","132.535632"
"龍洞保育園","広島県海田町中店7-13","34.373301","132.534616"
"織田幹雄スクエア","広島県海田町中店8-24","34.372932","132.533768"
"海田町保健センター","広島県海田町中店8-33","34.373202","132.534071"
"エバーグリーンホーム","広島県海田町東2-8-6","34.365354","132.559898"
"海田総合公園","広島県海田町東海田蟻ケ原","34.371376","132.56897"
"東昭和公園","広島県海田町東昭和町635-2","34.369557","132.54159"
"つくも保育所","広島県海田町南つくも町11-15","34.365327","132.530844"
"海田町ひまわりプラザ","広島県海田町南つくも町11-16","34.365308","132.531023"
"海田西小学校","広島県海田町南つくも町12-3","34.364233","132.531505"
"エディオン海田店","広島県海田町南つくも町13-18","34.363795","132.530414"
"海田西中学校","広島県海田町南つくも町2-2","34.36517","132.529889"
"海田町立図書館","広島県海田町南幸町1-11","34.366473","132.542129"
"社会福祉法人住田学園福祉会さいわい保育園","広島県海田町南幸町10-26","34.363819","132.541004"
"みどりのもりこどもえん","広島県海田町南幸町11-3","34.365746","132.541946"
"海田みどり幼稚園","広島県海田町南幸町12-4","34.365757","132.542594"
"南堀川公園","広島県海田町南堀川町1549-9","34.369172","132.530183"
"フジ海田店","広島県海田町南本町1-3","34.364115","132.539005"
"南本町公園","広島県海田町南本町1111","34.362258","132.538333"
"株式会社キーレックス","広島県海田町南明神町2-51","34.361454","132.5271"
"麒麟倉庫株式会社","広島県海田町日の出町10-3","34.364851","132.538263"
"日の出公園","広島県海田町日の出町1073-1","34.364069","132.536954"
"海田町福祉センター","広島県海田町日の出町2-35","34.364327","132.537331"
"海田東小学校","広島県海田町浜角1-17","34.373041","132.548533"
"介護老人保健施設さくら","広島県海田町堀川町2-23","34.368471","132.530965"
"明治安田生命海田営業所","広島県海田町堀川町3-15","34.367847","132.532562"
"創価学会広島安芸文化会館","広島県海田町堀川町3-31","34.368358","132.531877"
"マリーナサンライズ","広島県海田町明神町1-31","34.367193","132.526606"
"明神公園","広島県海田町明神町1749-9","34.367437","132.526899"
"熊野第三小学校グランド","広島県熊野町貴船15-1","34.329809","132.570625"
"熊野第二小学校グランド","広島県熊野町初神3-25-1","34.361705","132.600576"
"深原地区公園グランド","広島県熊野町新宮2-13","34.36081","132.605233"
"熊野町民グランド","広島県熊野町川角5-10-1","34.322022","132.577804"
"熊野第四小学校グランド","広島県熊野町川角5-13-1","34.321832","132.57438"
"熊野町公民館駐車場","広島県熊野町中溝1-11-2","34.336237","132.586864"
"熊野第一小学校グランド","広島県熊野町中溝4-4-1","34.34013","132.582834"
"熊野中学校グランド","広島県熊野町中溝6-1-1","34.339585","132.576642"
"熊野東中学校グランド","広島県熊野町萩原1-23-1","34.333952","132.592902"
"広島県呉高等技術専門校（管理棟，実習棟）","広島県呉市阿賀中央5-11-17","34.233419","132.605689"
"呉高等学校（体育館，教室）","広島県呉市阿賀中央5-13-56","34.233604","132.602921"
"呉高等学校グラウンド","広島県呉市阿賀中央5-13-56","34.23439","132.603143"
"呉南特別支援学校（屋内運動場）","広島県呉市阿賀中央5-13-71","34.233129","132.603974"
"阿賀中学校グラウンド","広島県呉市阿賀中央5-14-16","34.233978","132.600971"
"阿賀中学校（体育館，教室）","広島県呉市阿賀中央5-14-16","34.234621","132.600608"
"阿賀駅前複合ビル西棟（駐車場）","広島県呉市阿賀中央6-2-11","34.23658","132.600496"
"阿賀まちづくりセンター","広島県呉市阿賀中央6-2-16","34.236601","132.601059"
"阿賀駅前駐車場","広島県呉市阿賀中央6-2-3","34.236302","132.600814"
"西光寺","広島県呉市阿賀中央8-2-6","34.239071","132.596544"
"称名寺","広島県呉市阿賀中央9-8-2","34.236585","132.59469"
"（旧）情島小学校（校舎）","広島県呉市阿賀町12973","34.158829","132.571461"
"広島県豊栄住宅","広島県呉市阿賀南1-7-37","34.229696","132.60328"
"阿賀小学校（体育館，教室）","広島県呉市阿賀南2-1-1","34.233718","132.599436"
"阿賀小学校グラウンド","広島県呉市阿賀南2-1-1","34.23281","132.598943"
"阿賀小学校（校舎）","広島県呉市阿賀南2-1-1","34.233201","132.599054"
"広島文化学園大学　阿賀キャンパスグラウンド","広島県呉市阿賀南2-10-3","34.230022","132.599214"
"広島文化学園大学　阿賀キャンパス（本館）","広島県呉市阿賀南2-10-3","34.230679","132.599185"
"広島文化学園大学　阿賀キャンパス（体育館）","広島県呉市阿賀南2-10-3","34.230649","132.598688"
"国立呉工業高等専門学校（体育館）","広島県呉市阿賀南2-2-11","34.232407","132.601545"
"国立呉工業高等専門学校グラウンド","広島県呉市阿賀南2-2-11","34.231786","132.600913"
"阿賀集会所","広島県呉市阿賀南3-12-2","34.23354","132.596517"
"東延崎自治会館","広島県呉市阿賀南4-2-14","34.232905","132.595507"
"（旧）延崎小学校（体育館）","広島県呉市阿賀南6-4-28","34.230572","132.593299"
"（旧）延崎小学校グラウンド","広島県呉市阿賀南6-4-28","34.230283","132.593576"
"大入老人集会所","広島県呉市阿賀南8-15-13","34.207984","132.579015"
"大誠寺","広島県呉市阿賀南8-17-13","34.208402","132.578019"
"（旧）大入小学校（教室）","広島県呉市阿賀南8-8-20","34.211831","132.581535"
"（旧）大入小学校グラウンド","広島県呉市阿賀南8-8-20","34.211554","132.581633"
"冠崎集会所","広島県呉市阿賀南9-30-26","34.199732","132.567511"
"呉工業高等学校グラウンド","広島県呉市阿賀北2-10-1","34.252213","132.5963"
"呉工業高等学校（体育館）","広島県呉市阿賀北2-10-1","34.252151","132.595901"
"原小学校グラウンド","広島県呉市阿賀北4-3-16","34.248638","132.59432"
"原小学校（体育館，教室）","広島県呉市阿賀北4-3-16","34.249271","132.594236"
"日之浦自治会館","広島県呉市安浦町安登1167-6","34.256622","132.751555"
"塩谷自治会館","広島県呉市安浦町安登3084-31","34.244422","132.746475"
"小田野原自治会館","広島県呉市安浦町安登西10-1-14","34.255687","132.716453"
"岡谷自治会館","広島県呉市安浦町安登西2-9-18","34.259861","132.724517"
"奥条自治会館","広島県呉市安浦町安登西3-6-20","34.256966","132.720818"
"向野原自治会館","広島県呉市安浦町安登西5-20-50","34.25563","132.721638"
"安登小学校（体育館，教室）","広島県呉市安浦町安登西5-7-19","34.255791","132.722322"
"安登小学校グラウンド","広島県呉市安浦町安登西5-7-19","34.255597","132.722629"
"安登公園","広島県呉市安浦町安登西6","34.251306","132.717796"
"コミュニティいちざこ","広島県呉市安浦町安登西8-4-3","34.252197","132.715876"
"跡条自治会館","広島県呉市安浦町安登東5-8-12","34.251213","132.723902"
"大谷自治会館","広島県呉市安浦町安登東6-5-11","34.24811","132.718747"
"原畑集会所","広島県呉市安浦町原畑348-2","34.280091","132.721523"
"瑞雲寺","広島県呉市安浦町三津口1-21-14","34.285109","132.75387"
"三津口憩の家","広島県呉市安浦町三津口2-18-11","34.282587","132.756702"
"（旧）三津口小学校グラウンド","広島県呉市安浦町三津口2-27-2","34.284563","132.756172"
"（旧）三津口小学校（体育館，教室）","広島県呉市安浦町三津口2-27-2","34.284017","132.756657"
"子之浦自治会館","広島県呉市安浦町三津口3-14-22","34.2828","132.761616"
"女子畑自治会館","広島県呉市安浦町女子畑1788-1","34.30918","132.749195"
"（旧）野路東小学校（体育館）","広島県呉市安浦町女子畑639","34.308413","132.747569"
"（旧）野路東小学校グラウンド","広島県呉市安浦町女子畑639","34.308483","132.748037"
"水尻集会所","広島県呉市安浦町水尻1-14-11","34.273244","132.750606"
"藤木自治会館","広島県呉市安浦町赤向坂1093","34.300711","132.742495"
"赤向坂自治会館","広島県呉市安浦町赤向坂390-7","34.305561","132.730361"
"いなしふれあい広場","広島県呉市安浦町大字中畑字高野谷10713","34.302245","132.70361"
"内海南自治会館","広島県呉市安浦町中央3-2-9","34.282128","132.740368"
"安浦中学校グラウンド","広島県呉市安浦町中央4-2-1","34.282518","132.743624"
"安浦中学校（校舎）","広島県呉市安浦町中央4-2-1","34.282687","132.744219"
"安浦中学校（体育館，教室）","広島県呉市安浦町中央4-2-1","34.282708","132.743998"
"安浦まちづくりセンター","広島県呉市安浦町中央4-3-2","34.281634","132.744278"
"晴海園自治会館","広島県呉市安浦町中央5-1-8","34.282756","132.745318"
"三津口西自治会館","広島県呉市安浦町中央6-2-40","34.282676","132.748912"
"中央ハイツ自治会館","広島県呉市安浦町中央ハイツ13-32","34.251211","132.71167"
"老人福祉センター安浦内海会館","広島県呉市安浦町中央北2-6-32","34.285296","132.741309"
"中切自治会館","広島県呉市安浦町中切1023-4","34.270583","132.725984"
"市原集会所","広島県呉市安浦町中畑1385-6","34.295819","132.696591"
"中畑自治会館","広島県呉市安浦町中畑434-7","34.303456","132.705237"
"安浦会館","広島県呉市安浦町内海南4-6-21","34.277861","132.73634"
"安浦小学校（体育館，教室）","広島県呉市安浦町内海北1-2-5","34.285236","132.73893"
"安浦小学校グラウンド","広島県呉市安浦町内海北1-2-5","34.285511","132.737979"
"安浦小学校（北校舎）","広島県呉市安浦町内海北1-2-5","34.285772","132.738356"
"安浦小学校（南校舎）","広島県呉市安浦町内海北1-2-5","34.2854","132.738512"
"内海北自治会館","広島県呉市安浦町内海北4-13-13","34.29292","132.731528"
"内平自治会館","広島県呉市安浦町内平593-1","34.276326","132.717742"
"押込集会所","広島県呉市押込3-5-2","34.317929","132.565237"
"道心寺礼拝堂","広島県呉市押込6-3-2","34.311736","132.573526"
"せとぎん会館","広島県呉市音戸町鰯浜2-4-21","34.19449","132.534638"
"引地区集会所","広島県呉市音戸町引地1-4-18","34.195966","132.536218"
"高須集会所","広島県呉市音戸町高須2-3-44","34.186639","132.537226"
"先奥区自治会館","広島県呉市音戸町先奥2-3-29","34.158155","132.521422"
"早瀬パブリックセンター","広島県呉市音戸町早瀬2-53-1","34.151664","132.495479"
"坪井区自治会館","広島県呉市音戸町坪井2-7-11","34.198293","132.532887"
"（旧）田原小学校グラウンド","広島県呉市音戸町田原2-3-1","34.176201","132.498919"
"田原保健福祉活動センター","広島県呉市音戸町田原2-3-16","34.175703","132.498633"
"（旧）渡子小学校グラウンド","広島県呉市音戸町渡子2-23-1","34.190094","132.512416"
"渡子区自治会館（旧渡子小学校）","広島県呉市音戸町渡子2-23-1","34.190126","132.512959"
"音戸西中学校グラウンド","広島県呉市音戸町渡子3-16-1","34.187039","132.506943"
"明徳中学校（体育館，教室）","広島県呉市音戸町藤脇1-30-1","34.151116","132.509877"
"明徳中学校グラウンド","広島県呉市音戸町藤脇1-30-1","34.150435","132.509408"
"藤脇憩いの家","広島県呉市音戸町藤脇2-8-2","34.147307","132.505028"
"音戸小学校（体育館，教室）","広島県呉市音戸町南隠渡1-12-6","34.186304","132.534524"
"音戸小学校グラウンド","広島県呉市音戸町南隠渡1-12-6","34.186153","132.534902"
"南隠渡区集会所","広島県呉市音戸町南隠渡1-4-26","34.188154","132.532198"
"音戸まちづくりセンター","広島県呉市音戸町南隠渡1-7-1","34.188101","132.534096"
"音戸中学校（体育館，教室）","広島県呉市音戸町南隠渡4-15-1","34.18274","132.529669"
"音戸中学校グラウンド","広島県呉市音戸町南隠渡4-15-1","34.183124","132.529601"
"波多見コミュニティセンター","広島県呉市音戸町波多見2-17-1","34.183183","132.551627"
"大浦崎スポーツセンター","広島県呉市音戸町波多見6-20-1","34.173971","132.555091"
"大浦崎体育館（大浦崎スポーツセンター）","広島県呉市音戸町波多見6-20-1","34.174569","132.555003"
"大浦崎会館（大浦崎スポーツセンター）","広島県呉市音戸町波多見6-20-1","34.175115","132.555321"
"波多見小学校（体育館，教室）","広島県呉市音戸町波多見9-11-1","34.175768","132.54522"
"波多見小学校グラウンド","広島県呉市音戸町波多見9-11-1","34.175631","132.545487"
"畑区自治会館","広島県呉市音戸町畑1-27-31","34.165497","132.530803"
"（旧）奥内小学校（体育館）","広島県呉市音戸町畑3-27-1","34.160948","132.523203"
"（旧）奥内小学校グラウンド","広島県呉市音戸町畑3-27-1","34.160846","132.52373"
"音戸高等学校グラウンド","広島県呉市音戸町北隠渡1-1-1","34.192511","132.531796"
"音戸高等学校（体育館）","広島県呉市音戸町北隠渡1-1-1","34.19288","132.532057"
"北隠渡区集会所","広島県呉市音戸町北隠渡1-7-15","34.191273","132.532396"
"有清区自治会館","広島県呉市音戸町有清1-23-26","34.16136","132.521095"
"下蒲刈まちづくりセンター","広島県呉市下蒲刈町下島1730","34.191596","132.674735"
"（旧）下蒲刈中学校（体育館，教室）","広島県呉市下蒲刈町下島2119","34.192974","132.677646"
"（旧）下蒲刈中学校グラウンド","広島県呉市下蒲刈町下島2119","34.192496","132.677944"
"下蒲刈市民センター","広島県呉市下蒲刈町下島2361-7","34.186439","132.683269"
"大地蔵集会所","広島県呉市下蒲刈町下島3290-3","34.174335","132.662082"
"正念寺","広島県呉市下蒲刈町下島3314-2","34.175418","132.661849"
"正円寺","広島県呉市海岸1-2-13","34.243974","132.550052"
"川原石集会所","広島県呉市海岸2-5-8","34.247771","132.543964"
"港町小学校グラウンド","広島県呉市海岸3-5-30","34.247984","132.542697"
"港町小学校（体育館，教室）","広島県呉市海岸3-5-30","34.248175","132.542292"
