"施設名","所在地","緯度","経度"
"えりも岬小学校体育館","北海道えりも町字えりも岬239","41.938122","143.239752"
"えりも岬小学校グラウンド","北海道えりも町字えりも岬239","41.937314","143.240008"
"えりも岬保育所","北海道えりも町字えりも岬54-1","41.935","143.24143"
"林業総合センター","北海道えりも町字えりも岬２３６地先","41.938647","143.238463"
"高橋宅前高台","北海道えりも町字歌別101-3","41.994007","143.162772"
"歌別共同作業所","北海道えりも町字歌別244-3","41.986576","143.164589"
"歌別生活館","北海道えりも町字歌別252","41.997664","143.166358"
"中央保育所避難路高台","北海道えりも町字歌別260-4","41.998614","143.16596"
"清掃センター駐車場","北海道えりも町字歌別286-1","42.0015","143.1742"
"岩間板金作業所横","北海道えりも町字歌別42-7","41.999375","143.161553"
"上歌別生活館","北海道えりも町字歌別512-4","42.022924","143.201945"
"近浦神社境内","北海道えりも町字近浦273","42.05734","143.07906"
"近浦団地高台","北海道えりも町字近浦277-1","42.0589","143.0769"
"近浦高台プレハブ","北海道えりも町字近浦277-1","42.057922","143.074709"
"近浦多目的集会施設","北海道えりも町字近浦277-43","42.05956","143.07256"
"とまべつ憩いの湯ちゃっぷ広場","北海道えりも町字庶野16","41.992778","143.243698"
"とまべつ憩いの湯ちゃっぷ","北海道えりも町字庶野16","41.992977","143.243512"
"庶野共同作業所","北海道えりも町字庶野307-1","42.029224","143.286954"
"吉田商店　ガソリンスタンド付近","北海道えりも町字庶野346","42.0359","143.2881"
"庶野さくら公園","北海道えりも町字庶野550","42.044286","143.292381"
"庶野保育所","北海道えりも町字庶野579-4","42.044383","143.293906"
"庶野生活館","北海道えりも町字庶野582-4","42.043591","143.293935"
"桜岡生活館","北海道えりも町字庶野807-2","42.021766","143.255273"
"美島共同作業所","北海道えりも町字庶野６７７－１地先","42.04916","143.30279"
"スポーツ公園","北海道えりも町字新浜207-1","42.00684","143.156978"
"えりも中学校体育館","北海道えりも町字新浜207-3","42.010049","143.154889"
"えりも中学校グラウンド","北海道えりも町字新浜207-3","42.010244","143.153133"
"町民体育館","北海道えりも町字新浜207-3","42.010968","143.153528"
"えりも中学校","北海道えりも町字新浜207-3","42.010449","143.154139"
"えりも高校グラウンド","北海道えりも町字新浜208-2","42.007116","143.159642"
"えりも高校","北海道えりも町字新浜208-2","42.0079","143.15898"
"えりも高校体育館","北海道えりも町字新浜208-2","42.007966","143.15954"
"えりも小学校グラウンド","北海道えりも町字新浜242-1","42.011311","143.152122"
"えりも小学校","北海道えりも町字新浜242-1","42.012013","143.15245"
"えりも小学校体育館","北海道えりも町字新浜242-1","42.011475","143.153033"
"やまと苑駐車場","北海道えりも町字大和106-3","42.032253","143.130419"
"大和共同作業所","北海道えりも町字大和138-1","42.029348","143.13184"
"田中宅前付近","北海道えりも町字大和374","42.0385","143.1297"
"西えりも生活館横グラウンド","北海道えりも町字大和624-3","42.021462","143.14459"
"西えりも生活館","北海道えりも町字大和624-3","42.021318","143.1454"
"えりも町浄化センター付近","北海道えりも町字大和664-1","42.0276","143.1486"
"笛舞小学校グラウンド","北海道えりも町字笛舞478-1","42.043621","143.10783"
"笛舞小学校体育館","北海道えりも町字笛舞478-1","42.044554","143.106496"
"笛舞小学校","北海道えりも町字笛舞478-1","42.044354","143.106946"
"笛舞ふれあい館","北海道えりも町字笛舞478-9","42.043301","143.10738"
"笛舞墓地","北海道えりも町字笛舞491","42.0463","143.107"
"菊地宅前","北海道えりも町字東洋108-51","41.958625","143.199325"
"東洋生活館","北海道えりも町字東洋213-1","41.956106","143.208237"
"坂岸墓地","北海道えりも町字東洋249","41.9727","143.1824"
"東洋第２生活館","北海道えりも町字東洋275-3","41.950067","143.219337"
"襟裳岬風の館","北海道えりも町字東洋366-3","41.925919","143.244664"
"えりも岬駐車場","北海道えりも町字東洋366-3","41.927389","143.243124"
"東洋共同作業所","北海道えりも町字東洋55-2021","41.969175","143.18445"
"東洋墓地","北海道えりも町字東洋71-235","41.957","143.2137"
"えりも町役場前駐車場","北海道えりも町字本町206","42.015995","143.148576"
"福祉センター","北海道えりも町字本町357","42.013875","143.150211"
"ふれあいの丘団地小公園","北海道えりも町字本町361-1","42.014786","143.151462"
"目黒生活館","北海道えりも町字目黒138","42.128586","143.315012"
"神社裏高台","北海道えりも町字目黒214-1","42.1296","143.3147"
"旧目黒小学校グラウンド","北海道えりも町字目黒214-6","42.129726","143.313336"
"第３体育館","北海道えりも町字目黒214-6","42.130209","143.31384"
"目黒墓地","北海道えりも町字目黒239-3","42.1326","143.3044"
"松本宅裏高台","北海道えりも町字目黒40-6","42.121952","143.314843"
"上目黒避難所","北海道えりも町字目黒41-1","42.122062","143.314602"
"共和生活改善センター","北海道せたな町瀬棚区共和312","42.443168","139.867606"
"瀬棚中学校","北海道せたな町瀬棚区共和404-1","42.449579","139.85545"
"瀬棚ふれあいセンター","北海道せたな町瀬棚区共和590-4","42.451742","139.862901"
"元浦地区避難所","北海道せたな町瀬棚区元浦105","42.474533","139.850419"
"元浦漁村センター","北海道せたな町瀬棚区元浦439","42.500893","139.846014"
"稲荷神社境内","北海道せたな町瀬棚区元浦446","42.501146","139.847154"
"瀬棚水産物保管作業所","北海道せたな町瀬棚区三本杉69","42.456898","139.850113"
"旧馬場川小学校","北海道せたな町瀬棚区西大里310-4","42.481648","139.873385"
"白岩漁村センター","北海道せたな町瀬棚区島歌165-2","42.517246","139.845058"
"旧島歌小学校","北海道せたな町瀬棚区島歌193","42.517263","139.847344"
"吹込青年研修所","北海道せたな町瀬棚区島歌343","42.528015","139.847622"
"島歌生活館","北海道せたな町瀬棚区島歌373","42.537309","139.841826"
"厳嶋神社","北海道せたな町瀬棚区北島歌265-1","42.594765","139.827861"
"茂津多旅館","北海道せたな町瀬棚区北島歌267","42.595112","139.827163"
"北島歌青年研修所","北海道せたな町瀬棚区北島歌58","42.558301","139.836739"
"瀬棚小学校","北海道せたな町瀬棚区本町513-1","42.454039","139.85305"
"せたな町Ｂ＆Ｇ海洋センター体育館","北海道せたな町瀬棚区本町559","42.455078","139.857268"
"三杉球場","北海道せたな町瀬棚区本町559","42.454334","139.85568"
"せたなスポーツ広場","北海道せたな町瀬棚区本町559","42.454837","139.856699"
"瀬棚町民センター","北海道せたな町瀬棚区本町638","42.452724","139.854685"
"瀬棚老人と母と子の家","北海道せたな町瀬棚区本町767","42.450408","139.851861"
"瀬棚総合福祉センターやすらぎ館","北海道せたな町瀬棚区本町948-7","42.448142","139.852142"
"花歌生活館","北海道せたな町大成区花歌168-2","42.220735","139.847993"
"せたな町貝取澗公営温泉浴場","北海道せたな町大成区貝取澗386-1","42.188946","139.898647"
"丸山団地広場","北海道せたな町大成区久遠311-71","42.223968","139.838245"
"東部ことぶきの家","北海道せたな町大成区久遠357-2","42.222333","139.83687"
"特別養護老人ホーム大成長生園","北海道せたな町大成区宮野525-2","42.229736","139.874693"
"太田地区防災センター","北海道せたな町大成区太田82","42.282488","139.787583"
"旧長磯小学校","北海道せたな町大成区長磯456","42.139743","139.920966"
"久遠小学校","北海道せたな町大成区都366","42.229294","139.818065"
"大成農漁村総合センター","北海道せたな町大成区都387","42.228043","139.819731"
"大成中学校","北海道せたな町大成区都421","42.227785","139.819999"
"大成町民センター","北海道せたな町大成区都425","42.227381","139.821866"
"富磯生活館","北海道せたな町大成区富磯61-9","42.233364","139.796603"
"旧平田内小学校","北海道せたな町大成区平浜385","42.213574","139.875246"
"愛知集落センター","北海道せたな町北檜山区愛知837-6","42.414992","139.911154"
"旧愛知小学校","北海道せたな町北檜山区愛知928","42.413352","139.911369"
"栄生活会館","北海道せたな町北檜山区栄46-1","42.38083","139.877407"
"兜野神社","北海道せたな町北檜山区兜野162-3","42.407111","139.847428"
"北部桧山衛生センター","北海道せたな町北檜山区共和120-5","42.391022","139.840375"
"生渕生活改善センター","北海道せたな町北檜山区共和616-2","42.384896","139.827124"
"若松小学校","北海道せたな町北檜山区若松461","42.354295","139.906487"
"若松基幹集落センター（イエローパレス）","北海道せたな町北檜山区若松513-1","42.357905","139.90724"
"旧若松中学校グラウンド跡地","北海道せたな町北檜山区若松525","42.362574","139.907114"
"小川生活改善センター","北海道せたな町北檜山区小川155","42.339472","139.880681"
"旧小倉山小学校","北海道せたな町北檜山区小倉山567","42.484836","139.966948"
"真駒内ダム公園休憩所","北海道せたな町北檜山区松岡158-1","42.480014","139.911273"
"旧新成小学校","北海道せたな町北檜山区新成204-1","42.355966","139.801161"
"鵜泊団地母と子の家","北海道せたな町北檜山区新成217-1","42.356818","139.801075"
"旧太櫓小学校","北海道せたな町北檜山区太櫓141","42.380444","139.818106"
"はまなす荘","北海道せたな町北檜山区太櫓398","42.373762","139.814651"
"旧ふとろ荘周辺広場","北海道せたな町北檜山区太櫓427","42.372311","139.81338"
"旧太櫓小学校グラウンド跡地","北海道せたな町北檜山区太櫓82-1","42.38032","139.823921"
"旧玉川小学校","北海道せたな町北檜山区丹羽1-5","42.431951","139.930737"
"檜山北高等学校","北海道せたな町北檜山区丹羽360","42.430853","139.941266"
"丹羽活性化センター（水仙パレス）","北海道せたな町北檜山区丹羽5-7","42.430315","139.93022"
"温泉ホテルきたひやま","北海道せたな町北檜山区徳島4-16","42.415277","139.880385"
"せたな町高齢者センター（グリーンパレス）","北海道せたな町北檜山区徳島49-1","42.41818","139.882213"
"狩場葬苑","北海道せたな町北檜山区徳島554-2","42.437767","139.900252"
"せたな町民ふれあいプラザ","北海道せたな町北檜山区徳島8-1","42.416456","139.879625"
"旧二俣小学校","北海道せたな町北檜山区二俣271","42.313295","139.907716"
"せたな町農業センター管理棟","北海道せたな町北檜山区二俣55-1","42.339585","139.920422"
"旧左股小学校","北海道せたな町北檜山区富里213","42.313535","139.953607"
"北檜山小学校","北海道せたな町北檜山区豊岡200","42.417623","139.868934"
"せたな町青少年センター","北海道せたな町北檜山区豊岡212-2","42.418011","139.873288"
"せたな町民体育館","北海道せたな町北檜山区豊岡212-2","42.418407","139.873932"
"北檜山中学校","北海道せたな町北檜山区豊岡233-1","42.42145","139.876435"
"せたな町真駒内球場","北海道せたな町北檜山区豊岡237-1","42.419976","139.875492"
"せたな町青少年女性研修所","北海道せたな町北檜山区北檜山113","42.413335","139.872416"
"北檜山スポーツ公園グラウンド","北海道せたな町北檜山区北檜山171-1","42.411384","139.874542"
"鵡川中央小学校","北海道むかわ町花園1-14","42.577547","141.929176"
"イモッペ生活館","北海道むかわ町宮戸77-1","42.574598","141.947608"
"汐見一時避難場所","北海道むかわ町汐見89-3","42.551487","141.946905"
"春日生活館","北海道むかわ町春日190-2","42.583205","141.998801"
"消防署鵡川支署（屋上）","北海道むかわ町青葉1-73","42.582521","141.926625"
"川西第１集落センター","北海道むかわ町田浦199-11","42.597906","141.909322"
"むかわ町産業会館","北海道むかわ町美幸2-88","42.574637","141.926971"
"四季の館","北海道むかわ町美幸3-3-1","42.573796","141.925125"
"四季の風","北海道むかわ町美幸3-3-1","42.574157","141.925097"
"鵡川高等学校","北海道むかわ町福住4-2-1","42.583638","141.919776"
"文京ハイツ（３階以上）","北海道むかわ町文京1-18","42.578887","141.915724"
"鵡川高等学校生徒寮","北海道むかわ町文京1-18","42.579156","141.915351"
"町民体育館","北海道むかわ町文京3-4","42.576866","141.918631"
"鵡川中学校","北海道むかわ町文京4-2","42.577195","141.916202"
"穂別小学校","北海道むかわ町穂別114-2","42.769864","142.139605"
"穂別中学校","北海道むかわ町穂別116","42.769316","142.142304"
