"施設名","所在地","緯度","経度"
"あわら市本荘小学校","福井県あわら市下番7-1","36.206267","136.19541"
"あわら市金津小学校","福井県あわら市花乃杜1-20-1","36.217913","136.225334"
"あわら市多目的共同利用施設さくらセンター","福井県あわら市柿原36-20","36.233589","136.23581"
"あわら市吉崎小学校","福井県あわら市吉崎8-55","36.286778","136.25391"
"熊坂農村環境改善センター","福井県あわら市熊坂42-20","36.23391","136.28782"
"あわら市農業者トレーニングセンター","福井県あわら市国影23-1","36.227917","136.206954"
"トリムパークかなづ","福井県あわら市山室67-60-1","36.217475","136.247496"
"あわら市金津中学校","福井県あわら市市姫1-5-1","36.209519","136.232165"
"あわら市中央公民館","福井県あわら市市姫1-9-18","36.212528","136.230962"
"福井県立金津高等学校","福井県あわら市市姫4-5-1","36.207365","136.22851"
"あわら市芦原中学校","福井県あわら市舟津2-75","36.235059","136.192667"
"あわら市武道館","福井県あわら市舟津2-81","36.233212","136.192061"
"あわら市武道館横テニスコート","福井県あわら市舟津2-81","36.233196","136.192459"
"あわら市金津こども園","福井県あわら市春宮3-24-20","36.219364","136.230014"
"あわら市伊井小学校","福井県あわら市清間13-24","36.197261","136.248189"
"あわら市細呂木小学校","福井県あわら市滝63-8","36.238926","136.253599"
"あわら市金津東小学校","福井県あわら市中川18-10","36.196935","136.268943"
"あわら市新郷小学校","福井県あわら市中浜1-1","36.209845","136.178287"
"あわら市芦原小学校","福井県あわら市田中々2-25","36.2217","136.194286"
"あわら市湯のまち公民館","福井県あわら市二面32-16","36.222469","136.194611"
"あわら市波松小学校","福井県あわら市波松25-1","36.261805","136.201797"
"浜坂ゲートボール場","福井県あわら市浜坂19-1-1","36.286687","136.246398"
"浜坂区民館","福井県あわら市浜坂4-5","36.286665","136.24678"
"あわら市北潟公民館","福井県あわら市北潟150-1","36.259156","136.225822"
"あわら市北潟小学校","福井県あわら市北潟35-11","36.264196","136.223019"
"あわら市剱岳公民館","福井県あわら市椚第18-10","36.202528","136.28449"
"海印寺（犬見）","福井県おおい町犬見30-2","35.493282","135.623429"
"犬見集落農事集会所","福井県おおい町犬見40-1","35.492315","135.621207"
"佐分利小学校","福井県おおい町鹿野21-22-1","35.451034","135.571642"
"ふるさと交流センター","福井県おおい町鹿野42-27","35.453054","135.565565"
"スポーツロッジ栄光","福井県おおい町小堀17-25","35.480559","135.610494"
"小堀区生活改善センター","福井県おおい町小堀5-22-4","35.480469","135.606555"
