"施設名","所在地","緯度","経度"
"東畑消防車庫前","秋田県にかほ市伊勢居地","39.236786","139.966415"
"上坂会館前広場","秋田県にかほ市伊勢居地字グミノ木森140-3","39.214572","140.012774"
"伊勢居地児童遊園地","秋田県にかほ市伊勢居地字谷地25","39.243845","139.965251"
"東畑会館前広場","秋田県にかほ市伊勢居地字平太屋敷31","39.236379","139.966331"
"薫風苑","秋田県にかほ市院内字〆カケ114","39.274358","139.97252"
"杉山運動公園","秋田県にかほ市院内字ヒシカタ161","39.273671","139.959532"
"仁賀保中学校グラウンド","秋田県にかほ市院内字ヒシカタ261","39.271791","139.956843"
"横根児童遊園地","秋田県にかほ市院内字下横根7-28","39.276895","139.969671"
"さくら団地駐車場","秋田県にかほ市院内字下横根78-3","39.27769","139.970176"
"下坂会館前広場","秋田県にかほ市院内字下坂3","39.226723","140.025303"
"駐在所広場","秋田県にかほ市院内字城前15-2","39.269176","139.973902"
"院内児童遊園地","秋田県にかほ市院内字城前61","39.269212","139.975447"
"高速杉山緊急避難施設","秋田県にかほ市院内字杉山","39.277643","139.960972"
"釜ヶ台児童遊園地","秋田県にかほ市釜ケ台字中島9-5","39.238925","140.033232"
"家ノ後高台","秋田県にかほ市芹田字家ノ後122-1","39.284738","139.932046"
"諏訪神社境内","秋田県にかほ市芹田字中道106","39.284221","139.928548"
"芹田児童遊園地","秋田県にかほ市芹田字中道130-1","39.286773","139.929205"
"塩焚浜高台","秋田県にかほ市金浦字塩焚浜108-1","39.25831","139.911841"
"岡の谷地グラウンド","秋田県にかほ市金浦字岡の谷地107","39.252548","139.91494"
"太郎助山団地","秋田県にかほ市金浦字岡の谷地169-25","39.250114","139.918251"
"コミュニティ公園","秋田県にかほ市金浦字金浦95-2","39.257647","139.915753"
"金浦バイパス跨線橋","秋田県にかほ市金浦字高森140-6","39.24266","139.916931"
"にかほ市商工会館前広場","秋田県にかほ市金浦字十二林158-9","39.257069","139.917764"
"十二林児童公園","秋田県にかほ市金浦字十二林223-1","39.256854","139.919843"
"金浦駅前広場","秋田県にかほ市金浦字十二林83-1","39.256254","139.920066"
"赤石館広場","秋田県にかほ市金浦字赤石31-1","39.245293","139.917113"
"金浦中学校グラウンド","秋田県にかほ市金浦字谷地中30-3","39.251352","139.91991"
"金浦小学校グラウンド","秋田県にかほ市金浦字谷地中9-1","39.251396","139.922603"
"鳥長根児童公園","秋田県にかほ市金浦字鳥長根33-9","39.258771","139.924627"
"コミュニティ防災センター","秋田県にかほ市金浦字南金浦12-1","39.255611","139.914614"
"太平山","秋田県にかほ市金浦字南金浦188","39.253802","139.914136"
"金浦公民館広場","秋田県にかほ市金浦字南金浦49-2","39.255509","139.917156"
"丸大機工駐車場","秋田県にかほ市金浦字背長森10-1","39.248951","139.923708"
"金浦中央公園","秋田県にかほ市金浦字堀切7","39.25762","139.917571"
"勢至保育園広場","秋田県にかほ市金浦字木の浦山17-11","39.260959","139.918071"
"高速黒川緊急避難施設","秋田県にかほ市黒川","39.272021","139.940019"
"宮田高台","秋田県にかほ市黒川字宮田21-1","39.274504","139.933568"
"三嶽神社","秋田県にかほ市黒川字三嶽後12","39.275571","139.926502"
"黒川児童遊園地","秋田県にかほ市黒川字三嶽新田242","39.275785","139.930684"
"ＡＳＣ駐車場","秋田県にかほ市黒川字平石48-2","39.267983","139.929121"
"三森児童遊園地","秋田県にかほ市三森字午ノ浜110-1","39.288699","139.940203"
"午ノ浜温泉","秋田県にかほ市三森字午ノ浜144-1","39.287143","139.943052"
"薬師神社","秋田県にかほ市三森字御堂森1","39.286391","139.937576"
"ヤマト運輸前駐車場","秋田県にかほ市三森字高田26","39.280827","139.938605"
"御堂森","秋田県にかほ市三森字水上104-1","39.286418","139.940726"
"午ノ浜温泉脇の山","秋田県にかほ市三森字水上174-1","39.28711","139.942519"
"古四王森","秋田県にかほ市三森字浜田203-1","39.288087","139.936695"
"山王森","秋田県にかほ市三森字浜田259-1","39.288033","139.935469"
"寺田児童遊園地","秋田県にかほ市寺田字長瀬町149-1","39.239228","139.95629"
"神明神社","秋田県にかほ市小国字下腰4","39.262947","139.970838"
"院内小学校グラウンド","秋田県にかほ市小国字郷ノ町65-1","39.265891","139.97083"
"上小国公園広場","秋田県にかほ市小国字前田225","39.252756","139.97666"
"小国ゲートボール場","秋田県にかほ市小国字道下60","39.265069","139.972213"
"大塩越会館裏山","秋田県にかほ市象潟町","39.222392","139.90333"
"舟岡集会所前","秋田県にかほ市象潟町横岡字堰端7","39.188345","139.968447"
"水岡自治会館前広場","秋田県にかほ市象潟町横岡字前谷地92","39.195085","139.965156"
"横岡会館前","秋田県にかほ市象潟町横岡字前田56-1","39.1766","139.974107"
"大森遊園地","秋田県にかほ市象潟町横岡字大森2-1","39.209981","139.96058"
"水岡広場","秋田県にかほ市象潟町横岡字目貫谷地1-32","39.193172","139.962644"
"市営住宅松ヶ丘広場","秋田県にかほ市象潟町関字建石45-310","39.195132","139.91003"
"市営住宅建石広場","秋田県にかほ市象潟町関字建石45-348","39.194365","139.907192"
"関グラウンド","秋田県にかほ市象潟町関字西大坂1-9","39.181749","139.907421"
"まま高台","秋田県にかほ市象潟町関字村の下2-1","39.183954","139.905593"
"鳥屋森運動広場","秋田県にかほ市象潟町関字鳥屋森26-6","39.193468","139.914218"
"御不動様神社","秋田県にかほ市象潟町字一丁目塩越44","39.213192","139.895897"
"熊野神社広場","秋田県にかほ市象潟町字一丁目塩越5","39.213302","139.897741"
"象潟グラウンド","秋田県にかほ市象潟町字沖ノ田8-1","39.204942","139.906889"
"九十九島球場","秋田県にかほ市象潟町字屋敷田76","39.205571","139.908423"
"ＪＡ象潟支店駐車場","秋田県にかほ市象潟町字家の後146","39.205701","139.900751"
"駅前広場","秋田県にかほ市象潟町字家ノ後1-12","39.207072","139.901808"
"稲荷神社","秋田県にかほ市象潟町字狐森28-2","39.201293","139.907959"
"象潟公民館前","秋田県にかほ市象潟町字狐森31-1","39.202141","139.907367"
"古四王神社広場","秋田県にかほ市象潟町字五丁目塩越13","39.203022","139.899507"
"戸隠神社広場","秋田県にかほ市象潟町字五丁目塩越173","39.204102","139.899632"
"上荒屋会館前","秋田県にかほ市象潟町字五丁目塩越87","39.201917","139.902752"
"たつみ寛洋ホテル","秋田県にかほ市象潟町字後田116-5","39.204654","139.902209"
"みどり中央公園","秋田県にかほ市象潟町字後田60-1","39.20472","139.901276"
"象潟夕日の宿さんねむ温泉","秋田県にかほ市象潟町字才の神31-1","39.216589","139.899031"
"象潟公会堂","秋田県にかほ市象潟町字三丁目塩越163","39.209305","139.89801"
"本隆寺広場","秋田県にかほ市象潟町字四丁目塩越192-2","39.207654","139.898945"
"光岸寺","秋田県にかほ市象潟町字四丁目塩越231","39.20626","139.898235"
"にかほ市商工会象潟支所前","秋田県にかほ市象潟町字四丁目塩越76-2","39.20525","139.89932"
"八島神社広場","秋田県にかほ市象潟町字象潟島","39.21578","139.902148"
"出雲神社広場","秋田県にかほ市象潟町字上狐森9","39.198214","139.909089"
"道の駅象潟「ねむの丘」広場","秋田県にかほ市象潟町字大塩越73-1","39.218292","139.899077"
"鳥の海中央公園","秋田県にかほ市象潟町字鳥の海3-40","39.1937","139.91076"
"象潟町児童公園","秋田県にかほ市象潟町字入道島15-1","39.212195","139.901253"
"栄町会館前","秋田県にかほ市象潟町字浜山121-2","39.20025","139.904471"
"天の山広場","秋田県にかほ市象潟町字浜山126","39.200863","139.907436"
"汐見会館遊園地","秋田県にかほ市象潟町字浜山126-157","39.199702","139.909768"
"おばこ町会館前","秋田県にかほ市象潟町字浜畑59-7","39.207398","139.896144"
"象潟神社広場","秋田県にかほ市象潟町字妙見下66-1","39.209816","139.900641"
"象潟小学校グラウンド","秋田県にかほ市象潟町字妙見下77-2","39.210113","139.901109"
"桜ヶ丘遊園地","秋田県にかほ市象潟町字木戸口51-75","39.199986","139.911817"
"小砂川中磯","秋田県にかほ市象潟町小砂川","39.128261","139.882475"
"小砂川クツカケ","秋田県にかほ市象潟町小砂川字クツカケ","39.124938","139.88007"
"観音森集会所広場","秋田県にかほ市象潟町小砂川字観音森23-1","39.129187","139.939188"
"小砂川保育園広場","秋田県にかほ市象潟町小砂川字砂畑5","39.129699","139.886154"
"小砂川グラウンド","秋田県にかほ市象潟町小砂川字小田12-2","39.136009","139.885773"
"小砂川自治会館前","秋田県にかほ市象潟町小砂川字中磯47-1","39.13165","139.884809"
"石名坂広場","秋田県にかほ市象潟町小滝字石名坂25","39.196608","139.950307"
"上郷グラウンド","秋田県にかほ市象潟町小滝字舞台64","39.190863","139.946549"
"中ノ沢グラウンド","秋田県にかほ市象潟町西中野沢字中ノ沢131-2","39.17371","139.910133"
"大日霊貴神社","秋田県にかほ市象潟町西中野沢字中ノ沢44-1","39.17112","139.907888"
"旧国道","秋田県にかほ市象潟町川袋字釜ノ上","39.154226","139.89539"
"国道７号","秋田県にかほ市象潟町川袋字釜ノ上","39.155008","139.897096"
"久志神社","秋田県にかほ市象潟町川袋字滝ノ下54","39.153993","139.899581"
"萬照寺前広場","秋田県にかほ市象潟町川袋字滝ノ下78-2","39.152797","139.901915"
"旧ＪＡ秋田しんせい上浜支所","秋田県にかほ市象潟町洗釜字砂山2-45","39.167329","139.903438"
"上浜駅前広場","秋田県にかほ市象潟町洗釜字砂山5-47","39.164642","139.902462"
"ぐみの木会館広場","秋田県にかほ市象潟町洗釜字浜山2-2","39.166153","139.903832"
"大砂川生活改善センター","秋田県にかほ市象潟町大砂川字トド盛20-1","39.158285","139.908277"
"象潟都市農村交流センター","秋田県にかほ市象潟町大砂川字下橋20-6","39.160361","139.900356"
"上浜グラウンド","秋田県にかほ市象潟町大砂川字釜道1-1","39.159002","139.898706"
"大須郷グラウンド","秋田県にかほ市象潟町大須郷字雨谷地316","39.148929","139.89721"
"大須郷大道下","秋田県にかほ市象潟町大須郷字大道下","39.143984","139.885329"
"大須郷林ノ下","秋田県にかほ市象潟町大須郷字林ノ下","39.149363","139.890334"
"阿曽石材駐車場","秋田県にかほ市象潟町大須郷大道下40-23","39.141671","139.884713"
"大飯郷会館前","秋田県にかほ市象潟町大飯郷字堂ノ前48","39.215393","139.941587"
"長岡グラウンド","秋田県にかほ市象潟町長岡字家尻79-1","39.202571","139.950265"
"本郷運動広場","秋田県にかほ市象潟町本郷字盛","39.175312","139.95238"
"水沢会館前広場","秋田県にかほ市水沢字堂ノ前225-1","39.236681","139.98279"
"いちょう館広場","秋田県にかほ市前川字久根添55","39.236787","139.92622"
"前川児童館広場","秋田県にかほ市前川字沼尻95-1","39.236371","139.925071"
"大竹農村公園","秋田県にかほ市大竹字水叩25-4","39.231257","139.944474"
