"施設名","所在地","緯度","経度"
"双葉体育館","山梨県甲斐市宇津谷2221","35.7036","138.485"
"双葉中学校【体育館】","山梨県甲斐市岩森1337","35.690208","138.491311"
"敷島北小学校【学校校舎２階以上】","山梨県甲斐市境57","35.694777","138.524718"
"竜王西小学校　【学校校舎２階以上】","山梨県甲斐市玉川75","35.6384","138.5184"
"双葉西小学校【体育館】","山梨県甲斐市志田146","35.690286","138.481301"
"竜王南小学校　【学校校舎２階以上】","山梨県甲斐市篠原1180","35.6425","138.5282"
"市営田中団地２階以上共有部","山梨県甲斐市篠原1318-1","35.6446","138.5263"
"竜王中学校　【学校校舎２階以上】","山梨県甲斐市篠原2030","35.6542","138.5145"
"竜王小学校　【学校校舎２階以上】","山梨県甲斐市篠原2800","35.6599","138.5185"
"竜王南部公民館　【２階以上】","山梨県甲斐市西八幡1976-1","35.6375","138.5239"
"玉幡小学校　【学校校舎２階以上】","山梨県甲斐市西八幡2560","35.6455","138.5169"
"玉幡中学校　【学校校舎２階以上】","山梨県甲斐市西八幡3190","35.6462","138.5095"
"敷島南小学校　【学校校舎２階以上】","山梨県甲斐市大下条175","35.671741","138.529026"
"双葉東小学校【体育館】","山梨県甲斐市大垈2780","35.692294","138.498795"
"敷島総合文化会館","山梨県甲斐市島上条1020","35.688575","138.521779"
"敷島中学校　【体育館】","山梨県甲斐市島上条1263","35.686777","138.525978"
"敷島小学校　【学校校舎２階以上】","山梨県甲斐市島上条212","35.6845","138.5305"
"竜王東小学校　【学校校舎２階以上】","山梨県甲斐市富竹新田933-1","35.658874","138.528418"
"竜王北中学校【体育館】","山梨県甲斐市竜王420","35.670161","138.505075"
"竜王北小学校【体育館】","山梨県甲斐市竜王555","35.670316","138.508156"
"荒川緑地（千秋橋上流左岸）","山梨県甲府市伊勢1","35.650617","138.566439"
"伊勢小学校","山梨県甲府市伊勢2-16-1","35.645074","138.567491"
"荒川緑地（新平和橋下流左岸）","山梨県甲府市伊勢4","35.639571","138.563954"
