"施設名","所在地","緯度","経度"
"池田市立北豊島中学校","大阪府池田市豊島北1-1-1","34.807813","135.431666"
"御津小学校　屋内運動場","兵庫県たつの市御津町釜屋206","34.784931","134.556366"
"御津公民館　文化ホール","兵庫県たつの市御津町苅屋356-1","34.785463","134.560258"
"御津体育館　屋内運動場","兵庫県たつの市御津町黒崎1730","34.774897","134.550623"
"旧室津小学校　屋内運動場","兵庫県たつの市御津町室津145-1","34.765164","134.503484"
"御津やすらぎ福祉会館　大ホール外","兵庫県たつの市御津町朝臣38-1","34.789725","134.565452"
"御津中学校　屋内運動場","兵庫県たつの市御津町朝臣414","34.788561","134.547694"
"新宮中学校　屋内運動場","兵庫県たつの市新宮町宮内426","34.93076","134.546223"
"播磨高原東中学校　屋内運動場","兵庫県たつの市新宮町光都2-4-1","34.937706","134.447195"
"播磨高原東中学校","兵庫県たつの市新宮町光都2-4-1","34.938352","134.447476"
"播磨高原東小学校　屋内運動場","兵庫県たつの市新宮町光都2-6-1","34.938152","134.445136"
"播磨高原東小学校","兵庫県たつの市新宮町光都2-6-1","34.938536","134.444773"
"香島小学校　屋内運動場","兵庫県たつの市新宮町香山1160","34.948306","134.547029"
"香島コミュニティセンター　大ホール外","兵庫県たつの市新宮町香山1241","34.945246","134.546504"
"龍野北高等学校　屋内運動場","兵庫県たつの市新宮町芝田125-2","34.916138","134.54383"
"国民宿舎志んぐ荘　大ホール外","兵庫県たつの市新宮町新宮1093","34.915608","134.55401"
"新宮小学校　屋内運動場","兵庫県たつの市新宮町新宮437","34.92491","134.54869"
"西栗栖コミュニティセンター　大ホール外","兵庫県たつの市新宮町鍛冶屋105-1","34.957624","134.467238"
"西栗栖小学校　屋内運動場","兵庫県たつの市新宮町鍛冶屋252","34.957235","134.465507"
"越部コミュニティセンター　大ホール外","兵庫県たつの市新宮町中野庄125-3","34.899113","134.543229"
"越部小学校　屋内運動場","兵庫県たつの市新宮町中野庄197","34.897335","134.545682"
"東栗栖小学校　屋内運動場","兵庫県たつの市新宮町能地284","34.933152","134.519469"
"新宮ふれあい福祉会館　大ホール外","兵庫県たつの市新宮町平野111-1","34.922651","134.537555"
"神岡コミュニティセンター　大ホール外","兵庫県たつの市神岡町横内304-1","34.884759","134.575452"
"神岡小学校　屋内運動場","兵庫県たつの市神岡町上横内51","34.889906","134.577615"
"揖西西小学校　屋内運動場","兵庫県たつの市揖西町住吉142","34.850823","134.506943"
"龍野西中学校　武道場","兵庫県たつの市揖西町小神30","34.858373","134.535259"
"龍野西中学校　屋内運動場","兵庫県たつの市揖西町小神30","34.858296","134.536916"
"揖西東小学校　屋内運動場","兵庫県たつの市揖西町清水新9","34.858466","134.521654"
"揖西コミュニティセンター　大ホール外","兵庫県たつの市揖西町竹万95-1","34.85076","134.512172"
"河内コミュニティセンター　大ホール外","兵庫県たつの市揖保川町浦部186-2","34.809329","134.532336"
"神部小学校　屋内運動場","兵庫県たつの市揖保川町黍田434","34.81761","134.515686"
"河内小学校　屋内運動場","兵庫県たつの市揖保川町金剛山604","34.80956","134.531318"
"揖保川公民館　ホール外","兵庫県たつの市揖保川町山津屋19-1","34.827913","134.525225"
"半田小学校　屋内運動場","兵庫県たつの市揖保川町新在家166-2","34.838758","134.53121"
"揖保川中学校　屋内運動場","兵庫県たつの市揖保川町正條471","34.824047","134.5263"
"半田コミュニティセンター　大ホール外","兵庫県たつの市揖保川町野田97-1","34.842245","134.533403"
"揖保コミュニティセンター　大ホール外","兵庫県たつの市揖保町栄327-3","34.827263","134.546128"
"総合隣保館　大ホール外","兵庫県たつの市揖保町松原14-4","34.825337","134.552686"
"揖保小学校　屋内運動場","兵庫県たつの市揖保町西構67","34.82928","134.546809"
"誉田小学校　屋内運動場","兵庫県たつの市誉田町広山580-1","34.844732","134.56454"
"誉田コミュニティセンター　大ホール外","兵庫県たつの市誉田町広山618-4","34.844907","134.561052"
"誉隣保館　大ホール外","兵庫県たつの市誉田町誉84","34.853237","134.565611"
"龍野小学校　屋内運動場","兵庫県たつの市龍野町上霞城86-2","34.867411","134.543694"
"小宅公民館　大ホール外","兵庫県たつの市龍野町中村269-14","34.859385","134.55668"
"龍野高等学校　屋内運動場","兵庫県たつの市龍野町日山554","34.862869","134.538494"
"龍野東中学校　屋内運動場","兵庫県たつの市龍野町日飼100","34.868844","134.554943"
"龍野東中学校　武道場","兵庫県たつの市龍野町日飼100","34.86873","134.555566"
"小宅小学校　屋内運動場","兵庫県たつの市龍野町日飼105","34.865566","134.554708"
"龍野体育館　球戯場外","兵庫県たつの市龍野町富永1005-1","34.857692","134.543483"
"旧龍野実業高等学校　屋内運動場","兵庫県たつの市龍野町北龍野268-1","34.876545","134.545511"
"中央公民館　大ホール外","兵庫県たつの市龍野町立町40","34.865949","134.544397"
"潮芦屋交流センター","兵庫県芦屋市海洋町7-1","34.710884","135.315587"
"市立岩園小学校","兵庫県芦屋市岩園町23-41","34.7434","135.3113"
"市民センター","兵庫県芦屋市業平町8-24","34.732198","135.302835"
"芦屋市霊園","兵庫県芦屋市剣谷","34.749788","135.302653"
"藤和ライブタウン芦屋呉川町ルミナンス","兵庫県芦屋市呉川町13-3","34.724937","135.311907"
"保健福祉センター","兵庫県芦屋市呉川町14-9","34.724453","135.311736"
"県営芦屋浜（高浜）団地１～３号棟","兵庫県芦屋市高浜町8-1","34.720229","135.317372"
"市立山手中学校","兵庫県芦屋市三条町39-10","34.73991","135.292941"
"市立山手小学校","兵庫県芦屋市山手町8-3","34.740966","135.299989"
"市立若宮町住宅１号棟","兵庫県芦屋市若宮町2-18","34.730933","135.31377"
"県営芦屋浜（若葉）団地　１～３号棟","兵庫県芦屋市若葉町7-1","34.717572","135.314148"
"芦屋松浜ハイツ","兵庫県芦屋市松浜町5-15","34.721663","135.305621"
"ロイヤル芦屋松浜","兵庫県芦屋市松浜町8-18","34.7225","135.3085"
"市立打出浜小学校","兵庫県芦屋市新浜町8-2","34.725591","135.320706"
"分庁舎","兵庫県芦屋市精道町8-20","34.726309","135.304795"
"市立精道小学校","兵庫県芦屋市精道町8-25","34.727306","135.30559"
"市役所東館","兵庫県芦屋市精道町8-28","34.727186","135.304744"
"市立西山幼稚園","兵庫県芦屋市西山町22-15","34.737945","135.298511"
"体育館・青少年センター","兵庫県芦屋市川西町15-3","34.727106","135.300934"
"市営大東町　１１番住宅","兵庫県芦屋市大東町11-7","34.730251","135.3233"
"市営大東町　１４番住宅","兵庫県芦屋市大東町14-16","34.727289","135.32264"
"市営大東町　１７番住宅３号棟","兵庫県芦屋市大東町17-3","34.726797","135.322775"
"市営大東町　４番住宅","兵庫県芦屋市大東町4-16","34.731235","135.321456"
"市営大東町　５番住宅","兵庫県芦屋市大東町5-9","34.731161","135.32114"
"市立朝日ケ丘小学校","兵庫県芦屋市朝日ケ丘町10-10","34.74586","135.303604"
"朝日ケ丘北公園","兵庫県芦屋市朝日ケ丘町16","34.747869","135.303332"
"市立潮見小学校","兵庫県芦屋市潮見町1-2","34.71846","135.312832"
"市立潮見中学校","兵庫県芦屋市潮見町20-1","34.716907","135.312949"
"サウスパレス芦屋","兵庫県芦屋市南宮町6-16","34.729952","135.318057"
"市立精道中学校","兵庫県芦屋市南宮町9-7","34.729698","135.320114"
"市立宮川小学校","兵庫県芦屋市浜町1-9","34.729333","135.314845"
"ダイアパレス芦屋浜町","兵庫県芦屋市浜町10-11","34.727077","135.318351"
"ハーティネス芦屋","兵庫県芦屋市浜町13-10","34.726526","135.318745"
"市立浜風小学校","兵庫県芦屋市浜風町1-1","34.720061","135.319219"
"芦屋パレスハイツ北館・南館","兵庫県芦屋市平田町2-7","34.724235","135.302926"
"芦屋サンプラザ","兵庫県芦屋市平田町5-8","34.721506","135.304134"
"芦屋市総合公園","兵庫県芦屋市陽光町1","34.710671","135.308045"
"ウォーターパーク","兵庫県芦屋市陽光町2-1","34.712381","135.310376"
"市営南芦屋浜団地１～６号","兵庫県芦屋市陽光町5-1","34.712889","135.31525"
"県営南芦屋浜団地１～６号","兵庫県芦屋市陽光町6-1","34.712961","135.317339"
"安堂寺センター","兵庫県伊丹市安堂寺町4-49-2","34.762113","135.408425"
"有岡センター","兵庫県伊丹市伊丹5-3-15","34.776603","135.419817"
"植松会場","兵庫県伊丹市伊丹6-6-5","34.772779","135.420426"
"有岡小学校","兵庫県伊丹市伊丹7-1-1","34.776178","135.421347"
"伊丹幼稚園　ありおか分園","兵庫県伊丹市伊丹7-1-30","34.774693","135.421342"
"稲野公園","兵庫県伊丹市稲野町2-3-2","34.762992","135.418075"
"こばと保育所","兵庫県伊丹市稲野町2-3-5","34.762804","135.4179"
"稲野東センター","兵庫県伊丹市稲野町2-44-4","34.76298","135.41662"
"稲野センター","兵庫県伊丹市稲野町4-46","34.76297","135.413986"
"若竹センター","兵庫県伊丹市奥畑2-147","34.782141","135.385967"
"県立伊丹西高校","兵庫県伊丹市奥畑3-5","34.784532","135.387563"
"荻野小学校","兵庫県伊丹市荻野2-11","34.803216","135.395485"
"荻野センター","兵庫県伊丹市荻野3-73","34.803952","135.39219"
"荻野保育所","兵庫県伊丹市荻野8-33-5","34.809187","135.388415"
"南荻野センター","兵庫県伊丹市荻野西1-1-13","34.801686","135.390435"
"下河原センター","兵庫県伊丹市下河原1-9-22","34.801316","135.428502"
"下河原緑地","兵庫県伊丹市下河原3","34.797759","135.429234"
"猪名川河川敷緑地　サイクリング道","兵庫県伊丹市下河原字越ケ井地内","34.800781","135.424797"
"岩屋センター","兵庫県伊丹市岩屋1-5-42","34.775674","135.440202"
"あじさいセンター","兵庫県伊丹市宮ノ前3-6-1","34.784611","135.415483"
"西桑津センター","兵庫県伊丹市桑津2-1-22","34.784153","135.430917"
"西桑津公園","兵庫県伊丹市桑津3-1","34.783124","135.432634"
"こども文化科学館","兵庫県伊丹市桑津3-1-36","34.782764","135.433323"
"南小学校","兵庫県伊丹市御願塚2-6-1","34.770349","135.411661"
"南センター","兵庫県伊丹市御願塚3-8-11","34.768211","135.41355"
"児童会館","兵庫県伊丹市御願塚6-1-1","34.773725","135.410133"
"わかばこども園","兵庫県伊丹市御願塚6-1-15","34.773305","135.409637"
"鈴原小学校","兵庫県伊丹市御願塚6-3-1","34.773113","135.408668"
"すずはら地区交流センター","兵庫県伊丹市御願塚6-3-50","34.774052","135.408018"
"口酒井センター","兵庫県伊丹市口酒井1-3-39","34.774956","135.434891"
"広畑センター","兵庫県伊丹市広畑3-4","34.787072","135.401916"
"荒牧センター","兵庫県伊丹市荒牧5-2-15","34.809456","135.382152"
"荒牧中学校","兵庫県伊丹市荒牧5-2-18","34.808977","135.38227"
"鶴田センター","兵庫県伊丹市荒牧6-20-29","34.811173","135.388844"
"荒牧バラ公園","兵庫県伊丹市荒牧6-5","34.810969","135.386991"
"桑田センター","兵庫県伊丹市荒牧南3-16-20","34.807711","135.38473"
"天神川小学校","兵庫県伊丹市荒牧南3-17-12","34.806586","135.385253"
"中央保育所","兵庫県伊丹市行基町1-50","34.781992","135.408853"
"市立伊丹高校","兵庫県伊丹市行基町4-1","34.777111","135.409537"
"緑丘小学校","兵庫県伊丹市高台2-14","34.791699","135.409144"
"東中学校","兵庫県伊丹市高台2-54","34.792375","135.410102"
"スポーツセンター","兵庫県伊丹市鴻池1-1-1","34.795704","135.393825"
"天王寺川中学校","兵庫県伊丹市鴻池3-4-28","34.796045","135.385424"
"こうのいけ幼稚園","兵庫県伊丹市鴻池4-4-4","34.799493","135.392783"
"鴻池小学校","兵庫県伊丹市鴻池4-4-5","34.79932","135.392333"
"鴻池センター","兵庫県伊丹市鴻池6-6-19","34.799485","135.385625"
"県立伊丹北高校","兵庫県伊丹市鴻池7-2-1","34.802985","135.382969"
"稲野小学校","兵庫県伊丹市昆陽1-175","34.78249","135.399102"
"昆陽センター","兵庫県伊丹市昆陽4-127","34.782021","135.397266"
"労働福祉会館（スワンホール）","兵庫県伊丹市昆陽池2-1","34.786023","135.396559"
"中央公民館","兵庫県伊丹市昆陽池2-1","34.785957","135.396908"
"障害者デイセンター（アイ愛センター）","兵庫県伊丹市昆陽池2-10","34.785508","135.396263"
"障害者福祉センター（アイ愛センター）","兵庫県伊丹市昆陽池2-10","34.785445","135.396366"
"昆陽池公園","兵庫県伊丹市昆陽池3","34.787146","135.394553"
"昆陽池センター","兵庫県伊丹市昆陽池3-3","34.787621","135.392836"
