"施設名","所在地","緯度","経度"
"笠懸東小学校","群馬県みどり市笠懸町阿左美1010","36.384832","139.308062"
"笠懸町第３区公民館","群馬県みどり市笠懸町阿左美1428-6","36.389571","139.300468"
"笠懸公民館","群馬県みどり市笠懸町阿左美1581-1","36.390177","139.290677"
"みどり市民体育館","群馬県みどり市笠懸町阿左美1714-2","36.392527","139.290247"
"笠懸グラウンド","群馬県みどり市笠懸町阿左美1719-1","36.393411","139.291474"
"笠懸町第４区公民館","群馬県みどり市笠懸町阿左美2220-1","36.402836","139.294374"
"関東開発株式会社桐生競艇場","群馬県みどり市笠懸町阿左美2887","36.396972","139.308115"
"笠懸町第１区公民館","群馬県みどり市笠懸町阿左美3196-6","36.390813","139.313299"
"笠懸町第５区公民館","群馬県みどり市笠懸町阿左美3631-1","36.40073","139.288733"
"笠懸北小学校","群馬県みどり市笠懸町阿左美3730","36.404871","139.291011"
"笠懸第１保育園","群馬県みどり市笠懸町阿左美3740","36.403865","139.291526"
"笠懸町第２区公民館","群馬県みどり市笠懸町阿左美410","36.381739","139.299278"
"学校法人桐丘学園桐生大学","群馬県みどり市笠懸町阿左美606-7","36.378619","139.29634"
"笠懸南中学校","群馬県みどり市笠懸町阿左美829","36.388735","139.292925"
"笠懸町第６区公民館","群馬県みどり市笠懸町久宮325-9","36.37548","139.283249"
"笠懸町第８区公民館","群馬県みどり市笠懸町鹿2693","36.400629","139.271619"
"笠懸西小学校","群馬県みどり市笠懸町鹿3060-1","36.396164","139.274459"
"笠懸小学校","群馬県みどり市笠懸町鹿346","36.392992","139.281235"
"笠懸中学校","群馬県みどり市笠懸町鹿362","36.391866","139.281157"
"笠懸町第９区公民館","群馬県みどり市笠懸町鹿3735-1","36.389871","139.273046"
"かどや公園","群馬県みどり市笠懸町鹿381-2","36.392097","139.283786"
"笠懸町第７区公民館","群馬県みどり市笠懸町鹿385-1","36.391248","139.282655"
"笠懸幼稚園","群馬県みどり市笠懸町鹿4590-2","36.388732","139.279454"
"西鹿田グラウンド","群馬県みどり市笠懸町西鹿田1383-1","36.402594","139.265082"
"笠懸町第１０区公民館","群馬県みどり市笠懸町西鹿田798-3","36.402614","139.259406"
"多世代交流館","群馬県みどり市大間々町塩原363","36.457528","139.267907"
"大間々町塩原公民館","群馬県みどり市大間々町塩原434","36.459253","139.269468"
"大間々町第１６区集会所","群馬県みどり市大間々町塩原616-1","36.463499","139.262838"
"大間々町第１２区公民館","群馬県みどり市大間々町桐原1040-1","36.44744","139.277496"
"大間々老人憩の家","群馬県みどり市大間々町桐原1251","36.44929","139.27809"
"大間々町第９区公民館","群馬県みどり市大間々町桐原173-1","36.434097","139.269289"
"大間々中学校","群馬県みどり市大間々町桐原217","36.437134","139.271773"
"桐原上ノ台公園","群馬県みどり市大間々町桐原521","36.439695","139.271221"
"大間々町第１０区公民館","群馬県みどり市大間々町桐原525-1","36.439902","139.272078"
"大間々北小学校","群馬県みどり市大間々町桐原653","36.441937","139.274567"
"厚生会館","群馬県みどり市大間々町桐原81-2","36.429959","139.269931"
"旧神梅小学校","群馬県みどり市大間々町上神梅68","36.467994","139.255382"
"大間々町第２区公民館","群馬県みどり市大間々町大間々1059-4","36.437233","139.274973"
"大間々町第６区公民館","群馬県みどり市大間々町大間々1075-1","36.429946","139.278598"
"大間々町第１区公民館","群馬県みどり市大間々町大間々1196","36.440455","139.279369"
"大間々町第３区集会所","群馬県みどり市大間々町大間々1339","36.435348","139.27544"
"大間々町第４区集会所","群馬県みどり市大間々町大間々1389-3","36.433477","139.275015"
"大間々町５丁目クラブ","群馬県みどり市大間々町大間々1496-7","36.432435","139.273626"
"大間々東中学校","群馬県みどり市大間々町大間々1829-1","36.422015","139.282896"
"大間々町第１３区集会所","群馬県みどり市大間々町大間々1955-2","36.423155","139.29002"
"大間々グラウンド","群馬県みどり市大間々町大間々1958","36.422001","139.290805"
"はねたき広場","群馬県みどり市大間々町大間々2239","36.437552","139.278137"
"二葉保育園","群馬県みどり市大間々町大間々2261","36.436911","139.272974"
"大間々町第８区集会所","群馬県みどり市大間々町大間々311-1","36.419501","139.279926"
"大間々東小学校","群馬県みどり市大間々町大間々456-1","36.41973","139.284462"
"東保育園","群馬県みどり市大間々町大間々471-1","36.420107","139.282748"
"大間々町第７区公民館","群馬県みどり市大間々町大間々762-6","36.42508","139.272267"
"赤城保育園","群馬県みどり市大間々町大間々775-1","36.443473","139.275939"
"大間々保育園","群馬県みどり市大間々町大間々792-2","36.427388","139.270913"
"大間々南小学校","群馬県みどり市大間々町大間々884","36.428322","139.27248"
"大間々南幼稚園","群馬県みどり市大間々町大間々895","36.428557","139.273791"
"大間々町長尾根公民館","群馬県みどり市大間々町長尾根150","36.452847","139.295417"
"座間集会所","群馬県みどり市東町座間259","36.536571","139.367178"
"東運動公園（社会体育館）","群馬県みどり市東町座間378-4","36.537403","139.37044"
"小中集会所","群馬県みどり市東町小中591-1","36.539156","139.338692"
"小夜戸集会所","群馬県みどり市東町小夜戸901-2","36.525017","139.322152"
"あずま小中学校","群馬県みどり市東町神戸10","36.538489","139.351741"
"神戸生活改善センター","群馬県みどり市東町神戸556-4","36.539556","139.351934"
"草木集会所","群馬県みどり市東町草木208-1","36.554591","139.372636"
"みなかみ町高齢者婦人センター","群馬県みなかみ町阿能川1059-1","36.775695","138.944595"
"粟沢会館","群馬県みなかみ町粟沢262-1","36.80783","139.013053"
"下羽場地区多目的集会施設","群馬県みなかみ町羽場139-5","36.682797","138.963149"
"永井宿郷土館","群馬県みなかみ町永井452-1","36.730335","138.851359"
"猿ヶ京温泉交流公園（まんてん星の湯）","群馬県みなかみ町猿ケ京温泉1150-1","36.72847","138.890047"
"猿ヶ京多目的集会施設","群馬県みなかみ町猿ケ京温泉253-1","36.726065","138.883225"
"月夜野総合公園（多目的運動広場）","群馬県みなかみ町下津字沼田地先","36.67873","138.98922"
"月夜野総合公園（ターゲットバードゴルフ場）","群馬県みなかみ町下津字沼田地先","36.677512","138.990457"
"月夜野総合公園（野球場）","群馬県みなかみ町下津字沼田地先","36.677203","138.991865"
"月夜野総合公園（ゲートボール場）","群馬県みなかみ町下津字沼田地先","36.677571","138.993166"
"下牧公民館","群馬県みなかみ町下牧682-1","36.69621","138.988181"
"月夜野総合体育館","群馬県みなかみ町月夜野135-3","36.680515","138.987056"
"月夜野矢瀬親水公園","群馬県みなかみ町月夜野2936","36.697156","138.981784"
"蟹枠児童公園","群馬県みなかみ町月夜野3272-4","36.68552","138.989997"
"つきよのこども園","群馬県みなかみ町月夜野464","36.680158","138.995307"
"桃野小学校","群馬県みなかみ町月夜野583","36.684615","138.987341"
"利根商業高等学校","群馬県みなかみ町月夜野591","36.685603","138.986955"
"みなかみ中学校","群馬県みなかみ町月夜野80","36.679446","138.99105"
"月夜野総合公園（人工芝ホッケー場）","群馬県みなかみ町月夜野１４３地先","36.679423","138.987437"
"古馬牧小学校","群馬県みなかみ町後閑1064","36.683123","139.000278"
"みなかみ町中央公民館","群馬県みなかみ町後閑321-1","36.67924","138.998558"
"みなかみ町月夜野多目的広場","群馬県みなかみ町後閑38","36.673652","138.999852"
"大中島公園","群馬県みなかみ町後閑字大中島地内","36.685123","138.991932"
"旧幸知小学校（校庭）","群馬県みなかみ町幸知101","36.800194","138.991107"
"水上農林漁業者等健康増進施設（中部）","群馬県みなかみ町綱子165-1","36.80189","139.000739"
"高日向会館","群馬県みなかみ町高日向96-3","36.750074","138.980468"
"師田集会所","群馬県みなかみ町師田183-1","36.673657","138.954864"
"寺間運動公園（野球場）","群馬県みなかみ町寺間479-5","36.744933","138.947375"
"寺間運動公園（サッカー場）","群馬県みなかみ町寺間479-5","36.744693","138.94538"
"鹿野沢会館","群馬県みなかみ町鹿野沢98","36.778993","138.968052"
"小和知公民館","群馬県みなかみ町小川3811-1","36.733372","138.963047"
"小川多目的集会場","群馬県みなかみ町小川460-2","36.712794","138.974451"
"小日向林業集会所","群馬県みなかみ町小日向475","36.766684","138.97177"
"月夜野名胡桃体育館","群馬県みなかみ町上津1244","36.675503","138.977165"
"上牧公民館","群馬県みなかみ町上牧1715","36.729726","138.982239"
"みなかみ町カルチャーセンター","群馬県みなかみ町上牧1735","36.730737","138.982912"
"月夜野北部体育館","群馬県みなかみ町上牧1735","36.730477","138.983333"
"月夜野北部運動広場","群馬県みなかみ町上牧1821-1","36.730577","138.981368"
"月夜野北小学校","群馬県みなかみ町上牧880","36.72842","138.981357"
"新治小学校","群馬県みなかみ町新巻208","36.683946","138.935689"
"みなかみフルーツランドモギトーレ","群馬県みなかみ町新巻5-10","36.685671","138.93805"
"新治Ｂ＆Ｇ海洋センター","群馬県みなかみ町須川1275-1","36.70621","138.905414"
"新治高齢者会館","群馬県みなかみ町須川1346-3","36.707384","138.902796"
"新治中央運動公園（テニスコート）","群馬県みなかみ町須川1346-3","36.707212","138.903874"
"新治中央運動公園（多目的広場）","群馬県みなかみ町須川1354","36.707694","138.900377"
"新治中央運動公園（野球場）","群馬県みなかみ町須川1362-1","36.707178","138.902265"
"にいはるこども園","群馬県みなかみ町須川774-1","36.69782","138.906377"
"農林漁業体験実習館（豊楽館）","群馬県みなかみ町須川847","36.69591","138.908212"
"真政河原児童公園","群馬県みなかみ町政所1021","36.665831","139.011646"
"月夜野南部体育館","群馬県みなかみ町政所463-1","36.670137","139.012203"
"月夜野南部運動広場","群馬県みなかみ町政所９３３－１地内","36.666675","139.008095"
"水上農業者等健康増進施設（南部）","群馬県みなかみ町川上402-1","36.75598","138.969358"
"旧猿ヶ京小学校","群馬県みなかみ町相俣1744-15","36.727824","138.896244"
"赤谷公民館","群馬県みなかみ町相俣2173","36.742678","138.896689"
"大穴多目的広場","群馬県みなかみ町大穴270","36.797455","138.986309"
"水上中部コミュニティセンター","群馬県みなかみ町大穴270-4","36.797966","138.986529"
"湯テルメ谷川","群馬県みなかみ町谷川514-12","36.788691","138.954154"
"みなかみ町駐車場（湯原）","群馬県みなかみ町湯原1681-1","36.764376","138.968347"
