"施設名","所在地","緯度","経度"
"つるぎ町多目的広場","徳島県つるぎ町一宇字蔭25-2","33.954431","134.066503"
"せせらぎの風駐車場","徳島県つるぎ町貞光字せせらぎ1","34.043121","134.067415"
"つるぎ町就業改善センター駐車場","徳島県つるぎ町貞光字宮下61","34.038191","134.061776"
"太田小学校グラウンド","徳島県つるぎ町貞光字太田西107","34.044397","134.080232"
"貞光ゆうゆうパーク","徳島県つるぎ町貞光字大須賀-","34.043165","134.056615"
"貞光ゆうゆう館駐車場","徳島県つるぎ町貞光字大須賀11-1","34.042454","134.059898"
"貞光中学校グラウンド","徳島県つるぎ町貞光字中須賀52","34.036969","134.064848"
"つるぎ町保健センター駐車場","徳島県つるぎ町貞光字中須賀68-1","34.040334","134.064985"
"西部テクノスクールグラウンド","徳島県つるぎ町貞光字東浦128-4","34.032563","134.06359"
"つるぎ高等学校グラウンド","徳島県つるぎ町貞光字馬出63-2","34.041356","134.055487"
"貞光小学校グラウンド","徳島県つるぎ町貞光字野口87","34.036213","134.060083"
"日浦小学校グラウンド","徳島県つるぎ町半田字蔭名1292","34.025841","134.023411"
"高清小学校グラウンド","徳島県つるぎ町半田字高清1398","34.001518","134.03901"
"坂根小学校グラウンド","徳島県つるぎ町半田字坂根346","33.98935","134.03681"
"半田地域福祉センターやすらぎ苑駐車場","徳島県つるぎ町半田字小野521","34.038827","134.029933"
"特別養護老人ホームうらら荘駐車場","徳島県つるぎ町半田字松生150-1","34.041285","134.023165"
"つるぎ町スポーツセンター駐車場","徳島県つるぎ町半田字田井202","34.030527","134.030291"
"長谷保農村公園","徳島県つるぎ町半田字田井247-1","34.02954","134.030553"
"半田中学校グラウンド","徳島県つるぎ町半田字田井282","34.031679","134.029962"
"八千代中学校グラウンド","徳島県つるぎ町半田字日開野122","33.997347","134.028145"
"伊島中学校　（休校中）校舎２階","徳島県阿南市伊島町瀬戸3","33.844448","134.809177"
"伊島小学校　（休校中）校舎２階","徳島県阿南市伊島町瀬戸3-2","33.844622","134.808876"
"岩脇福祉会館","徳島県阿南市羽ノ浦町岩脇町筋20-3","33.941667","134.618074"
"岩脇小学校グラウンド","徳島県阿南市羽ノ浦町岩脇町筋87","33.942062","134.615775"
"岩脇小学校校舎２階以上","徳島県阿南市羽ノ浦町岩脇町筋87","33.942374","134.615614"
"羽ノ浦公民館建物２階　（洪水・高潮）","徳島県阿南市羽ノ浦町宮倉大木38-4","33.953578","134.6223"
"羽ノ浦公民館敷地","徳島県阿南市羽ノ浦町宮倉大木38-4","33.953424","134.622139"
"羽ノ浦公民館建物","徳島県阿南市羽ノ浦町宮倉大木38-4","33.953575","134.622247"
"羽ノ浦中学校グラウンド","徳島県阿南市羽ノ浦町宮倉沢田154","33.953239","134.617444"
"羽ノ浦中学校校舎　（津波）","徳島県阿南市羽ノ浦町宮倉沢田154","33.953529","134.617201"
"羽ノ浦中学校校舎３階以上　（洪水・高潮）","徳島県阿南市羽ノ浦町宮倉沢田154","33.953587","134.617305"
"羽ノ浦グラウンド","徳島県阿南市羽ノ浦町宮倉沢田82","33.953637","134.619098"
"能路寺山","徳島県阿南市羽ノ浦町宮倉背戸田60","33.967972","134.625336"
"阿南市勤労女性センター２階","徳島県阿南市羽ノ浦町春日野1-75","33.960985","134.616939"
"羽ノ浦小学校校舎　（津波）","徳島県阿南市羽ノ浦町中庄原婦知1-1","33.958159","134.62806"
"羽ノ浦小学校グラウンド","徳島県阿南市羽ノ浦町中庄原婦知1-1","33.957583","134.628378"
"羽ノ浦小学校体育館","徳島県阿南市羽ノ浦町中庄原婦知1-1","33.957948","134.627766"
"羽ノ浦小学校校舎２階　（洪水・高潮）","徳島県阿南市羽ノ浦町中庄原婦知1-1","33.958115","134.628046"
"富岡東高等学校羽ノ浦校校舎２階以上　（洪水・高潮）","徳島県阿南市羽ノ浦町中庄市50-1","33.959731","134.627975"
"富岡東高等学校羽ノ浦校グラウンド","徳島県阿南市羽ノ浦町中庄市50-1","33.959778","134.627574"
"富岡東高等学校羽ノ浦校校舎　（津波）","徳島県阿南市羽ノ浦町中庄市50-1","33.959771","134.628002"
"富岡東高等学校羽ノ浦校体育館","徳島県阿南市羽ノ浦町中庄市50-1","33.959482","134.627503"
"富岡東高等学校羽ノ浦校部室棟","徳島県阿南市羽ノ浦町中庄市50-1","33.959255","134.627379"
"阿南市情報文化センター","徳島県阿南市羽ノ浦町中庄上ナカレ16-3","33.954091","134.623754"
"横見小学校北校舎２階以上　（津波）","徳島県阿南市横見町前長岡67-2","33.928982","134.655507"
"横見小学校北校舎３階以上　（洪水・高潮）","徳島県阿南市横見町前長岡67-2","33.928928","134.65548"
"横見小学校グラウンド","徳島県阿南市横見町前長岡67-2","33.928221","134.655514"
"横見小学校西校舎２階","徳島県阿南市横見町前長岡67-2","33.928626","134.655421"
"横見小学校南校舎２階","徳島県阿南市横見町前長岡67-2","33.928768","134.655737"
"大野小学校校舎３階","徳島県阿南市下大野町三条5","33.93449","134.595598"
"大野小学校体育館","徳島県阿南市下大野町三条5","33.934753","134.595582"
"大野小学校グラウンド","徳島県阿南市下大野町三条5","33.933983","134.595491"
"加茂谷中学校校舎４階","徳島県阿南市加茂町南不け1","33.914033","134.550153"
"加茂谷中学校グラウンド","徳島県阿南市加茂町南不け1","33.914553","134.550222"
"加茂谷総合センター２階　（土砂災害）","徳島県阿南市加茂町野上22-11","33.921175","134.552795"
"加茂谷総合センター　（洪水・高潮）","徳島県阿南市加茂町野上22-11","33.921271","134.55281"
"吉井小学校グラウンド","徳島県阿南市吉井町原18-2","33.922089","134.558881"
"吉井小学校体育館","徳島県阿南市吉井町原18-2","33.921813","134.559202"
"橘こどもセンター２階　（津波）","徳島県阿南市橘町久保38-3","33.875138","134.640595"
"橘こどもセンター　（洪水・高潮）","徳島県阿南市橘町久保38-3","33.875217","134.640494"
"橘地区防災公園","徳島県阿南市橘町西浦58","33.873727","134.639778"
"橘小学校グラウンド","徳島県阿南市橘町大浦166-1","33.87104","134.631998"
"橘小学校校舎２階以上","徳島県阿南市橘町大浦166-1","33.870994","134.632955"
"ふるさと館建物２階","徳島県阿南市橘町土井崎115-16","33.851904","134.623984"
"ふるさと館敷地","徳島県阿南市橘町土井崎115-16","33.851721","134.623978"
"旧クリーンセンター敷地","徳島県阿南市橘町土井崎117-14","33.851951","134.623109"
"旧クリーンセンター管理棟","徳島県阿南市橘町土井崎117-14","33.852107","134.622643"
"南部ふるさとふれあい運動公園","徳島県阿南市橘町土井崎34","33.850925","134.623864"
"橘町総合センター　２階（高潮）","徳島県阿南市橘町豊浜36-15","33.871685","134.640411"
"橘町総合センター　（洪水・土砂災害）","徳島県阿南市橘町豊浜36-15","33.872051","134.641121"
"阿南市クリーンピュア管理棟３階　（土砂災害）","徳島県阿南市熊谷町定方44","33.916649","134.577349"
"阿南市クリーンピュア管理棟　（洪水・高潮）","徳島県阿南市熊谷町定方44","33.916506","134.577356"
"阿南市クリーンピュア敷地","徳島県阿南市熊谷町定方44","33.916775","134.576575"
"桑野小学校校舎２階以上","徳島県阿南市桑野町岡元40-1","33.873491","134.611721"
"桑野小学校グラウンド","徳島県阿南市桑野町岡元40-1","33.873792","134.611928"
"見能林小学校体育館","徳島県阿南市見能林町西内35","33.90096","134.670061"
"見能林小学校校舎２階以上","徳島県阿南市見能林町西内35","33.900761","134.670553"
"阿南工業高等専門学校校舎２階以上","徳島県阿南市見能林町青木265","33.898087","134.667196"
"阿南工業高等専門学校グラウンド","徳島県阿南市見能林町青木265","33.896807","134.668368"
"阿南中学校校舎２階以上","徳島県阿南市見能林町南勘高1","33.905505","134.665793"
"阿南中学校体育館３階以上","徳島県阿南市見能林町南勘高1","33.90563","134.664892"
"見能林公民館　（土砂災害）","徳島県阿南市見能林町念仏免4-1","33.901207","134.669472"
"見能林公民館２階　（津波・洪水・高潮）","徳島県阿南市見能林町念仏免4-1","33.901249","134.669511"
"東部自然公園散策路","徳島県阿南市才見町米島裏6","33.914035","134.684113"
"山口小学校東校舎２階","徳島県阿南市山口町久延69-1","33.872926","134.581788"
"山口小学校グラウンド","徳島県阿南市山口町久延69-1","33.872614","134.58168"
"桑野公民館建物２階　（洪水・高潮）","徳島県阿南市山口町内田150-1","33.871355","134.603852"
"桑野公民館敷地","徳島県阿南市山口町内田150-1","33.871506","134.603782"
"桑野公民館建物　（土砂災害）","徳島県阿南市山口町内田150-1","33.871364","134.603884"
"スポーツ総合センター　（土砂災害）","徳島県阿南市七見町下川田100-1","33.919748","134.684299"
"スポーツ総合センター２階　（津波・洪水・高潮）","徳島県阿南市七見町下川田100-1","33.919748","134.684228"
"阿南支援学校体育館","徳島県阿南市上大野町大山田52","33.925757","134.581509"
"阿南支援学校グラウンド","徳島県阿南市上大野町大山田52","33.926122","134.582576"
"中野島小学校校舎２階","徳島県阿南市上中町中原182-1","33.932924","134.628544"
"中野島小学校グラウンド","徳島県阿南市上中町中原182-1","33.932426","134.629124"
"阿南光高等学校新野キャンパスグラウンド","徳島県阿南市新野町室ノ久保12","33.851106","134.59571"
"阿南光高等学校新野キャンパス体育館２階","徳島県阿南市新野町室ノ久保12","33.850282","134.595259"
"新野東小学校グラウンド","徳島県阿南市新野町是国37-2","33.845277","134.603828"
"新野東小学校体育館","徳島県阿南市新野町是国37-2","33.845144","134.604155"
"新野公民館建物２階　（洪水）","徳島県阿南市新野町西馬場18","33.847815","134.581948"
"新野公民館建物　（土砂災害）","徳島県阿南市新野町西馬場18","33.847801","134.581884"
"新野公民館敷地","徳島県阿南市新野町西馬場18","33.847556","134.581835"
"新野小学校グラウンド","徳島県阿南市新野町南宮ノ久保70-1","33.846871","134.580216"
"新野小学校北校舎２階以上","徳島県阿南市新野町南宮ノ久保70-1","33.847357","134.580865"
"新野中学校　体育館","徳島県阿南市新野町馬見21","33.844395","134.578973"
"新野中学校グラウンド","徳島県阿南市新野町馬見21","33.843798","134.579295"
"新野西小学校　（休校中）校舎２階以上","徳島県阿南市新野町友常1","33.838561","134.541711"
"新野西小学校　（休校中）グラウンド","徳島県阿南市新野町友常1","33.838971","134.541942"
"深瀬町コミュニティセンター２階","徳島県阿南市深瀬町大畝町35-1","33.922006","134.548076"
"大井小学校　（休校中）体育館","徳島県阿南市大井町東平127-1","33.908939","134.517669"
"大井小学校　（休校中）南校舎２階","徳島県阿南市大井町東平127-1","33.908832","134.517926"
"大井小学校　（休校中）グラウンド","徳島県阿南市大井町東平127-1","33.909224","134.517637"
"阿南市武道館","徳島県阿南市大潟町210-56","33.88471","134.668492"
"大潟会館","徳島県阿南市大潟町214-16","33.885134","134.667632"
"阿南西部公園","徳島県阿南市中大野町南傍示","33.922503","134.58108"
"大野公民館建物２階　（洪水・高潮）","徳島県阿南市中大野町北傍示440-2","33.933253","134.594248"
"大野公民館建物　（土砂災害）","徳島県阿南市中大野町北傍示440-2","33.933267","134.594167"
"大野公民館敷地","徳島県阿南市中大野町北傍示440-2","33.933387","134.5945"
"長生小学校体育館","徳島県阿南市長生町五反地25-2","33.910234","134.616545"
"長生小学校　校舎　３階","徳島県阿南市長生町五反地25-2","33.909829","134.616663"
"長生小学校　グラウンド","徳島県阿南市長生町五反地25-2","33.909517","134.617022"
"長生公民館　建物　２階（洪水・高潮）","徳島県阿南市長生町上荒井楠ノ前4-2","33.908655","134.619346"
"長生公民館　敷地","徳島県阿南市長生町上荒井楠ノ前4-2","33.908795","134.619228"
"長生公民館　建物　（土砂災害）","徳島県阿南市長生町上荒井楠ノ前4-2","33.908715","134.619378"
"阿南第一中学校　グラウンド","徳島県阿南市長生町西方589","33.927124","134.626364"
"阿南第一中学校　校舎　３階","徳島県阿南市長生町西方589","33.926494","134.625149"
"津乃峰小学校　体育館（土砂災害）","徳島県阿南市津乃峰町戎山129-37","33.884659","134.649595"
"津乃峰小学校　校舎　３階　（津波）","徳島県阿南市津乃峰町戎山129-37","33.884387","134.650005"
"津乃峰小学校　校舎　２階以上（洪水・高潮）","徳島県阿南市津乃峰町戎山129-37","33.884408","134.649924"
"津乃峰町新浜地区　津波避難タワー","徳島県阿南市津乃峰町新浜18-5","33.884917","134.660061"
"津乃峰地区防災公園","徳島県阿南市津乃峰町西分213-1","33.886436","134.641869"
"津乃峰総合センター　（土砂災害）","徳島県阿南市津乃峰町長浜494","33.888787","134.655938"
"津乃峰総合センター　３階以上（津波）","徳島県阿南市津乃峰町長浜494","33.888758","134.655819"
"津乃峰総合センター２階以上　（洪水・高潮）","徳島県阿南市津乃峰町長浜494","33.888772","134.655878"
"蒲生田小学校　（休校中）グラウンド","徳島県阿南市椿町蒲生田2","33.838152","134.741689"
"蒲生田小学校　（休校中）校舎　（洪水・土砂災害・津波）","徳島県阿南市椿町蒲生田2","33.838406","134.74162"
