"施設名","所在地","緯度","経度"
"かしの木台集会所","奈良県安堵町大字かしの木台1-4-1","34.601138","135.759836"
"岡崎公民館","奈良県安堵町大字岡崎194-3","34.604086","135.763538"
"笠目公民館","奈良県安堵町大字笠目534","34.60071","135.743369"
"上窪田公民館","奈良県安堵町大字窪田137","34.597269","135.764814"
"北窪田自治会館","奈良県安堵町大字窪田20-1","34.601019","135.766738"
"窪田中央公民館","奈良県安堵町大字窪田316","34.595226","135.761623"
"中窪田自治会館","奈良県安堵町大字窪田394-6","34.5935","135.759993"
"安堵中央公園","奈良県安堵町大字窪田628-1","34.598226","135.757106"
"東窪田自治会館","奈良県安堵町大字窪田93-11","34.597849","135.766162"
"下窪田自治会館","奈良県安堵町大字窪田984-5","34.591732","135.755821"
"若草の里集会所","奈良県安堵町大字西安堵17-64","34.602501","135.754162"
"西安堵公民館","奈良県安堵町大字西安堵742","34.604282","135.751389"
"あつみ台公民館","奈良県安堵町大字東安堵1-34","34.618758","135.759556"
"東安堵南公民館","奈良県安堵町大字東安堵1331","34.604577","135.758349"
"柿の里団地集会所","奈良県安堵町大字東安堵1787-14","34.600935","135.754308"
"小泉苑公民館","奈良県安堵町大字東安堵34-6","34.615953","135.760553"
"室生山上公園芸術の森","奈良県宇陀市室生181","34.537975","136.032549"
"室生地域文化伝習展示施設（あさぎりホール）","奈良県宇陀市室生892","34.533948","136.037844"
"文化芸術活動体験交流施設（ふるさと元気村）","奈良県宇陀市室生下田口1112","34.520925","136.046238"
"向渕生活改善センター（やまびこホール）","奈良県宇陀市室生向渕3649","34.577333","135.995265"
"旧室生東小学校","奈良県宇陀市室生三本松2138","34.572789","136.027295"
"音楽の森ふれあい館","奈良県宇陀市室生上笠間444-1","34.611321","136.029352"
"蕨集会所・室生東児童館","奈良県宇陀市室生西谷152","34.572684","136.050178"
"室生小学校","奈良県宇陀市室生大野1912","34.56383","136.013237"
"室生福祉保健交流センター（ぬく森の郷）","奈良県宇陀市室生大野3776-1","34.556106","136.001785"
"室生人権交流センター・室生北児童館","奈良県宇陀市室生無山727-2","34.587479","135.9734"
"たかぎふるさと館","奈良県宇陀市榛原髙井612","34.507378","135.993115"
"榛原西小学校","奈良県宇陀市榛原下井足1061","34.521127","135.946676"
"伊那佐地区体育館　（旧伊那佐小学校）","奈良県宇陀市榛原石田109","34.495566","135.954782"
"榛原東小学校","奈良県宇陀市榛原赤瀬190","34.545954","135.96461"
