"施設名","所在地","緯度","経度"
"羽島交流センター","鹿児島県いちき串木野市羽島5218","31.759044","130.202018"
"羽島小学校体育館","鹿児島県いちき串木野市羽島5359","31.756427","130.202509"
"土川交流センター","鹿児島県いちき串木野市羽島9675","31.778705","130.181393"
"願船寺","鹿児島県いちき串木野市栄町23","31.716972","130.265494"
"旧冠岳小学校体育館","鹿児島県いちき串木野市冠岳12844-1","31.738531","130.344605"
"冠岳交流センター","鹿児島県いちき串木野市冠岳13511-2","31.743344","130.350892"
"芹ケ野公民館","鹿児島県いちき串木野市芹ケ野15367-2","31.759625","130.306589"
"旭小学校体育館","鹿児島県いちき串木野市金山14067","31.752781","130.29667"
"旭交流センター","鹿児島県いちき串木野市金山14103-1","31.753002","130.297083"
"中央交流センター","鹿児島県いちき串木野市元町236","31.719202","130.266116"
"荒川小学校体育館","鹿児島県いちき串木野市荒川2347-1","31.748192","130.250718"
"荒川交流センター","鹿児島県いちき串木野市荒川2450-1","31.748124","130.251094"
"市民文化センター（中央公民館）","鹿児島県いちき串木野市昭和通133-1","31.714427","130.271234"
"照島小学校体育館","鹿児島県いちき串木野市照島5453-3","31.705916","130.278977"
"働く女性の家","鹿児島県いちき串木野市新生町183","31.710027","130.265155"
"串木野高齢者福祉センター","鹿児島県いちき串木野市新生町183","31.710196","130.265257"
"総合体育館","鹿児島県いちき串木野市生福5298-3","31.718298","130.296057"
"生冠中学校体育館","鹿児島県いちき串木野市生福8551","31.725447","130.312704"
"生福小学校","鹿児島県いちき串木野市生福8605","31.725596","130.311788"
"無量寺","鹿児島県いちき串木野市西島平町375","31.707866","130.270945"
"本浦交流センター","鹿児島県いちき串木野市西浜町1-1","31.717899","130.26269"
"川上小学校体育館","鹿児島県いちき串木野市川上1200","31.713741","130.326099"
"市来川上郵便局","鹿児島県いちき串木野市川上1215-1","31.713333","130.327152"
"川上生活改善センター","鹿児島県いちき串木野市川上1707","31.710058","130.326602"
"川上交流センター","鹿児島県いちき串木野市川上978","31.709415","130.322043"
"川南交流センター","鹿児島県いちき串木野市大里3246-1","31.672732","130.303522"
"市来小学校体育館","鹿児島県いちき串木野市大里3731","31.685556","130.294596"
"市来中学校体育館","鹿児島県いちき串木野市大里3764","31.686329","130.293395"
"市来体育館","鹿児島県いちき串木野市大里5547-1","31.685971","130.29605"
"川北交流センター","鹿児島県いちき串木野市大里5664","31.677819","130.306808"
"串木野体育センター","鹿児島県いちき串木野市長崎町91","31.708926","130.266536"
"串木野小学校体育館","鹿児島県いちき串木野市日出町536","31.718677","130.277785"
"串木野中学校体育館","鹿児島県いちき串木野市日出町700","31.718487","130.279807"
"串木野特別支援学校体育館","鹿児島県いちき串木野市八房1041","31.704907","130.289"
"串木野高等学校体育館","鹿児島県いちき串木野市美住町65","31.710976","130.267816"
"串木野西中学校体育館","鹿児島県いちき串木野市平江20226-1","31.729393","130.264209"
"野平交流センター","鹿児島県いちき串木野市平江20271-5","31.728253","130.262032"
"浄宝寺","鹿児島県いちき串木野市本浜町38","31.718119","130.264437"
"市来高齢者福祉センター","鹿児島県いちき串木野市湊町1-102","31.692396","130.289385"
"いちきアクアホール","鹿児島県いちき串木野市湊町1-102","31.69243","130.289951"
"漁民会館","鹿児島県いちき串木野市湊町1-103","31.693206","130.289432"
"市来保健センター","鹿児島県いちき串木野市湊町1-115","31.693434","130.290297"
"市来保育園","鹿児島県いちき串木野市湊町1-253","31.691365","130.291335"
"西村寺","鹿児島県いちき串木野市湊町1-95","31.694104","130.289298"
"市来農芸高等学校体育館","鹿児島県いちき串木野市湊町160","31.690814","130.295617"
"浄泉寺","鹿児島県いちき串木野市湊町3-93","31.693569","130.293183"
"上名交流センター","鹿児島県いちき串木野市麓817","31.723093","130.288817"
"アロン電機㈱第３工場従業員休憩室","鹿児島県さつま町永野1022-1","31.924708","130.582455"
"久富木区公民館","鹿児島県さつま町久富木1790","31.852417","130.452572"
"盈進小学校","鹿児島県さつま町宮之城屋地1546-3","31.905629","130.454295"
"宮之城鉄道記念館","鹿児島県さつま町宮之城屋地2036-4","31.905328","130.456829"
"宮之城中学校","鹿児島県さつま町宮之城屋地391","31.902177","130.447092"
"屋地楽習館","鹿児島県さつま町宮之城屋地887","31.900913","130.451885"
"薩摩農村環境改善センター","鹿児島県さつま町求名12753-3","31.926454","130.537977"
"旧求名小学校","鹿児島県さつま町求名2737","31.941459","130.531987"
"薩摩中央高等学校","鹿児島県さつま町虎居1900","31.913824","130.451866"
"宮之城伝統工芸センター","鹿児島県さつま町虎居2638-1","31.917451","130.446184"
"県営若草団地集会室","鹿児島県さつま町虎居町9-5","31.909061","130.451167"
"佐志交流館","鹿児島県さつま町広瀬1178","31.919777","130.49308"
"山崎交流館","鹿児島県さつま町山崎853-1","31.865472","130.432315"
"紫尾区公民館","鹿児島県さつま町紫尾349-5","31.960152","130.434847"
"紫尾地区体育館","鹿児島県さつま町紫尾362-1","31.959823","130.434676"
"宮之城トレーニングセンター","鹿児島県さつま町時吉1743","31.916937","130.47447"
"鶴田保健センター","鹿児島県さつま町神子228-1","31.95648","130.477321"
