"施設名","所在地","緯度","経度"
"阿武町ふれあいセンター","山口県阿武町大字宇田2224","34.566513","131.54643"
"阿武小中学校屋内運動場","山口県阿武町大字奈古2964-1","34.505299","131.473535"
"山口県立萩高等学校奈古分校　屋内運動場","山口県阿武町大字奈古2968-1","34.504187","131.473698"
"阿武町町民センター","山口県阿武町大字奈古3078-1","34.505978","131.47529"
"阿武町体育センター","山口県阿武町大字奈古3193-1","34.505784","131.475764"
"阿武町のうそんセンター","山口県阿武町大字福田下1365","34.517059","131.597693"
"鵜の島ふれあいセンター","山口県宇部市鵜の島町7-6","33.962073","131.238018"
"恩田運動公園","山口県宇部市恩田町4","33.944189","131.269982"
"俵田翁記念体育館","山口県宇部市恩田町4-1-1","33.946801","131.272249"
"常盤ふれあいセンター","山口県宇部市亀浦1-1-50","33.944533","131.288418"
"三嶋会館","山口県宇部市居能町2-8-22","33.966899","131.229652"
"厚南市民センター","山口県宇部市厚南中央3-1-2","33.994143","131.217846"
"隣保館厚南会館　（厚南ふれあいセンター）","山口県宇部市厚南北1-2-24","34.000795","131.21885"
"迫条自治会館","山口県宇部市厚南北4-19-17","34.004629","131.214524"
"黒石小学校","山口県宇部市黒石北3-2-35","33.984578","131.209546"
"黒石ふれあいセンター","山口県宇部市黒石北3-2-37-12","33.984138","131.207733"
"恩田小学校","山口県宇部市笹山町1-4-1","33.942202","131.262671"
"鵜ノ島小学校","山口県宇部市小松原町2-10-25","33.963619","131.239781"
"西岐波小学校","山口県宇部市床波3-4-10","33.956699","131.311746"
"白土自治会館","山口県宇部市床波4-8-40-6","33.957542","131.316665"
"西岐波ふれあいセンター","山口県宇部市床波6-5-23","33.954838","131.312293"
"見初ふれあいセンター","山口県宇部市昭和町1-3-6","33.942682","131.254512"
"岩鼻公園","山口県宇部市松崎町","33.981158","131.224787"
"松崎会館","山口県宇部市松崎町3-5","33.982766","131.225038"
"神原ふれあいセンター","山口県宇部市松山町1-5-16","33.94716","131.253893"
"見初小学校","山口県宇部市松山町2-4-42","33.94294","131.25574"
"岬ふれあいセンター・岬小学校","山口県宇部市松山町5-8-10","33.935447","131.259511"
"上宇部中学校","山口県宇部市沼2-4-8","33.960749","131.265503"
"善福寺","山口県宇部市上条3-8-8","33.972629","131.234745"
"藤山小学校","山口県宇部市上条4-4-1","33.974582","131.232063"
"浄円寺","山口県宇部市上町1-5-12","33.958974","131.23927"
"常盤中学校","山口県宇部市上野中町3-40","33.951967","131.27395"
"信行寺","山口県宇部市常盤町1-6-13","33.950676","131.248641"
"中央公園","山口県宇部市神原町1","33.948763","131.258269"
"神原小学校","山口県宇部市神原町1-1-1","33.951679","131.256046"
"西宇部町自治会館","山口県宇部市西宇部南4-4-6","34.002692","131.222716"
"西宇部ふれあいセンター","山口県宇部市西宇部北3-9-15","34.005221","131.220329"
"西ヶ丘自治会館","山口県宇部市西宇部北7-12-17","34.005009","131.225529"
"琴芝ふれあいセンター","山口県宇部市西梶返2-10-1","33.952867","131.263266"
"新川小学校","山口県宇部市西小串1-4-25","33.963116","131.248251"
"宇部典礼会館","山口県宇部市西平原2-9-33","33.976328","131.222603"
"楠総合センター","山口県宇部市船木442-11","34.045822","131.226771"
"恩田ふれあいセンター","山口県宇部市草江1-6-7","33.93949","131.271758"
"寿福寺","山口県宇部市大字奥万倉1636","34.130379","131.241809"
"宇部西リハビリテーション病院","山口県宇部市大字沖ノ旦797","33.995787","131.225559"
"常盤公園","山口県宇部市大字沖宇部","33.94758","131.288951"
"厚東川中学校","山口県宇部市大字吉見1184","34.041668","131.264771"
"立熊ふれあい会館","山口県宇部市大字吉見152-2","34.054651","131.267211"
"中村農業構造改善センター","山口県宇部市大字吉見1727-5","34.039112","131.258562"
"温見自治会集会所","山口県宇部市大字吉見2608-1","34.028089","131.254458"
"広瀬公会堂","山口県宇部市大字広瀬563-1","34.001092","131.239002"
"原ふれあいセンター","山口県宇部市大字妻崎開作1990","33.971423","131.202306"
"春日町自治会館","山口県宇部市大字際波247-3","34.012878","131.218899"
