"施設名","所在地","緯度","経度"
"るり色ふるさと館","福岡県うきは市吉井町983-1","33.345856","130.756574"
"江南コミュニティセンター","福岡県うきは市吉井町新治1063-1","33.352974","130.743473"
"うきは市役所","福岡県うきは市吉井町新治316","33.347418","130.755021"
"千年コミュニティセンター","福岡県うきは市吉井町千年245-1","33.347964","130.769495"
"福富コミュニティセンター","福岡県うきは市吉井町福益1609-1","33.332104","130.753713"
"青少幼年教化センター","福岡県うきは市浮羽町高見669-3","33.350602","130.810566"
"山春コミュニティセンター","福岡県うきは市浮羽町山北783-69","33.341069","130.826168"
"小塩コミュニティセンター","福岡県うきは市浮羽町小塩2548-1","33.312191","130.839862"
"新川コミュニティセンター","福岡県うきは市浮羽町新川2515","33.2943","130.806201"
"うきは市民ホール","福岡県うきは市浮羽町朝田561-1","33.332497","130.791146"
"御幸コミュニティセンター","福岡県うきは市浮羽町朝田562-11","33.333122","130.791424"
"うきは市民センター","福岡県うきは市浮羽町朝田582-1","33.332466","130.793186"
"田篭コミュニティセンター","福岡県うきは市浮羽町田篭1151-1","33.271871","130.841779"
"尼ヶ瀬区公民館","福岡県うきは市浮羽町妹川2422-7","33.309675","130.765741"
"みやこ町豊津運動公園陸上競技場","福岡県みやこ町国分1205","33.683166","130.977647"
"豊津Ｂ＆Ｇ海洋センター体育館","福岡県みやこ町国分636","33.683964","130.979111"
"伊良原コミュニティセンター「隠国の里」","福岡県みやこ町犀川下伊良原1883-53","33.572844","130.945043"
"みやこ町コミュニティセンター「いこいの里」","福岡県みやこ町犀川古川50","33.648408","130.947924"
"みやこ伊良原学園","福岡県みやこ町犀川上伊良原178-2","33.562947","130.95294"
"ふるさと会館","福岡県みやこ町犀川上伊良原420","33.556674","130.951344"
"ユータウン犀川","福岡県みやこ町犀川本庄332-3","33.650769","130.939741"
"犀川小学校","福岡県みやこ町犀川本庄620","33.647494","130.941049"
"犀川体育館","福岡県みやこ町犀川本庄641-1","33.648478","130.943131"
"中央公民館","福岡県みやこ町犀川本庄641-1","33.648429","130.943466"
"犀川中学校","福岡県みやこ町犀川本庄763","33.646123","130.943517"
"みやこ町犀川運動公園運動場","福岡県みやこ町犀川末江500-3","33.645275","130.952717"
"諫山小学校","福岡県みやこ町勝山岩熊554","33.709888","130.890475"
"諫山地区活性化センター","福岡県みやこ町勝山岩熊730-1","33.709117","130.889787"
"勝山中学校グラウンド","福岡県みやこ町勝山黒田1176-4","33.701728","130.917814"
"勝山中学校","福岡県みやこ町勝山黒田1177","33.701264","130.917241"
"黒田小学校","福岡県みやこ町勝山黒田825","33.703976","130.922226"
"サン・グレートみやこ","福岡県みやこ町勝山黒田86-1","33.699904","130.921388"
"みやこ町役場本庁別館","福岡県みやこ町勝山上田971","33.698791","130.921403"
"勝山体育館","福岡県みやこ町勝山上田976","33.699414","130.921203"
"久保小学校","福岡県みやこ町勝山大久保1423","33.689041","130.910856"
"みやこ町豊津グラウンド","福岡県みやこ町豊津1113","33.670962","130.97263"
"みやこ町豊津福祉センター「すどりの里」","福岡県みやこ町豊津2174-1","33.668313","130.974506"
"豊津中学校","福岡県みやこ町豊津429-2","33.682952","130.97304"
"豊津小学校","福岡県みやこ町豊津9-1","33.674099","130.972209"
"高田小学校","福岡県みやま市高田町下楠田1443","33.095671","130.464156"
"旧竹海小学校","福岡県みやま市高田町海津966","33.120924","130.489901"
"高田中学校","福岡県みやま市高田町岩津326","33.113483","130.467994"
"旧岩田小学校","福岡県みやま市高田町原1041","33.112093","130.473959"
"旧江浦小学校","福岡県みやま市高田町江浦611","33.110504","130.447017"
"旧開小学校","福岡県みやま市高田町黒崎開582","33.093095","130.44349"
"あたご苑","福岡県みやま市高田町今福314-1","33.108475","130.466721"
"まいピア高田","福岡県みやま市高田町濃施14","33.100236","130.455058"
