公園番号,公園名称,ｶﾅ公園名称,公園種別,所在地,所管名,支所名,校区名,開設面積（ha）
400-171,高蔵寺第２緑地,ﾀｶｸﾗｼﾞﾀﾞｲ2ﾘｮｸﾁ,都市緑地,南区高倉台２丁２２－２,泉ヶ丘,南,高倉台西,0.14
400-172,鳳西町第４公園,ｵｵﾄﾘﾆｼﾏﾁﾀﾞｲ4ｺｳｴﾝ,街区,西区鳳西町１丁９５,大浜,西,鳳南,0.26
400-173,浜寺南町第１公園,ﾊﾏﾃﾞﾗﾐﾅﾐﾏﾁﾀﾞｲ1ｺｳｴﾝ,街区,西区浜寺南町３丁１２,大浜,西,浜寺昭和,0.22
400-174,浜寺南町第２公園,ﾊﾏﾃﾞﾗﾐﾅﾐﾏﾁﾀﾞｲ2ｺｳｴﾝ,街区,西区浜寺南町２丁３,大浜,西,鳳南,0.36
400-175,土師町くちなし公園,ﾊｾﾞﾁｮｳｸﾁﾅｼｺｳｴﾝ,幼児,中区土師町４丁１６４４－８７,原池,中,土師,0.09
400-176,土師町ののいけ緑地公園,ﾊｾﾞﾁｮｳﾉﾉｲｹﾘｮｸﾁｺｳｴﾝ,幼児,中区土師町４丁１６４４－８９,原池,中,土師,0.07
400-177,陶器北やまぶき公園,ﾄｳｷｷﾀﾔﾏﾌﾞｷｺｳｴﾝ,広場,中区陶器北１１６５－１,原池,中,東陶器,0.02
400-178,西野やまもみじ公園,ﾆｼﾉﾔﾏﾓﾐｼﾞｺｳｴﾝ,広場,東区西野５５８－２０,原池,東,登美丘南,0.01
400-179,引野町ぼたん公園,ﾋｷﾉﾎﾞﾀﾝｺｳｴﾝ,幼児,東区引野町２丁２４－４,原池,東,八下西,0.06
400-180,辻之めたせこいあ公園,ﾂｼﾞﾉﾒﾀｾｺｲｱｺｳｴﾝ,幼児,中区辻之１１７１－１１５,原池,中,西陶器,0.04
400-181,土師町かきのき公園,ﾊｾﾞﾁｮｳｶｷﾉｷｺｳｴﾝ,広場,中区土師町４丁１８４１－４４,原池,中,土師,0.03
400-182,大野芝町こなら公園,ｵｵﾉｼﾊﾞﾁｮｳｺﾅﾗｺｳｴﾝ,広場,中区大野芝町９８－３,原池,中,東百舌鳥,0.01
400-183,砂道町つつじ緑地公園,ｽﾅﾐﾁﾁｮｳﾂﾂｼﾞﾘｮｸﾁｺｳｴﾝ,幼児,堺区砂道町２丁４５－７２,大浜,堺,錦綾,0.03
400-184,金岡町なでしこ公園,ｶﾅｵｶﾁｮｳﾅﾃﾞｼｺｺｳｴﾝ,広場,北区金岡町１０９２－１３,大浜,北,金岡,0.02
