公園番号,公園名称,ｶﾅ公園名称,公園種別,所在地,所管名,支所名,校区名,開設面積（ha）
400-295,泉ヶ丘緑道,ｲｽﾞﾐｶﾞｵｶﾘｮｸﾄﾞｳ,緑道,南区宮山台１丁６－２,泉ヶ丘,南,宮山台,31.28
400-296,泉ヶ丘緑地,ｲｽﾞﾐｶﾞｵｶﾘｮｸﾁ,都市緑地,南区槇塚台４丁７－１他,,南,槇塚台,40.53
400-298,金岡町つぐみ公園,ｶﾅｵｶﾁｮｳﾂｸﾞﾐｺｳｴﾝ,広場,北区金岡町２４１５－８,大浜,北,金岡,0.01
400-299,日置荘北町ひめばち公園,ﾋｷｼｮｳｷﾀﾏﾁﾋﾒﾊﾞﾁｺｳｴﾝ,広場,東区日置荘北町２丁２６７－６,原池,東,日置荘,0.03
400-300,高松やまばと公園,ﾀｶﾏﾂﾔﾏﾊﾞﾄｺｳｴﾝ,広場,東区高松３６６－７,原池,東,登美丘西,0.01
400-301,土師町はやぶさ公園,ﾊｾﾞﾁｮｳﾊﾔﾌﾞｻｺｳｴﾝ,幼児,中区土師町５丁１８９１－２,原池,中,土師,0.04
400-302,田園あかとんぼ公園,ﾀｿﾞﾉｱｶﾄﾝﾎﾞｺｳｴﾝ,街区,中区田園７６５－１１,原池,中,西陶器,0.16
400-303,陶器北かげろう公園,ﾄｳｷｷﾀｶｹﾞﾛｳｺｳｴﾝ,街区,中区上之７０,原池,中,東陶器,0.13
400-304,土師町たぶのき公園,ﾊｾﾞﾁｮｳﾀﾌﾞﾉｷｺｳｴﾝ,幼児,中区土師町５丁１９０８－４,原池,中,土師,0.03
400-305,土師町ねこやなぎ公園,ﾊｾﾞﾁｮｳﾈｺﾔﾅｷﾞｺｳｴﾝ,幼児,中区土師町５丁１９２０－１,原池,中,土師,0.04
400-306,金岡町かわせみ公園,ｶﾅｵｶﾁｮｳｶﾜｾﾐｺｳｴﾝ,広場,北区金岡町１２６４－３２,大浜,北,金岡,0.02
400-307,東山しろちどり公園,ﾋｶﾞｼﾔﾏｼﾛﾁﾄﾞﾘｺｳｴﾝ,広場,中区東山８９２,原池,中,西陶器,0.01
400-308,東山ことどり公園,ﾋｶﾞｼﾔﾏｺﾄﾄﾞﾘｺｳｴﾝ,広場,中区辻之１４６７－３,原池,中,西陶器,0.01
400-309,深井水池町きじ公園,ﾌｶｲﾐｽﾞｲｹﾁｮｳｷｼﾞｺｳｴﾝ,広場,中区深井水池町３３８９,原池,中,東深井,0.01
400-310,土師町ちどり公園,ﾊｾﾞﾁｮｳﾁﾄﾞﾘｺｳｴﾝ,広場,中区土師町２丁１７５８－４,原池,中,土師,0.02
400-311,鳳中町ほおじろ公園,ｵｵﾄﾘﾅｶﾏﾁﾎｵｼﾞﾛｺｳｴﾝ,広場,西区鳳中町８丁２－１８,大浜,西,鳳,0.01
400-312,出島町があべら公園,ﾃﾞｼﾞﾏﾁｮｳｶﾞｱﾍﾞﾗｺｳｴﾝ,幼児,堺区出島町２丁１８９－１２２,大浜,堺,新湊,0.07
400-313,戎島町かいず公園,ｴﾋﾞｽｼﾞﾏﾁｮｳｶｲｽﾞｺｳｴﾝ,幼児,堺区戎島町４丁２８－１,大浜,堺,市,0.09
400-314,日置荘北町こちどり公園,ﾋｷｼｮｳｷﾀﾏﾁｺﾁﾄﾞﾘｺｳｴﾝ,広場,東区日置荘北町２丁２８８,原池,東,日置荘,0.01
400-316,沢町公園,ｻﾜﾏﾁｺｳｴﾝ,街区,中区深井沢町３１８３,原池,中,東深井,0.31
400-317,桃山公園,ﾓﾓﾔﾏｺｳｴﾝ,近隣,南区桃山台３丁３－４,泉ヶ丘,南,福泉中央,3.46
400-318,西原公園,ﾆｼﾊﾗｺｳｴﾝ,地区,南区桃山台１丁３－３,泉ヶ丘,南,桃山台,12.67
400-319,原山公園,ﾊﾗﾔﾏｺｳｴﾝ,近隣,南区原山台２丁５－１,泉ヶ丘,南,原山台,7.80
400-320,庭代公園,ﾆﾜｼﾛｺｳｴﾝ,近隣,南区庭代台２丁２－１,泉ヶ丘,南,庭代台,6.89
400-321,御池公園,ﾐｲｹｺｳｴﾝ,近隣,南区御池台２丁２－９,泉ヶ丘,南,御池台,9.18
400-322,桃山かなりや公園,ﾓﾓﾔﾏｶﾅﾘﾔｺｳｴﾝ,街区,南区桃山台３丁６－２６,泉ヶ丘,南,福泉中央,0.33
400-323,原山かもめ公園,ﾊﾗﾔﾏｶﾓﾒｺｳｴﾝ,街区,南区原山台４丁１－２,泉ヶ丘,南,原山台,0.30
400-324,原山ひばり公園,ﾊﾗﾔﾏﾋﾊﾞﾘｺｳｴﾝ,街区,南区原山台４丁７－２,泉ヶ丘,南,原山台,0.26
400-325,庭代うぐいす公園,ﾆﾜｼﾛｳｸﾞｲｽｺｳｴﾝ,街区,南区庭代台３丁１０,泉ヶ丘,南,庭代台,0.54
400-326,庭代めじろ公園,ﾆﾜｼﾛﾒｼﾞﾛｺｳｴﾝ,街区,南区庭代台２丁５－１,泉ヶ丘,南,庭代台,0.29
400-327,御池みみずく公園,ﾐｲｹﾐﾐｽﾞｸｺｳｴﾝ,街区,南区御池台３丁１２－１５,泉ヶ丘,南,御池台,0.20
400-328,栂緑道,ﾄｶﾞﾘｮｸﾄﾞｳ,緑道,南区桃山台２丁６－３,泉ヶ丘,南,桃山台,9.33
400-329,つくもりざか公園,ﾂｸﾓﾘｻﾞｶｺｳｴﾝ,街区,中区東山９６４－１,原池,中,西陶器,0.13
400-330,鶯谷公園,ｳｸﾞｲｽﾀﾞﾆｺｳｴﾝ,街区,中区東山８９７,原池,中,西陶器,0.24
400-331,柳之町あおき公園,ﾔﾅｷﾞﾉﾁｮｳｱｵｷｺｳｴﾝ,幼児,堺区柳之町西３丁２１－６,大浜,堺,錦西,0.03
400-332,深阪きじばと公園,ﾌｶｻｶｷｼﾞﾊﾞﾄｺｳｴﾝ,幼児,中区深阪１丁１０４８－２,原池,中,深阪,0.03
400-333,西野ぶんちょう公園,ﾆｼﾉﾌﾞﾝﾁｮｳｺｳｴﾝ,広場,東区西野１７５－１２,原池,東,登美丘南,0.01
400-334,西野こうのとり公園,ﾆｼﾉｺｳﾉﾄﾘｺｳｴﾝ,広場,東区西野１９３－６,原池,東,登美丘南,0.02
400-335,堀上町かいつぶり公園,ﾎﾘｱｹﾞﾁｮｳｶｲﾂﾌﾞﾘｺｳｴﾝ,幼児,中区堀上町３８９－２,原池,中,八田荘,0.03
400-336,中百舌鳥町みさご公園,ﾅｶﾓｽﾞﾁｮｳﾐｻｺﾞｺｳｴﾝ,街区,北区中百舌鳥町６丁１０３８－８,大浜,北,中百舌鳥,0.16
400-337,中百舌鳥町おおたか公園,ﾅｶﾓｽﾞﾁｮｳｵｵﾀｶｺｳｴﾝ,幼児,北区中百舌鳥町６丁１０４０－７２,大浜,北,中百舌鳥,0.06
400-338,中百舌鳥町宮路池公園,ﾅｶﾓｽﾞﾁｮｳﾐﾔｼﾞｲｹｺｳｴﾝ,幼児,東区白鷺町２丁１１８３－８７,原池,東,白鷺,0.10
400-339,草部かわがらす公園,ｸｻﾍﾞｶﾜｶﾞﾗｽｺｳｴﾝ,幼児,西区草部１９００－１,大浜,西,福泉,0.08
400-340,辻之こまどり緑地,ﾂｼﾞﾉｺﾏﾄﾞﾘﾘｮｸﾁ,都市緑地,中区辻之１１３０－３３,原池,中,西陶器,0.04
400-341,日置荘西町やまどり公園,ﾋｷｼｮｳﾆｼﾏﾁﾔﾏﾄﾞﾘｺｳｴﾝ,幼児,東区日置荘西町６丁３８８－１０,原池,東,日置荘西,0.04
400-342,七道東町やませみ公園,ｼﾁﾄﾞｳﾋｶﾞｼﾏﾁﾔﾏｾﾐｺｳｴﾝ,街区,堺区七道東町１８２－７,大浜,堺,錦西,0.10
400-343,柏木町むつごろう公園,ｶｼﾜｷﾞﾁｮｳﾑﾂｺﾞﾛｳｺｳｴﾝ,幼児,堺区柏木町１丁４－１４１,大浜,堺,新湊,0.05
400-344,東上野芝町やまがら公園,ﾋｶﾞｼｳｴﾉｼﾊﾞﾁｮｳﾔﾏｶﾞﾗｺｳｴﾝ,幼児,北区東上野芝町２丁４９０－２,大浜,北,西百舌鳥,0.05
400-345,福田やましぎ公園,ﾌｸﾀﾞﾔﾏｼｷﾞｺｳｴﾝ,幼児,中区福田７８４－２,原池,中,福田,0.04
400-346,日置荘西町つばめ公園,ﾋｷｼｮｳﾆｼﾏﾁﾂﾊﾞﾒｺｳｴﾝ,幼児,東区日置荘西町５丁２５５,原池,東,日置荘西,0.05
400-347,白鷺公園,ｼﾗｻｷﾞｺｳｴﾝ,総合,東区白鷺町１丁１１８１－１,原池,東,白鷺,9.00
400-348,鳳東町はちどり公園,ｵｵﾄﾘﾋｶﾞｼﾏﾁﾊﾁﾄﾞﾘｺｳｴﾝ,広場,西区鳳東町７丁７４４－４,大浜,西,鳳,0.01
400-349,水池第２公園,ﾐｽﾞｲｹﾀﾞｲ2ｺｳｴﾝ,街区,中区深井水池町３０１２,原池,中,東深井,0.42
400-350,浜寺船尾第４公園,ﾊﾏﾃﾞﾗﾌﾅｵﾀﾞｲ4ｺｳｴﾝ,街区,西区浜寺船尾町東３丁４４１,大浜,西,浜寺東,0.27
400-351,協和町中公園,ｷｮｳﾜﾁｮｳﾅｶｺｳｴﾝ,街区,堺区協和町２丁９９,大浜,堺,大仙西,0.22
400-352,協和町東公園,ｷｮｳﾜﾁｮｳﾋｶﾞｼｺｳｴﾝ,街区,堺区協和町４丁４４８,大浜,堺,大仙西,0.39
400-353,内川緑地,ｳﾁｶﾜﾘｮｸﾁ,都市緑地,堺区桜之町西３丁３,大浜,堺,三宝,0.22
400-354,上たつのおとしご公園,ｶﾐﾀﾂﾉｵﾄｼｺﾞｺｳｴﾝ,広場,西区上３３－９,大浜,西,福泉上,0.01
400-355,家原寺町みやこどり公園,ｴﾊﾞﾗｼﾞﾁｮｳﾐﾔｺﾄﾞﾘｺｳｴﾝ,幼児,西区家原寺町２丁３２－１７,大浜,西,家原寺,0.09
400-356,小阪ぺんぎん公園,ｺｻｶﾍﾟﾝｷﾞﾝｺｳｴﾝ,幼児,中区小阪２６１－２,原池,中,久世,0.03
400-357,毛穴町いわな公園,ｹﾅﾁｮｳｲﾜﾅｺｳｴﾝ,広場,中区毛穴町４３１－９０,原池,中,八田荘,0.01
400-358,北条町このはずく公園,ﾎｳｼﾞｮｳﾁｮｳｺﾉﾊｽﾞｸｺｳｴﾝ,広場,西区北条町２丁４１０－９,大浜,西,向丘,0.02
400-359,深井中町まんぼう公園,ﾌｶｲﾅｶﾏﾁﾏﾝﾎﾞｳｺｳｴﾝ,広場,中区深井中町８８０－１５,原池,中,深井西,0.03
400-360,辻之くまのみ公園,ﾂｼﾞﾉｸﾏﾉﾐｺｳｴﾝ,広場,中区辻之３４２－１３,原池,中,西陶器,0.03
400-361,水賀池公園,ﾐｽﾞｶﾞｲｹｺｳｴﾝ,地区,中区深井水池町３２１２,原池,中,東深井,1.98
400-362,浜寺石津東第２公園,ﾊﾏﾃﾞﾗｲｼﾂﾞﾋｶﾞｼﾀﾞｲ2ｺｳｴﾝ,街区,西区浜寺石津町東３丁２４０－７,大浜,西,浜寺石津,0.33
400-363,水池公園,ﾐｽﾞｲｹｺｳｴﾝ,街区,中区深井水池町３４１０,原池,中,東深井,0.36
400-364,清水こやま公園,ｼﾐｽﾞｺﾔﾏｺｳｴﾝ,街区,中区深井清水町３２８７,原池,中,深井,0.36
400-365,浜寺船尾第１公園,ﾊﾏﾃﾞﾗﾌﾅｵﾀﾞｲ1ｺｳｴﾝ,街区,西区浜寺船尾町東２丁２３４,大浜,西,浜寺東,0.21
400-367,赤坂公園,ｱｶｻｶｺｳｴﾝ,近隣,南区赤坂台２丁４－１,泉ヶ丘,南,赤坂台,4.26
400-368,新檜尾公園,ｼﾝﾋﾉｵｺｳｴﾝ,風致,南区新檜尾台１丁１－４８,泉ヶ丘,南,新檜尾台,11.06
400-369,鴨谷公園,ｶﾓﾀﾆｺｳｴﾝ,総合,南区鴨谷台１丁２－１,泉ヶ丘,南,美木多,13.12
400-370,城山公園,ｼﾛﾔﾏｺｳｴﾝ,近隣,南区城山台１丁１９－１,泉ヶ丘,南,城山台,5.37
400-371,赤坂くわがた公園,ｱｶｻｶｸﾜｶﾞﾀｺｳｴﾝ,街区,南区赤坂台２丁３－５,泉ヶ丘,南,赤坂台,0.38
400-372,新檜尾かぶと公園,ｼﾝﾋﾉｵｶﾌﾞﾄｺｳｴﾝ,街区,南区新檜尾台３丁８－１,泉ヶ丘,南,新檜尾台,0.41
400-373,城山とんぼ公園,ｼﾛﾔﾏﾄﾝﾎﾞｺｳｴﾝ,街区,南区城山台２丁３－２,泉ヶ丘,南,城山台,0.37
400-374,光明池緑道,ｺｳﾐｮｳｲｹﾘｮｸﾄﾞｳ,緑道,南区赤坂台２丁１－７,泉ヶ丘,南,赤坂台,11.50
400-375,光明池緑地,ｺｳﾐｮｳｲｹﾘｮｸﾁ,都市緑地,南区城山台４丁２－６,泉ヶ丘,南,城山台,33.58
400-377,平岡町どじょう公園,ﾋﾗｵｶﾁｮｳﾄﾞｼﾞｮｳｺｳｴﾝ,幼児,西区平岡町１８５－１４,大浜,西,平岡,0.05
400-378,浜寺諏訪森町中あおはた公園,ﾊﾏﾃﾞﾗｽﾜﾉﾓﾘﾁｮｳﾅｶｱｵﾊﾀｺｳｴﾝ,広場,西区浜寺諏訪森町中１丁５１－５,大浜,西,浜寺,0.02
400-379,浜寺船尾町くりんそう公園,ﾊﾏﾃﾞﾗﾌﾅｵﾁｮｳｸﾘﾝｿｳｺｳｴﾝ,幼児,西区浜寺船尾町西５丁５７０－４,大浜,西,浜寺東,0.07
400-380,七道東町やまめ公園,ｼﾁﾄﾞｳﾋｶﾞｼﾏﾁﾔﾏﾒｺｳｴﾝ,幼児,堺区七道東町１２６－４２,大浜,堺,錦西,0.05
400-381,鳳南町ひごい公園,ｵｵﾄﾘﾐﾅﾐﾏﾁﾋｺﾞｲｺｳｴﾝ,広場,西区鳳南町５丁６４８－６,大浜,西,鳳南,0.02
400-382,鳳南町おにあざみ公園,ｵｵﾄﾘﾐﾅﾐﾏﾁｵﾆｱｻﾞﾐｺｳｴﾝ,幼児,西区鳳南町２丁９０,大浜,西,鳳南,0.07
400-383,深井水池町みのかさご公園,ﾌｶｲﾐｽﾞｲｹﾁｮｳﾐﾉｶｻｺﾞｺｳｴﾝ,広場,中区深井水池町３２３７－２,原池,中,東深井,0.02
400-384,日置荘北町はたはた公園,ﾋｷｼｮｳｷﾀﾏﾁﾊﾀﾊﾀｺｳｴﾝ,広場,東区日置荘北町２丁２６５－１３,原池,東,日置荘,0.02
400-385,上之あんこう公園,ｳｴﾉｱﾝｺｳｺｳｴﾝ,街区,中区上之６３０－５０,原池,中,東陶器,0.15
400-386,上之しらうお緑地,ｳｴﾉｼﾗｳｵﾘｮｸﾁ,都市緑地,中区上之６３０－４７,原池,中,東陶器,0.07
400-387,深井沢町きじはた公園,ﾌｶｲｻﾜﾏﾁｷｼﾞﾊﾀｺｳｴﾝ,広場,中区深井沢町３１４７－２,原池,中,東深井,0.01
400-388,原山台かきつばた公園,ﾊﾗﾔﾏﾀﾞｲｶｷﾂﾊﾞﾀｺｳｴﾝ,街区,南区原山台５丁２－２,泉ヶ丘,南,原山台東,0.43
400-389,宮山第１公園,ﾐﾔﾔﾏﾀﾞｲ1ｺｳｴﾝ,幼児,南区宮山台３丁７－１,泉ヶ丘,南,宮山台,0.06
400-390,宮山第２公園,ﾐﾔﾔﾏﾀﾞｲ2ｺｳｴﾝ,広場,南区宮山台４丁８－１７,泉ヶ丘,南,宮山台,0.03
400-391,宮山第３公園,ﾐﾔﾔﾏﾀﾞｲ3ｺｳｴﾝ,幼児,南区宮山台４丁１２－１４,泉ヶ丘,南,宮山台,0.06
400-392,竹城第１公園,ﾀｹｼﾛﾀﾞｲ1ｺｳｴﾝ,街区,南区竹城台３丁５－１８,泉ヶ丘,南,竹城台,0.12
400-393,竹城第２公園,ﾀｹｼﾛﾀﾞｲ2ｺｳｴﾝ,幼児,南区竹城台４丁４－６,泉ヶ丘,南,竹城台,0.07
400-394,三原第１公園（かめ公園）,ﾐﾊﾗﾀﾞｲ1ｺｳｴﾝ,幼児,南区三原台１丁８－３,泉ヶ丘,南,三原台,0.08
400-395,三原第２公園（いもむし公園）,ﾐﾊﾗﾀﾞｲ2ｺｳｴﾝ,幼児,南区三原台３丁８－１３,泉ヶ丘,南,三原台,0.07
400-396,三原第３公園（イルカ公園）,ﾐﾊﾗﾀﾞｲ3ｺｳｴﾝ,幼児,南区三原台３丁１９－２５,泉ヶ丘,南,三原台,0.06
400-397,三原第４公園（山のぼり公園）,ﾐﾊﾗﾀﾞｲ4ｺｳｴﾝ,幼児,南区三原台３丁２２－７,泉ヶ丘,南,三原台,0.05
400-398,三原第５公園（ありんこ公園）,ﾐﾊﾗﾀﾞｲ5ｺｳｴﾝ,幼児,南区三原台３丁３７－８,泉ヶ丘,南,三原台,0.05
400-399,三原第６公園（りす公園）,ﾐﾊﾗﾀﾞｲ6ｺｳｴﾝ,幼児,南区三原台４丁２９－１,泉ヶ丘,南,三原台,0.09
400-400,三原第７公園（ひまわり公園）,ﾐﾊﾗﾀﾞｲ7ｺｳｴﾝ,幼児,南区三原台４丁１４－８,泉ヶ丘,南,三原台,0.06
400-401,高倉第１公園,ﾀｶｸﾗﾀﾞｲ1ｺｳｴﾝ,幼児,南区高倉台２丁２８－１,泉ヶ丘,南,高倉台西,0.03
400-402,高倉第２公園,ﾀｶｸﾗﾀﾞｲ2ｺｳｴﾝ,幼児,南区高倉台２丁３９－１６,泉ヶ丘,南,高倉台,0.03
400-403,高倉第３公園,ﾀｶｸﾗﾀﾞｲ3ｺｳｴﾝ,幼児,南区高倉台２丁４６－１１,泉ヶ丘,南,高倉台,0.06
400-404,高倉第４公園,ﾀｶｸﾗﾀﾞｲ4ｺｳｴﾝ,幼児,南区高倉台３丁９－７,泉ヶ丘,南,高倉台,0.05
400-405,高倉第５公園,ﾀｶｸﾗﾀﾞｲ5ｺｳｴﾝ,街区,南区高倉台３丁１６－１３,泉ヶ丘,南,高倉台,0.15
400-406,高倉第６公園,ﾀｶｸﾗﾀﾞｲ6ｺｳｴﾝ,幼児,南区高倉台４丁９－１,泉ヶ丘,南,高倉台,0.07
400-407,高倉第７公園,ﾀｶｸﾗﾀﾞｲ7ｺｳｴﾝ,幼児,南区高倉台４丁１９－８,泉ヶ丘,南,高倉台,0.07
400-408,高倉第８公園,ﾀｶｸﾗﾀﾞｲ8ｺｳｴﾝ,幼児,南区高倉台４丁２５－９,泉ヶ丘,南,高倉台,0.04
400-409,茶山第１公園,ﾁｬﾔﾏﾀﾞｲ1ｺｳｴﾝ,幼児,南区茶山台３丁１３－１４,泉ヶ丘,南,茶山台,0.06
400-410,茶山第２公園,ﾁｬﾔﾏﾀﾞｲ2ｺｳｴﾝ,幼児,南区茶山台３丁３４－５,泉ヶ丘,南,茶山台,0.09
400-411,晴美第１公園,ﾊﾙﾐﾀﾞｲ1ｺｳｴﾝ,幼児,南区晴美台１丁９－５,泉ヶ丘,南,晴美台,0.06
400-412,晴美第２公園,ﾊﾙﾐﾀﾞｲ2ｺｳｴﾝ,幼児,南区晴美台１丁１４－６,泉ヶ丘,南,晴美台,0.05
400-413,晴美第３公園,ﾊﾙﾐﾀﾞｲ3ｺｳｴﾝ,幼児,南区晴美台１丁２２－１１,泉ヶ丘,南,晴美台,0.04
400-414,晴美第４公園,ﾊﾙﾐﾀﾞｲ4ｺｳｴﾝ,幼児,南区晴美台２丁５－１１,泉ヶ丘,南,晴美台,0.05
400-415,晴美第５公園,ﾊﾙﾐﾀﾞｲ5ｺｳｴﾝ,幼児,南区晴美台２丁２４－１８,泉ヶ丘,南,晴美台,0.08
400-416,晴美第６公園,ﾊﾙﾐﾀﾞｲ6ｺｳｴﾝ,街区,南区晴美台２丁３０－８,泉ヶ丘,南,晴美台,0.10
400-417,晴美第７公園,ﾊﾙﾐﾀﾞｲ7ｺｳｴﾝ,幼児,南区晴美台２丁３２－９,泉ヶ丘,南,晴美台,0.06
400-418,晴美第８公園,ﾊﾙﾐﾀﾞｲ8ｺｳｴﾝ,幼児,南区晴美台２丁４０－８,泉ヶ丘,南,晴美台,0.07
400-419,晴美第９公園,ﾊﾙﾐﾀﾞｲ9ｺｳｴﾝ,幼児,南区晴美台３丁９－１,泉ヶ丘,南,晴美台,0.06
400-420,槇塚第１公園,ﾏｷﾂﾞｶﾀﾞｲ1ｺｳｴﾝ,幼児,南区槇塚台１丁８－７,泉ヶ丘,南,槇塚台,0.08
400-421,槇塚第２公園,ﾏｷﾂﾞｶﾀﾞｲ2ｺｳｴﾝ,幼児,南区槇塚台１丁１１－１２,泉ヶ丘,南,槇塚台,0.06
400-422,槇塚第３公園,ﾏｷﾂﾞｶﾀﾞｲ3ｺｳｴﾝ,幼児,南区槇塚台２丁１－９,泉ヶ丘,南,槇塚台,0.09
400-423,槇塚第４公園,ﾏｷﾂﾞｶﾀﾞｲ4ｺｳｴﾝ,幼児,南区槇塚台２丁１９－５,泉ヶ丘,南,槇塚台,0.06
400-424,槇塚第５公園,ﾏｷﾂﾞｶﾀﾞｲ5ｺｳｴﾝ,幼児,南区槇塚台２丁２７－１,泉ヶ丘,南,槇塚台,0.08
400-425,槇塚第６公園,ﾏｷﾂﾞｶﾀﾞｲ6ｺｳｴﾝ,幼児,南区槇塚台２丁２８－１,泉ヶ丘,南,槇塚台,0.08
400-426,槇塚第７公園,ﾏｷﾂﾞｶﾀﾞｲ7ｺｳｴﾝ,幼児,南区槇塚台２丁３５－５,泉ヶ丘,南,槇塚台,0.05
400-427,槇塚第８公園,ﾏｷﾂﾞｶﾀﾞｲ8ｺｳｴﾝ,幼児,南区槇塚台３丁１７－８,泉ヶ丘,南,槇塚台,0.06
400-428,槇塚第９公園,ﾏｷﾂﾞｶﾀﾞｲ9ｺｳｴﾝ,幼児,南区槇塚台３丁２９－２５,泉ヶ丘,南,槇塚台,0.09
400-429,槇塚第１０公園,ﾏｷﾂﾞｶﾀﾞｲ10ｺｳｴﾝ,幼児,南区槇塚台３丁３８－１,泉ヶ丘,南,槇塚台,0.04
400-430,桃山第１公園,ﾓﾓﾔﾏﾀﾞｲ1ｺｳｴﾝ,幼児,南区桃山台１丁６－８,泉ヶ丘,南,桃山台,0.07
400-431,桃山第２公園,ﾓﾓﾔﾏﾀﾞｲ2ｺｳｴﾝ,幼児,南区桃山台１丁１５－１,泉ヶ丘,南,桃山台,0.03
400-432,桃山第３公園,ﾓﾓﾔﾏﾀﾞｲ3ｺｳｴﾝ,幼児,南区桃山台２丁１０－９,泉ヶ丘,南,桃山台,0.05
400-433,桃山第４公園,ﾓﾓﾔﾏﾀﾞｲ4ｺｳｴﾝ,幼児,南区桃山台３丁１４－１,泉ヶ丘,南,福泉中央,0.03
400-434,桃山第５公園,ﾓﾓﾔﾏﾀﾞｲ5ｺｳｴﾝ,幼児,南区桃山台３丁１９－９,泉ヶ丘,南,福泉中央,0.04
400-435,桃山第６公園,ﾓﾓﾔﾏﾀﾞｲ6ｺｳｴﾝ,幼児,南区桃山台３丁２３－５,泉ヶ丘,南,福泉中央,0.05
400-436,桃山第７公園,ﾓﾓﾔﾏﾀﾞｲ7ｺｳｴﾝ,街区,南区桃山台３丁２９－２６,泉ヶ丘,南,福泉中央,0.13
400-437,桃山第８公園,ﾓﾓﾔﾏﾀﾞｲ8ｺｳｴﾝ,幼児,南区桃山台４丁４－１２,泉ヶ丘,南,福泉中央,0.04
400-438,原山第１公園,ﾊﾗﾔﾏﾀﾞｲ1ｺｳｴﾝ,幼児,南区原山台４丁１２－１１,泉ヶ丘,南,原山台,0.05
400-439,庭代第１公園,ﾆﾜｼﾛﾀﾞｲ1ｺｳｴﾝ,幼児,南区庭代台１丁３－３,泉ヶ丘,南,庭代台,0.07
400-440,庭代第２公園,ﾆﾜｼﾛﾀﾞｲ2ｺｳｴﾝ,幼児,南区庭代台１丁７－３,泉ヶ丘,南,庭代台,0.08
400-441,庭代第３公園,ﾆﾜｼﾛﾀﾞｲ3ｺｳｴﾝ,幼児,南区庭代台１丁１４－１８,泉ヶ丘,南,庭代台,0.05
400-442,庭代第４公園,ﾆﾜｼﾛﾀﾞｲ4ｺｳｴﾝ,幼児,南区庭代台１丁２１－１４,泉ヶ丘,南,庭代台,0.03
400-443,庭代第５公園,ﾆﾜｼﾛﾀﾞｲ5ｺｳｴﾝ,幼児,南区庭代台１丁３２－７,泉ヶ丘,南,庭代台,0.05
400-444,庭代第６公園,ﾆﾜｼﾛﾀﾞｲ6ｺｳｴﾝ,幼児,南区庭代台１丁４１－１５,泉ヶ丘,南,庭代台,0.05
400-445,庭代第７公園,ﾆﾜｼﾛﾀﾞｲ7ｺｳｴﾝ,幼児,南区庭代台３丁３－１８,泉ヶ丘,南,庭代台,0.10
400-446,庭代第８公園,ﾆﾜｼﾛﾀﾞｲ8ｺｳｴﾝ,幼児,南区庭代台３丁５－４,泉ヶ丘,南,庭代台,0.08
400-447,庭代第９公園,ﾆﾜｼﾛﾀﾞｲ9ｺｳｴﾝ,幼児,南区庭代台４丁５－４,泉ヶ丘,南,庭代台,0.09
400-448,庭代第１０公園,ﾆﾜｼﾛﾀﾞｲ10ｺｳｴﾝ,幼児,南区庭代台４丁１１－１１,泉ヶ丘,南,庭代台,0.09
400-449,庭代第１１公園,ﾆﾜｼﾛﾀﾞｲ11ｺｳｴﾝ,幼児,南区庭代台４丁１８－１３,泉ヶ丘,南,庭代台,0.04
400-450,庭代第１２公園,ﾆﾜｼﾛﾀﾞｲ12ｺｳｴﾝ,街区,南区庭代台４丁２６－１７,泉ヶ丘,南,庭代台,0.11
400-451,庭代第１３公園,ﾆﾜｼﾛﾀﾞｲ13ｺｳｴﾝ,幼児,南区庭代台４丁３６－５,泉ヶ丘,南,庭代台,0.06
400-452,御池第１公園,ﾐｲｹﾀﾞｲ1ｺｳｴﾝ,幼児,南区御池台１丁２－８,泉ヶ丘,南,御池台,0.04
400-453,御池第２公園,ﾐｲｹﾀﾞｲ2ｺｳｴﾝ,幼児,南区御池台１丁１５－１１,泉ヶ丘,南,御池台,0.05
400-454,御池第３公園,ﾐｲｹﾀﾞｲ3ｺｳｴﾝ,幼児,南区御池台１丁３５－２０,泉ヶ丘,南,御池台,0.06
400-455,御池第４公園,ﾐｲｹﾀﾞｲ4ｺｳｴﾝ,幼児,南区御池台３丁３３－３,泉ヶ丘,南,御池台,0.04
400-456,御池第５公園,ﾐｲｹﾀﾞｲ5ｺｳｴﾝ,幼児,南区御池台４丁９－１,泉ヶ丘,南,御池台,0.04
400-457,御池第６公園,ﾐｲｹﾀﾞｲ6ｺｳｴﾝ,幼児,南区御池台４丁１６－１,泉ヶ丘,南,御池台,0.04
400-458,御池第７公園,ﾐｲｹﾀﾞｲ7ｺｳｴﾝ,幼児,南区御池台４丁１７－７,泉ヶ丘,南,御池台,0.07
400-459,赤坂第１公園,ｱｶｻｶﾀﾞｲ1ｺｳｴﾝ,幼児,南区赤坂台１丁１２－４,泉ヶ丘,南,赤坂台,0.05
400-460,赤坂第２公園,ｱｶｻｶﾀﾞｲ2ｺｳｴﾝ,幼児,南区赤坂台１丁２０－５,泉ヶ丘,南,赤坂台,0.06
400-461,赤坂第３公園,ｱｶｻｶﾀﾞｲ3ｺｳｴﾝ,幼児,南区赤坂台１丁２６－６,泉ヶ丘,南,赤坂台,0.04
400-462,赤坂第４公園,ｱｶｻｶﾀﾞｲ4ｺｳｴﾝ,幼児,南区赤坂台１丁４２－５,泉ヶ丘,南,赤坂台,0.07
