"施設名","所在地","緯度","経度"
"小田地区社会体育施設体育館","鳥取県岩美町大字院内290-3","35.530096","134.340431"
"岩美町民体育館","鳥取県岩美町大字浦富1041","35.575953","134.334315"
"岩美中学校校庭","鳥取県岩美町大字浦富707","35.574153","134.330485"
"岩美中学校体育館","鳥取県岩美町大字浦富707","35.574358","134.329707"
"蒲生地区社会体育施設体育館","鳥取県岩美町大字蒲生2413","35.525919","134.396532"
"蒲生地区社会体育施設運動場","鳥取県岩美町大字蒲生2413-1","35.525622","134.396892"
"岩井地区社会体育施設体育館","鳥取県岩美町大字岩井138","35.556968","134.369817"
"岩井地区社会体育施設運動場","鳥取県岩美町大字岩井138","35.557112","134.368551"
"岩美町文化センター","鳥取県岩美町大字新井13-1","35.564345","134.336043"
"道の駅きなんせ岩美","鳥取県岩美町大字新井337-4","35.567683","134.325666"
"大岩交流センター","鳥取県岩美町大字大谷2410","35.577637","134.30002"
"田後地区社会体育施設体育館","鳥取県岩美町大字田後159","35.590776","134.31255"
"田後コミュニティセンター","鳥取県岩美町大字田後159","35.590528","134.312029"
"田後地区社会体育施設運動場","鳥取県岩美町大字田後159","35.590903","134.312067"
"網代地区社会体育施設体育館","鳥取県岩美町大字網代224","35.586576","134.296405"
"網代地区社会体育施設運動場","鳥取県岩美町大字網代224","35.586227","134.296094"
"網代コミュニティセンター","鳥取県岩美町大字網代224","35.58631","134.295686"
"東地区社会体育施設体育館","鳥取県岩美町大字陸上33","35.59996","134.360312"
"東コミュニティセンター","鳥取県岩美町大字陸上33","35.600005","134.36061"
"東地区社会体育施設運動場","鳥取県岩美町大字陸上33","35.59992","134.359561"
"県営住宅渡団地１、２","鳥取県境港市1363-2","35.517735","133.214614"
"共和水産（株）　３階、４階","鳥取県境港市栄町65","35.54699","133.227326"
"台場公園高台","鳥取県境港市花町10","35.546742","133.243121"
"台場公園","鳥取県境港市花町10","35.546716","133.242338"
"第三中学校　体育館","鳥取県境港市外江町1372","35.525272","133.21571"
"第三中学校　教室等","鳥取県境港市外江町1372","35.524679","133.215496"
"第三中学校　校庭","鳥取県境港市外江町1372","35.525609","133.215496"
"第三中学校　２階、３階","鳥取県境港市外江町1372","35.524862","133.215882"
"外江公民館　集会室","鳥取県境港市外江町2062-1","35.535926","133.210149"
"外江民館　２階","鳥取県境港市外江町2062-1","35.535974","133.210339"
"外江小学校　校庭","鳥取県境港市外江町2105","35.534179","133.209735"
"外江小学校　体育館","鳥取県境港市外江町2105","35.534847","133.210277"
"外江小学校　教室等","鳥取県境港市外江町2105","35.53486","133.209349"
"外江小学校　２階、３階","鳥取県境港市外江町2105","35.534965","133.209826"
"県営住宅外江団地２・４　（３階以上の階段室）","鳥取県境港市外江町2368-1","35.528778","133.209623"
"市営外江団地２～４階（通路等の共用部分）","鳥取県境港市外江町3266-5","35.527299","133.205749"
"下ノ川一号公園","鳥取県境港市元町113","35.541078","133.232957"
"幸神二号公園","鳥取県境港市幸神町2036","35.506723","133.237318"
"幸神一号公園","鳥取県境港市幸神町347","35.509601","133.240118"
"市民の森","鳥取県境港市幸神町907-1","35.508142","133.240333"
"市民の森高台","鳥取県境港市幸神町907-1","35.507579","133.240786"
"地域子育て支援センター　園庭","鳥取県境港市幸神町952","35.509209","133.240308"
"市営夕顔団地２～３階（通路等の共用部分）","鳥取県境港市高松町937-4","35.514053","133.237178"
"米子空港ターミナルビル２階、３階展望デッキ","鳥取県境港市佐斐神町1634","35.500614","133.245158"
"下水道センター２階、屋上","鳥取県境港市佐斐神町545","35.50163","133.25317"
"中浜ケアパートナーズ２階","鳥取県境港市財ノ木町562","35.505812","133.249289"
"中浜公民館　２階","鳥取県境港市財ノ木町668","35.505496","133.24832"
"中浜公民館　集会室","鳥取県境港市財ノ木町668","35.5054","133.24833"
"竜ヶ山公園高台","鳥取県境港市三軒屋町4043-5","35.506258","133.226924"
"竜ヶ山公園","鳥取県境港市三軒屋町4043-5","35.50676","133.226661"
"中浜サントピア高台","鳥取県境港市小篠津町1548-2","35.503283","133.245113"
"中浜サントピア","鳥取県境港市小篠津町1548-2","35.502772","133.245502"
"小篠津町宿舎３～５階（階段等）","鳥取県境港市小篠津町2258","35.50429","133.230213"
"なかはま保育園　園庭","鳥取県境港市小篠津町820","35.507763","133.244791"
"境港港湾合同庁舎屋上","鳥取県境港市昭和町9-1","35.545292","133.247961"
"流通会館３階、屋上","鳥取県境港市昭和町9-33","35.545482","133.249114"
"第一中学校　校庭","鳥取県境港市上道町1840","35.541396","133.237745"
"第一中学校　２階、３階","鳥取県境港市上道町1840","35.542081","133.237681"
"第一中学校　体育館","鳥取県境港市上道町1840","35.541867","133.238314"
"第一中学校　教室等","鳥取県境港市上道町1840","35.542409","133.237651"
"元町病院２～５階","鳥取県境港市上道町1895-1","35.542523","133.2359"
"介護老人保健施設花の里２～４階","鳥取県境港市上道町1959-1","35.541807","133.236393"
"新さかい幸朋苑２階、３階、屋上","鳥取県境港市上道町2053-1","35.542685","133.239744"
"境港市民交流センター２階","鳥取県境港市上道町3000","35.538669","133.231237"
"境港市役所２階、３階、屋上","鳥取県境港市上道町3000","35.539852","133.232224"
"境港市民交流センター図書館","鳥取県境港市上道町3000","35.538883","133.23172"
"境港市民交流センターホール（平土間時）","鳥取県境港市上道町3000","35.538783","133.231484"
"境港市民交流センター楽屋・スタッフルーム","鳥取県境港市上道町3000","35.53887","133.231221"
"境港市民交流センター１階ホワイエ、ホール・楽屋廊下、エントランスホール","鳥取県境港市上道町3000","35.5387","133.231725"
"境中央公園","鳥取県境港市上道町3001","35.538048","133.231498"
"上道小学校　体育館","鳥取県境港市上道町3026","35.537118","133.234906"
"上道小学校　２階、３階","鳥取県境港市上道町3026","35.53714","133.235346"
"上道小学校　校庭","鳥取県境港市上道町3026","35.536568","133.235292"
"上道小学校　教室等","鳥取県境港市上道町3026","35.536956","133.235539"
"境高等学校校庭","鳥取県境港市上道町3030","35.535674","133.233814"
"境高等学校体育館","鳥取県境港市上道町3030","35.536161","133.233461"
"境高等学校２階、３階","鳥取県境港市上道町3030","35.536616","133.233326"
"上道公民館　集会室","鳥取県境港市上道町3186","35.538435","133.234783"
"上道公民館","鳥取県境港市上道町3186","35.538453","133.234922"
"上道公民館　２階","鳥取県境港市上道町3186","35.538497","133.235029"
