"施設名","所在地","緯度","経度"
"外善光御鍬神社境内","岐阜県安八町外善光3396","35.327301","136.651343"
"城体験学習館","岐阜県安八町城1-59","35.332354","136.65996"
"キャッスルパーク","岐阜県安八町城2-965-1","35.331361","136.660239"
"下河原秋葉神社","岐阜県安八町森部1066-1","35.33248","136.680497"
"下河原西集積所","岐阜県安八町森部1558-2","35.331687","136.674962"
"山中ジェネラルクリニック","岐阜県安八町森部1870-1","35.338913","136.676142"
"山之神神社境内","岐阜県安八町森部3690-1","35.343831","136.676208"
"一色集会所","岐阜県安八町森部626","35.343845","136.684268"
"下屋敷金峯神社境内","岐阜県安八町森部633-2","35.338533","136.685297"
"表寺内大県神社境内","岐阜県安八町森部750","35.340707","136.685094"
"八幡神社境内","岐阜県安八町森部881-1","35.335452","136.682379"
"結の郷","岐阜県安八町西結1010","35.361748","136.662482"
"結小学校","岐阜県安八町西結1065","35.362504","136.663301"
"道浄公園","岐阜県安八町西結1332-1","35.355286","136.666584"
"堀組北駐車場","岐阜県安八町西結1599-1","35.352176","136.660922"
"等流寺境内","岐阜県安八町西結1640","35.35024","136.660072"
"領家コミュニティセンター","岐阜県安八町西結2105-1","35.348156","136.659725"
"領家南集会所","岐阜県安八町西結2116-1","35.347286","136.660051"
"歴史資料館跡地","岐阜県安八町西結2521","35.34424","136.66478"
"板屋島公会堂","岐阜県安八町西結2628-2","35.346232","136.662358"
"ふたばこども園","岐阜県安八町西結2818","35.347616","136.666323"
"町屋公会堂","岐阜県安八町西結335","35.370775","136.661247"
"津村方公民館","岐阜県安八町西結448","35.373883","136.660926"
"覚成寺","岐阜県安八町西結701","35.368775","136.661378"
"中組集会所","岐阜県安八町西結832-1","35.36554","136.662222"
"まちあい公園","岐阜県安八町西結931-2","35.370718","136.661913"
"善光公民館","岐阜県安八町善光115-1","35.324762","136.664855"
"名木林神社境内","岐阜県安八町大森224","35.329062","136.676788"
"大森社宮神社境内","岐阜県安八町大森380","35.327363","136.674171"
"名森小学校","岐阜県安八町大明神40","35.333266","136.660771"
"大野公民館","岐阜県安八町大野196","35.326737","136.660422"
"登龍中学校","岐阜県安八町大野333","35.326795","136.666368"
"総合体育館","岐阜県安八町大野343","35.327209","136.665081"
"中白髭神社境内","岐阜県安八町中1471","35.30864","136.654384"
"西組ごみ集積所付近","岐阜県安八町中213-1","35.309764","136.651362"
"東組待避所","岐阜県安八町中35-2","35.310077","136.658837"
"安八温泉保養センター","岐阜県安八町中須202","35.335309","136.653919"
"上村公民館","岐阜県安八町東結116-2","35.366012","136.664458"
"受徳寺境内","岐阜県安八町東結120","35.365362","136.664508"
"むすぶテラス（北部公園グラウンド）","岐阜県安八町東結1561","35.359714","136.668422"
"東蚊塚公民館","岐阜県安八町東結1708-1","35.354248","136.668249"
"トミダヤ結店北駐車場","岐阜県安八町東結199-1","35.362667","136.668605"
"入方農業技術センター","岐阜県安八町東結778","35.365456","136.672065"
"東安中学校","岐阜県安八町東結952-43","35.360161","136.673066"
"南今ヶ渕白髭神社境内","岐阜県安八町南今ヶ渕10","35.338236","136.664619"
"南今ヶ渕墓地","岐阜県安八町南今ヶ渕1219","35.340872","136.670653"
"教順寺東広場","岐阜県安八町南今ヶ渕124","35.339314","136.666727"
"中筋ごみ集積所付近","岐阜県安八町南今ヶ渕539","35.335341","136.669879"
"ＪＡ西美濃名森支店","岐阜県安八町南條1155-1","35.320739","136.658917"
"南條白髭神社境内","岐阜県安八町南條308","35.318182","136.663235"
"南條消防車庫前広場","岐阜県安八町南條727-1","35.317471","136.660856"
"通性寺境内","岐阜県安八町氷取70","35.332938","136.663025"
"氷取白髭神社境内","岐阜県安八町氷取８６７西","35.332356","136.661473"
"横堀集会所","岐阜県安八町北今ヶ渕1020","35.343623","136.671005"
"青刈集会所","岐阜県安八町北今ヶ渕119-1","35.341637","136.659792"
"杁ノ戸集会所","岐阜県安八町北今ヶ渕1722","35.346289","136.67453"
"川西公園","岐阜県安八町北今ヶ渕248-2","35.338587","136.66287"
"隼人神社遊園地","岐阜県安八町北今ヶ渕499-1","35.341606","136.66486"
"北今ヶ渕公民館","岐阜県安八町北今ヶ渕551","35.341733","136.665422"
"伊富神社境内","岐阜県安八町牧1114-14","35.332121","136.648669"
"円長寺","岐阜県安八町牧1386","35.329711","136.64824"
"牧こども園","岐阜県安八町牧1511","35.328586","136.645932"
"稲荷神社境内","岐阜県安八町牧1720-2","35.324429","136.643788"
"天王神社境内","岐阜県安八町牧1877-33","35.323955","136.643487"
"金森義光宅東広場","岐阜県安八町牧1877-6","35.322554","136.643166"
"下一番組ごみ集積所","岐阜県安八町牧2891-7","35.318345","136.643943"
"牧農業構造改善センター","岐阜県安八町牧2917","35.326532","136.646016"
"牧小学校","岐阜県安八町牧2927","35.326428","136.647519"
"上組集会所","岐阜県安八町牧3213-1","35.334149","136.65098"
"ＪＡ西美濃牧支店跡地","岐阜県安八町牧3530","35.326053","136.649177"
"もくせい団地東遊園地","岐阜県安八町牧86-7","35.337418","136.650225"
"下中公園","岐阜県羽島市下中町城屋敷307-1","35.287018","136.70501"
"下中コミュニティセンター","岐阜県羽島市下中町城屋敷318-1","35.287552","136.703706"
"はしまコミュニティセンター","岐阜県羽島市下中町城屋敷318-1","35.287538","136.703512"
"防災ステーション","岐阜県羽島市下中町石田701","35.275079","136.698703"
"老人福祉センター羽島温泉","岐阜県羽島市桑原町午南1038-1","35.257364","136.683915"
"環境プラント","岐阜県羽島市桑原町西小藪3-122","35.252777","136.663256"
"桑原コミュニティセンター","岐阜県羽島市桑原町大須2-70","35.265335","136.678807"
"羽島市立桑原学園（後期課程）","岐阜県羽島市桑原町八神3315-1","35.266111","136.681492"
"羽島市立桑原学園（前期課程）","岐阜県羽島市桑原町八神3315-1","35.266172","136.681224"
"江吉良東公園","岐阜県羽島市江吉良町1079-13","35.312153","136.709183"
"羽島市立中央小学校","岐阜県羽島市江吉良町1270","35.311282","136.706253"
"岐阜県立看護大学","岐阜県羽島市江吉良町3047-1","35.306295","136.685494"
"江吉良コミュニティセンター","岐阜県羽島市江吉良町558","35.315219","136.696112"
"江吉良公園","岐阜県羽島市江吉良町872","35.316129","136.70076"
"羽島中央公園","岐阜県羽島市江吉良町江西２－３５の一部","35.313856","136.692262"
"江中公園","岐阜県羽島市江吉良町江中3-80","35.311588","136.693695"
"舟橋西公園","岐阜県羽島市舟橋町1-53","35.313561","136.684657"
"舟橋北公園","岐阜県羽島市舟橋町3-91","35.312554","136.688644"
"舟橋東公園","岐阜県羽島市舟橋町5-117","35.31006","136.691838"
"舟橋公園","岐阜県羽島市舟橋町宮北2-37","35.318258","136.690235"
"宮浦公園","岐阜県羽島市舟橋町宮北7-54","35.315168","136.689631"
"南扇公園","岐阜県羽島市舟橋町出須賀2-73","35.309748","136.683607"
"出須賀公園","岐阜県羽島市舟橋町出須賀4-57","35.309975","136.681672"
"羽島市立小熊小学校","岐阜県羽島市小熊町2-361-5","35.349554","136.697874"
"東小熊公園","岐阜県羽島市小熊町2-586-1","35.349985","136.706633"
"小熊コミュニティセンター","岐阜県羽島市小熊町3-397-2","35.347218","136.699314"
"下山さくら公園","岐阜県羽島市小熊町3-769-9","35.345871","136.696363"
"外粟野公園","岐阜県羽島市小熊町外粟野2-24","35.341661","136.694953"
"川口第一公園","岐阜県羽島市小熊町川口1-41","35.33649","136.700157"
"川口公園","岐阜県羽島市小熊町川口前392","35.335408","136.700908"
"川口ポケットパーク","岐阜県羽島市小熊町川口前394-4","35.335666","136.700774"
"天王第二公園","岐阜県羽島市小熊町天王3-52","35.336953","136.694793"
"島第二公園","岐阜県羽島市小熊町島1-112","35.331643","136.706762"
"宮西公園","岐阜県羽島市小熊町島2-139","35.332327","136.704811"
"島第一公園","岐阜県羽島市小熊町島3-70","35.336225","136.707218"
"島第三公園","岐阜県羽島市小熊町島5-65","35.334388","136.709982"
"天王第一公園","岐阜県羽島市小熊町内粟野1-46","35.339824","136.692821"
"内粟野公園","岐阜県羽島市小熊町内粟野4-50","35.339422","136.696843"
"羽島市立中島中学校","岐阜県羽島市上中町沖1593","35.296862","136.700135"
"上中コミュニティセンター","岐阜県羽島市上中町沖1690","35.296729","136.7009"
"羽島市立中島小学校","岐阜県羽島市上中町沖2100","35.290462","136.698899"
"長間公園","岐阜県羽島市上中町長間418-1","35.302149","136.703651"
"長間北公園","岐阜県羽島市上中町長間88-1","35.306348","136.709166"
"長間ポケットパーク","岐阜県羽島市上中町長間943-11","35.304916","136.706831"
"足近新田公園","岐阜県羽島市新生町1-65","35.330208","136.705976"
"羽島市立正木小学校","岐阜県羽島市正木町坂丸4-3","35.33044","136.731133"
"正木コミュニティセンター","岐阜県羽島市正木町坂丸4-54-2","35.329187","136.731062"
"新井さくら公園","岐阜県羽島市正木町新井685-20","35.316343","136.721198"
"正木中畑公園","岐阜県羽島市正木町須賀2078-21","35.333095","136.722467"
"須賀本村公園","岐阜県羽島市正木町須賀本村40-4","35.336738","136.728769"
"岐阜県立羽島特別支援学校","岐阜県羽島市正木町大浦230-1","35.32606","136.726144"
"大浦東公園","岐阜県羽島市正木町大浦3603-9","35.322147","136.733232"
"運動公園","岐阜県羽島市正木町大浦602","35.323313","136.727086"
"馬場元町公園","岐阜県羽島市足近町7-326","35.340578","136.723043"
"羽島市立羽島中学校","岐阜県羽島市足近町7-455","35.339483","136.721281"
"羽島市立足近小学校","岐阜県羽島市足近町7-66-1","35.345364","136.724247"
"足近コミュニティセンター","岐阜県羽島市足近町7-66-1","35.344675","136.724121"
"市場公園","岐阜県羽島市足近町市場426-25","35.345736","136.740819"
"西的場緑地","岐阜県羽島市竹鼻町1036-1","35.325702","136.692078"
"西須賀公園","岐阜県羽島市竹鼻町1178-3","35.329352","136.692185"
"羽島市立竹鼻小学校","岐阜県羽島市竹鼻町1295-1","35.327735","136.701406"
"岐阜県立羽島高等学校","岐阜県羽島市竹鼻町200-2","35.321389","136.696996"
"大仏児童公園","岐阜県羽島市竹鼻町215-1","35.321457","136.70124"
"はしま観光交流センター","岐阜県羽島市竹鼻町2614","35.324341","136.701969"
"歴史民俗資料館・映画資料館","岐阜県羽島市竹鼻町2624-1","35.324176","136.701985"
"蒲池公園","岐阜県羽島市竹鼻町27","35.321356","136.695361"
"羽島市立竹鼻中学校","岐阜県羽島市竹鼻町3176","35.319708","136.704422"
"竹鼻コミュニティセンター","岐阜県羽島市竹鼻町730","35.323295","136.698499"
"大西第二公園","岐阜県羽島市竹鼻町１０７９－２の一部","35.322958","136.697871"
"大西公園","岐阜県羽島市竹鼻町丸の内1-20","35.323893","136.697052"
"市民の森羽島公園","岐阜県羽島市竹鼻町丸の内6-1","35.327643","136.696808"
"柔剣道道場","岐阜県羽島市竹鼻町丸の内6-160","35.328618","136.698095"
"図書館","岐阜県羽島市竹鼻町丸の内6-2","35.328954","136.696472"
"文化センター（中央公民館）","岐阜県羽島市竹鼻町丸の内6-7","35.328681","136.697208"
"消防南公園","岐阜県羽島市竹鼻町丸の内9-7","35.32641","136.694135"
"平成パーク","岐阜県羽島市竹鼻町狐穴3004-3","35.324372","136.704454"
"神楽公園","岐阜県羽島市竹鼻町神楽15","35.32959","136.703891"
"竹鼻南コミュニティセンター","岐阜県羽島市竹鼻町飯柄1324","35.309386","136.715867"
"羽島市立中央中学校","岐阜県羽島市竹鼻町飯柄505","35.311148","136.715697"
"中央中ポケットパーク","岐阜県羽島市竹鼻町飯柄５０５－３の一部","35.30972","136.714839"
"蜂尻北公園","岐阜県羽島市竹鼻町蜂尻220-22","35.308186","136.716044"
"蜂尻南公園","岐阜県羽島市竹鼻町蜂尻370-17","35.305755","136.712907"
"蜂尻西公園","岐阜県羽島市竹鼻町蜂尻426-1","35.307308","136.711152"
"間島北公園","岐阜県羽島市福寿町間島1-117","35.332901","136.69126"
"外うら西公園","岐阜県羽島市福寿町間島3-123","35.336481","136.695558"
"間島西公園","岐阜県羽島市福寿町間島4-30","35.332415","136.694821"
"外うら東公園","岐阜県羽島市福寿町間島6-53","35.334898","136.699406"
"間島東公園","岐阜県羽島市福寿町間島9-43","35.331983","136.698549"
"千代田西公園","岐阜県羽島市福寿町千代田3-87","35.32035","136.681"
"駅前公園","岐阜県羽島市福寿町浅平1-69","35.316939","136.686098"
"千代田公園","岐阜県羽島市福寿町浅平2-41","35.318836","136.68638"
"市民会館","岐阜県羽島市福寿町浅平3-25","35.321374","136.693392"
"浅平東公園","岐阜県羽島市福寿町浅平3-26","35.320744","136.693124"
"平方第一公園","岐阜県羽島市福寿町平方10-39","35.316858","136.679445"
"平方第三公園","岐阜県羽島市福寿町平方14-9","35.318588","136.6738"
"平方第二公園","岐阜県羽島市福寿町平方5-13","35.314299","136.681103"
"福寿地域交流センター","岐阜県羽島市福寿町本郷1-17","35.321892","136.687588"
"福寿コミュニティセンター","岐阜県羽島市福寿町本郷1-22","35.321696","136.687843"
"羽島市立福寿小学校","岐阜県羽島市福寿町本郷1096","35.322902","136.686407"
"浅平公園","岐阜県羽島市福寿町本郷664-6","35.321005","136.688477"
"本郷公園","岐阜県羽島市福寿町本郷２－１００の一部","35.32153","136.683735"
"蜂尻第二公園","岐阜県羽島市蜂尻713-12","35.307633","136.709702"
"健康の森　善意公園","岐阜県羽島市堀津町46","35.290131","136.676756"
"堀津コミュニティセンター","岐阜県羽島市堀津町593-1","35.302662","136.675428"
"羽島市立堀津小学校","岐阜県羽島市堀津町617-1","35.301485","136.677505"
"横手東公園","岐阜県羽島市堀津町横手1-28","35.310847","136.675415"
"横手公園","岐阜県羽島市堀津町横手3-5","35.312318","136.670765"
"須賀西公園","岐阜県羽島市堀津町須賀西30","35.308109","136.670157"
"須賀中公園","岐阜県羽島市堀津町須賀中66","35.30802","136.674003"
"須賀南公園","岐阜県羽島市堀津町須賀南1-71","35.30469","136.672119"
"資源物ストックヤード","岐阜県羽島市堀津町須賀南2-29","35.305339","136.671193"
"須賀東山公園","岐阜県羽島市堀津町須賀北1-50","35.306873","136.67925"
"前谷公園","岐阜県羽島市堀津町前谷104","35.304834","136.676215"
"上原小学校　グラウンド","岐阜県下呂市夏焼3055","35.733286","137.280786"
"上原小学校体育館","岐阜県下呂市夏焼3055","35.733839","137.280741"
"竹原中学校体育館","岐阜県下呂市宮地2714","35.762922","137.29353"
"竹原中学校　グラウンド","岐阜県下呂市宮地2714","35.763443","137.292342"
"竹原公民館","岐阜県下呂市宮地288-1","35.76675","137.290058"
"竹原小学校体育館","岐阜県下呂市宮地600","35.767562","137.285194"
"竹原小学校　グラウンド","岐阜県下呂市宮地600","35.768043","137.285734"
"下原グラウンド","岐阜県下呂市金山町下原町113","35.669288","137.168502"
"下原体育館","岐阜県下呂市金山町下原町113","35.669711","137.168861"
"東公民館","岐阜県下呂市金山町岩瀬781-4","35.7186","137.135986"
"金山テニスコート","岐阜県下呂市金山町金山2151","35.658432","137.159208"
"金山小学校　グラウンド","岐阜県下呂市金山町金山2151","35.659759","137.159144"
"金山小学校体育館","岐阜県下呂市金山町金山2151","35.660424","137.15979"
"金山市民会館","岐阜県下呂市金山町金山2294","35.658127","137.159863"
"かなやまこども園","岐阜県下呂市金山町金山2301-3","35.658667","137.159889"
"かなやまこども園グラウンド","岐阜県下呂市金山町金山2301-3","35.658593","137.159621"
"金山中学校体育館","岐阜県下呂市金山町金山2619","35.655001","137.156834"
"金山中学校　グラウンド","岐阜県下呂市金山町金山2619","35.65435","137.156287"
"道の駅かれん","岐阜県下呂市金山町金山911-1","35.668455","137.14765"
"リバーサイドスポーツセンター","岐阜県下呂市金山町金山911-1","35.669079","137.147191"
"リバーサイドスタジアム","岐阜県下呂市金山町金山911-1","35.667519","137.14776"
"健康館","岐阜県下呂市金山町金山973-2","35.667772","137.145531"
"菅田体育館","岐阜県下呂市金山町菅田桐洞117","35.64287","137.119144"
"菅田グラウンド","岐阜県下呂市金山町菅田桐洞117","35.642961","137.119911"
"いきいきセンター","岐阜県下呂市金山町菅田桐洞4101","35.640647","137.153643"
"菅田公民館","岐阜県下呂市金山町菅田桐洞699-3","35.644902","137.126394"
"東第一体育館","岐阜県下呂市金山町祖師野224-1","35.715261","137.135494"
"東第一グラウンド","岐阜県下呂市金山町祖師野224-1","35.714878","137.136036"
"市営駅前駐車場","岐阜県下呂市金山町大船渡339-2","35.66264","137.164083"
"下原公民館","岐阜県下呂市金山町大船渡600-8","35.663344","137.161512"
"白草公園","岐阜県下呂市御厩野22-1","35.760278","137.31436"
"加子母Ｂ＆Ｇ海洋センター","岐阜県下呂市御厩野3015-102","35.751296","137.329528"
"湯本湯けむり広場","岐阜県下呂市幸田1154-1","35.80784","137.239559"
"幸の瀬湯けむり広場","岐阜県下呂市幸田1162","35.807153","137.239382"
"小坂小学校　グラウンド","岐阜県下呂市小坂町小坂町1020","35.953832","137.260043"
"小坂小学校体育館","岐阜県下呂市小坂町小坂町1020","35.954478","137.259835"
"道の駅南飛騨小坂はなもも","岐阜県下呂市小坂町赤沼田811-1","35.931568","137.294414"
"きこりセンター　駐車場","岐阜県下呂市小坂町大島987-14","35.948818","137.258149"
"きこりセンター","岐阜県下呂市小坂町大島987-14","35.948527","137.258085"
"小坂ふれあいグラウンド","岐阜県下呂市小坂町長瀬1064","35.935604","137.280531"
"小坂中学校　グラウンド","岐阜県下呂市小坂町長瀬466","35.942032","137.271505"
"小坂中学校体育館","岐阜県下呂市小坂町長瀬466","35.941795","137.272276"
"湯屋地区公民館","岐阜県下呂市小坂町湯屋199-3","35.916057","137.310517"
"湯屋グラウンド","岐阜県下呂市小坂町湯屋46","35.922865","137.309353"
"湯屋体育館","岐阜県下呂市小坂町湯屋46","35.923442","137.30909"
"わかばこども園","岐阜県下呂市小川1048-1","35.797709","137.256414"
"わかばこども園　グラウンド","岐阜県下呂市小川1048-1","35.79737","137.256548"
"下呂特別支援学校体育館","岐阜県下呂市小川432-1","35.801542","137.256552"
"下呂特別支援学校グラウンド","岐阜県下呂市小川432-1","35.801163","137.255358"
"つつじが丘公園野球場","岐阜県下呂市少ケ野1827-111","35.788524","137.25107"
"中原公民館","岐阜県下呂市焼石2926","35.726367","137.198943"
"なかはら子育て・保育ステーション","岐阜県下呂市焼石3530-1","35.729999","137.197902"
"なかはら子育て・保育ステーショングラウンド","岐阜県下呂市焼石3530-1","35.729868","137.198004"
"旧中原小学校体育館","岐阜県下呂市焼石3552-1","35.730177","137.198746"
"旧中原小学校　グラウンド","岐阜県下呂市焼石3552-1","35.730683","137.19905"
