"施設名","所在地","緯度","経度"
"上小学校体育館","熊本県あさぎり町上南2370","32.210032","130.905836"
"あさぎり町ヘルシーランド","熊本県あさぎり町上北1874","32.217305","130.900452"
"白寿荘","熊本県あさぎり町上北1880","32.217645","130.901461"
"あさぎり中学校体育館","熊本県あさぎり町上北2144","32.222232","130.907059"
"せきれい館","熊本県あさぎり町深田西955-1","32.243893","130.873084"
"あさぎり町総合福祉センター","熊本県あさぎり町免田東1190-2","32.240926","130.897843"
"ポッポー館","熊本県あさぎり町免田東1482-2","32.236425","130.894197"
"荻の草公民館","熊本県阿蘇市一の宮町荻の草438","33.029646","131.15126"
"一の宮農業構造改善センター","熊本県阿蘇市一の宮町宮地1288","32.937754","131.125423"
"一の宮中学校体育館","熊本県阿蘇市一の宮町宮地1669-2","32.950866","131.123373"
"一の宮小学校体育館","熊本県阿蘇市一の宮町宮地1680","32.949405","131.121981"
"一の宮体育館","熊本県阿蘇市一の宮町宮地2318-1","32.939126","131.115569"
"阿蘇中央高校阿蘇清峰校舎体育館","熊本県阿蘇市一の宮町宮地4131","32.953143","131.099924"
"一の宮運動公園","熊本県阿蘇市一の宮町宮地4796-1","32.932861","131.120196"
"国立阿蘇青少年交流の家","熊本県阿蘇市一の宮町宮地6029-1","32.91862","131.109655"
"坂梨体育館","熊本県阿蘇市一の宮町坂梨3028","32.93691","131.131149"
"坂梨公民館","熊本県阿蘇市一の宮町坂梨846-1","32.937207","131.13733"
"中通体育館","熊本県阿蘇市一の宮町中通1521","32.964277","131.11159"
"中通公民館","熊本県阿蘇市一の宮町中通1646-4","32.96379","131.113299"
"古城体育館","熊本県阿蘇市一の宮町中通2177","32.970176","131.128874"
"永草公民館","熊本県阿蘇市永草2685","32.937479","131.024988"
"乙姫体育館","熊本県阿蘇市乙姫1612","32.94018","131.040974"
"コスギリゾート","熊本県阿蘇市乙姫2052","32.93406","131.0406"
"阿蘇郡市医師会","熊本県阿蘇市黒川1178","32.930095","131.080171"
"道の駅「阿蘇」","熊本県阿蘇市黒川1440-1","32.936434","131.080976"
"阿蘇駅前噴水広場","熊本県阿蘇市黒川1444-1","32.936558","131.079917"
"農村公園あぴか","熊本県阿蘇市黒川656","32.953999","131.062483"
