"施設名","所在地","緯度","経度"
"いなべ市役所員弁庁舎","三重県いなべ市員弁町笠田新田111","35.116154","136.561462"
"員弁西小学校","三重県いなべ市員弁町笠田新田607","35.115093","136.554067"
"市之原公民館","三重県いなべ市員弁町市之原1178","35.145232","136.561053"
"員弁運動公園体育館","三重県いなべ市員弁町楚原936","35.117366","136.564405"
"員弁東小学校","三重県いなべ市員弁町大泉1201","35.098882","136.567885"
"員弁中学校","三重県いなべ市員弁町大泉新田1739","35.108897","136.565359"
"大安中学校","三重県いなべ市大安町石榑東2977","35.099658","136.537576"
"石榑小学校","三重県いなべ市大安町石榑南611","35.104868","136.504907"
"丹生川小学校","三重県いなべ市大安町丹生川中1189","35.12318","136.520512"
"大安海洋センター体育館","三重県いなべ市大安町梅戸","35.073779","136.554969"
"三里小学校","三重県いなべ市大安町平塚1247","35.103095","136.534529"
"藤原中学校","三重県いなべ市藤原町市場491","35.17285","136.491399"
"藤原文化センター","三重県いなべ市藤原町市場493-1","35.174397","136.48684"
"旧東藤原小学校","三重県いなべ市藤原町石川989","35.158343","136.498077"
"ふじわら保育園","三重県いなべ市藤原町川合770","35.173648","136.498172"
"農業公園梅林公園直売所","三重県いなべ市藤原町鼎342","35.221008","136.495316"
"北勢中学校","三重県いなべ市北勢町阿下喜2480","35.155512","136.526365"
"阿下喜小学校","三重県いなべ市北勢町阿下喜2562-1","35.156716","136.52438"
"いなべ市役所北勢庁舎","三重県いなべ市北勢町阿下喜2633","35.152485","136.524078"
"いなべ市役所駐車場","三重県いなべ市北勢町阿下喜40","35.158806","136.514778"
"いなべ市防災拠点施設","三重県いなべ市北勢町阿下喜66-3","35.154959","136.513933"
"川原多目的集会所","三重県いなべ市北勢町川原916","35.21394","136.512529"
"山郷小学校","三重県いなべ市北勢町大辻新田276","35.149936","136.54182"
"田辺農業振興センター","三重県いなべ市北勢町田辺745-2","35.19502","136.524763"
"治田小学校","三重県いなべ市北勢町東村30-1","35.132196","136.511473"
"ＤＭＧＭＯＲⅠアリーナ","三重県伊賀市ゆめが丘1-3","34.739272","136.158478"
"友生小学校運動場","三重県伊賀市ゆめが丘2-11","34.736913","136.164014"
"友生小学校　体育館","三重県伊賀市ゆめが丘2-11","34.73761","136.164507"
