全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,電話番号,内線番号,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
401005,000000004509,福岡県北九州市,春日公園　トイレ,カスガコウエン　トイレ,,,2101,,,401056,0016000,福岡県北九州市戸畑区三六町,福岡県,北九州市,戸畑区三六町,,,,,,,－,,,,,,,,,8040091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000004338,福岡県北九州市,小伊藤山公園トイレ,ショウイトウサンコウソノトイレ,,,2101,,,401081,0019002,福岡県北九州市八幡東区尾倉二丁目,福岡県,北九州市,八幡東区尾倉二丁目,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000004418,福岡県北九州市,上保公園　トイレ,ウエホコウエン　トイレ,,,2101,,,401099,0097003,福岡県北九州市八幡西区鷹の巣三丁目,福岡県,北九州市,八幡西区鷹の巣三丁目,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000004345,福岡県北九州市,前田二丁目公園　トイレ,マエダニチョウメコウエン　トイレ,,,2101,,,401081,0061002,福岡県北九州市八幡東区前田二丁目,福岡県,北九州市,八幡東区前田二丁目,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000004440,福岡県北九州市,則松公園　トイレ,ノリマツコウエン　トイレ,,,2101,,,401099,0124006,福岡県北九州市八幡西区則松六丁目,福岡県,北九州市,八幡西区則松六丁目,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000004045,福岡県北九州市,西新町公園トイレ,ニシシンマチコウエントイレ,,,2101,,,401013,0081001,福岡県北九州市門司区西新町一丁目,福岡県,北九州市,門司区西新町一丁目,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000004204,福岡県北九州市,湯川中央公園トイレ,ユガワチュウオウコウエントイレ,,,2101,,,401072,0122003,福岡県北九州市小倉南区湯川新町三丁目,福岡県,北九州市,小倉南区湯川新町三丁目,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000004211,福岡県北九州市,北方１号公園トイレ,キタガタ１ゴウコウエントイレ,,,2101,,,401072,0128005,福岡県北九州市小倉南区若園五丁目,福岡県,北九州市,小倉南区若園五丁目,,,,,,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000001552,福岡県北九州市,ひまわり中学校,ヒマワリチュウガッコウ,,,1504,,,401064,0055001,福岡県北九州市小倉北区下富野一丁目2-1菊陵中学校内,福岡県,北九州市,小倉北区下富野一丁目,2-1,菊陵中学校内,33.88224614,130.8940609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000001549,福岡県北九州市,ウーマンワークカフェ北九州,ウーマンワークカフェキタキュウシュウ,,,1306,,,401064,0004003,福岡県北九州市小倉北区浅野三丁目8-1,福岡県,北九州市,小倉北区浅野三丁目,8-1,,33.8895829,130.8865051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000001546,福岡県北九州市,八幡図書館折尾分館,ヤハタトショカンオリオブンカン,,,1512,,,401099,0152000,福岡県北九州市八幡西区堀川町5-23,福岡県,北九州市,八幡西区堀川町,5-23,,33.8637,130.7118,,,,,,,,,,,,8070861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000001544,福岡県北九州市,北九州市折尾まちづくり記念館,キタキュウシュウシオリオマチヅクリキネンカン,,,1305,,,401099,0152000,福岡県北九州市八幡西区堀川町5-23,福岡県,北九州市,八幡西区堀川町,5-23,,33.86380063,130.7115516,,,,,,,,,,,,8070861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000001542,福岡県北九州市,科学館（スペースLABO）,カガクカン（スペースラボ）,,,1009,,,401081,0052004,福岡県北九州市八幡東区東田四丁目1-1,福岡県,北九州市,八幡東区東田四丁目,1-1,,33.87156966,130.8087432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000001503,福岡県北九州市,視聴覚センター,シチョウカクセンター,,,1512,,,401099,0001000,福岡県北九州市八幡西区相生町1-20,福岡県,北九州市,八幡西区相生町,1-20,,33.85172877,130.747944,,,,,,,,,,,,8060044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000001502,福岡県北九州市,小倉南図書館,コクラミナミトショカン,,,1512,,,401072,0128004,福岡県北九州市小倉南区若園四丁目1-16,福岡県,北九州市,小倉南区若園四丁目,1-16,,33.8474,130.8851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
