"施設名","所在地","緯度","経度"
"きぬの里２号公園","栃木県さくら市きぬの里1-18-10","36.662351","139.961514"
"きぬの里１号公園","栃木県さくら市きぬの里1-5","36.661452","139.958322"
"きぬの里４号公園","栃木県さくら市きぬの里2-8-7","36.660087","139.965839"
"きぬの里近隣公園","栃木県さくら市きぬの里3-19","36.658797","139.964244"
"きぬの里３号公園","栃木県さくら市きぬの里4-8-1","36.65818","139.958822"
"きぬの里５号公園","栃木県さくら市きぬの里5-10-7","36.654875","139.963076"
"氏家駅西近隣公園（風の丘公園）","栃木県さくら市卯の里1-8","36.684855","139.957021"
"氏家駅西２号公園","栃木県さくら市卯の里2-25-3","36.682936","139.95971"
"氏家駅西３号公園","栃木県さくら市卯の里4-53-6","36.678705","139.959475"
"氏家駅西４号公園","栃木県さくら市卯の里5-62-3","36.677726","139.962337"
"下河戸南多目的集会施設","栃木県さくら市下河戸328-2","36.759941","140.018847"
"葛城公民館","栃木県さくら市葛城1455-1","36.705836","140.038288"
"荒川水辺公園","栃木県さくら市喜連川","36.71438","140.032503"
"松田多目的集会施設","栃木県さくら市喜連川2489-1","36.737672","140.008779"
"西河原公民館","栃木県さくら市喜連川2965-1","36.733493","140.00283"
"喜連川小学校","栃木県さくら市喜連川3911","36.72089","140.025628"
"道の駅きつれがわ","栃木県さくら市喜連川4145-10","36.715424","140.032766"
"旧喜連川高等学校","栃木県さくら市喜連川561","36.72112","140.035226"
"喜連川中学校","栃木県さくら市喜連川5691","36.731658","140.032862"
"喜連川保健センター","栃木県さくら市喜連川807-8","36.723101","140.030847"
"わくわく保育園","栃木県さくら市喜連川837-1","36.72257","140.030926"
"熟田小学校","栃木県さくら市狭間田1702","36.685016","140.004227"
"菖蒲沢公園","栃木県さくら市金枝62-2","36.738585","140.033024"
"鬼怒川運動公園","栃木県さくら市向河原4101","36.696693","139.936862"
"南小学校","栃木県さくら市氏家1061-3","36.663632","139.96261"
"鬼怒川河川公園（ゆうゆうパーク）","栃木県さくら市氏家1317","36.672102","139.952881"
"勝山公園","栃木県さくら市氏家1321","36.669025","139.955441"
"氏家小学校","栃木県さくら市氏家2491","36.686453","139.962738"
"寛方・タゴール平和記念公園","栃木県さくら市氏家2662-1","36.680699","139.967384"
"石町駐車場","栃木県さくら市氏家2678-1","36.682302","139.966795"
"氏家体育館","栃木県さくら市氏家2730","36.686057","139.968822"
"さくら清修高等学校","栃木県さくら市氏家2807","36.689593","139.965756"
"氏家中学校","栃木県さくら市氏家3243","36.700702","139.969682"
"ふれあい保育園","栃木県さくら市氏家3263-6","36.705842","139.962415"
"上松山小学校","栃木県さくら市氏家3496","36.707273","139.9694"
"金鹿体育館","栃木県さくら市鹿子畑1221","36.734648","140.049291"
"たいよう保育園","栃木県さくら市松山796-1","36.70009","140.001183"
"河戸体育館","栃木県さくら市上河戸1826","36.773837","140.003166"
"早乙女公民館","栃木県さくら市早乙女860","36.715306","140.006731"
"草川第１公園","栃木県さくら市草川18-1","36.686843","139.948392"
"あおぞら保育園","栃木県さくら市草川42","36.681815","139.954378"
"草川第２公園","栃木県さくら市草川57-1","36.67849","139.957058"
"押上小学校","栃木県さくら市長久保814","36.714755","139.946544"
"女性アグリセンター","栃木県さくら市箱森新田157","36.716001","139.968882"
"穂積体育館","栃木県さくら市穂積478","36.762299","140.06328"
"氏家駅西１号公園","栃木県さくら市北草川1-18-1","36.688589","139.95205"
"鷲宿体育館","栃木県さくら市鷲宿6105","36.750179","139.987765"
"氏家保健センター","栃木県さくら市櫻野1319-3","36.684503","139.967546"
"氏家図書館","栃木県さくら市櫻野1321","36.684912","139.967739"
"氏家公民館","栃木県さくら市櫻野1322-8","36.685024","139.968403"
"氏家福祉センター","栃木県さくら市櫻野1329","36.686596","139.970281"
"総合公園","栃木県さくら市櫻野1789","36.695164","139.982336"
"ゆいの杜小学校","栃木県宇都宮市ゆいの杜3-15-30","36.571492","139.991506"
"宇都宮市役所","栃木県宇都宮市旭1-1-5","36.555115","139.882807"
"西芦沼公民館","栃木県宇都宮市芦沼町2752","36.665804","139.924809"
"作新学院","栃木県宇都宮市一の沢1-1-4","36.56871","139.857715"
"ニュー富士見ヶ丘団地公民館","栃木県宇都宮市横山1-21-18","36.617533","139.890158"
"ニュー富士見ローズタウン公民館","栃木県宇都宮市横山3-21-24","36.622682","139.886437"
"横山町上公民館","栃木県宇都宮市横山町1385","36.62135","139.866107"
"横山町下公民館","栃木県宇都宮市横山町3-26-38","36.62095","139.882877"
"岡本コミュニティプラザ","栃木県宇都宮市下岡本町1954-10","36.597706","139.943913"
"駅前第一区公民館","栃木県宇都宮市下岡本町4150-1","36.597286","139.943325"
