"施設名","所在地","緯度","経度"
"元泉農村公園","山形県河北町字畑中213-4","38.409828","140.300869"
"天満農村公園","山形県河北町西里139-2","38.413344","140.27862"
"西里小学校グラウンド","山形県河北町西里562","38.414489","140.286042"
"西里小学校","山形県河北町西里562","38.414788","140.285178"
"両所活性化センター","山形県河北町西里6346","38.420211","140.279246"
"両所活性化センター駐車場","山形県河北町西里6346","38.419963","140.279396"
"河北すこやかふれあい交流センター駐車場","山形県河北町西里667-11","38.41425","140.286648"
"西里農村環境改善センター駐車場","山形県河北町西里750-7","38.417327","140.287281"
"西里農村環境改善センター","山形県河北町西里750-7","38.41782","140.287895"
"根際農村公園","山形県河北町西里字根際1964-1","38.42844","140.2883"
"両所農村公園","山形県河北町西里字両所1682-1","38.418659","140.27407"
"岩木農村公園","山形県河北町大字岩木字岩木135-4","38.452118","140.309385"
"笹本農村公園","山形県河北町大字岩木字岩木東948-2","38.453917","140.313257"
"北谷地小学校グラウンド","山形県河北町大字吉田367","38.444124","140.315366"
"北谷地小学校","山形県河北町大字吉田367","38.444572","140.314593"
"北谷地構造改善センター駐車場","山形県河北町大字吉田字馬場261","38.445092","140.314479"
"北谷地構造改善センター","山形県河北町大字吉田字馬場261","38.44534","140.313968"
"旧北谷地保育所駐車場","山形県河北町大字吉田字馬場422","38.444565","140.316967"
"溝延小学校","山形県河北町大字溝延字小堤312-1","38.39646","140.317407"
"溝延小学校グラウンド","山形県河北町大字溝延字小堤312-1","38.396008","140.31715"
"溝延研修センター","山形県河北町大字溝延字小堤40","38.39643","140.31513"
"溝延研修センター　駐車場","山形県河北町大字溝延字小堤40","38.396308","140.31443"
"旧溝延幼稚園駐車場","山形県河北町大字溝延字小堤45-1","38.396189","140.315782"
"溝延城址公園","山形県河北町大字溝延字本丸15","38.395255","140.310823"
"溝延本丸公園","山形県河北町大字溝延字本丸22-1","38.3958","140.310879"
"新吉田農村公園","山形県河北町大字新吉田字新吉田18-2","38.449899","140.321981"
"ひな市ポケットパーク","山形県河北町谷地ひな市1-4-3","38.429734","140.316634"
"ひなの広場","山形県河北町谷地ひな市2-9-1","38.430932","140.318215"
"ひな市北公園","山形県河北町谷地ひな市3-5-7","38.432934","140.320837"
"ひな市南公園","山形県河北町谷地ひな市4-4-4","38.429339","140.321139"
"旧谷地西部保育所駐車場","山形県河北町谷地己1105","38.437471","140.297186"
"下沢畑公園","山形県河北町谷地庚750","38.439901","140.30142"
"まちなか公園","山形県河北町谷地甲170-2","38.425921","140.311908"
"交流館遊蔵","山形県河北町谷地甲2325-2","38.425005","140.315908"
"総合福祉センター駐車場","山形県河北町谷地甲2325-3","38.424752","140.315795"
"総合福祉センター","山形県河北町谷地甲2325-3","38.424565","140.315997"
"どんがホール駐車場","山形県河北町谷地甲79","38.423883","140.313915"
"谷地南部小学校","山形県河北町谷地荒町東1-7-1","38.421616","140.317603"
"谷地南部小学校グラウンド","山形県河北町谷地荒町東1-7-1","38.420893","140.318283"
"荒町東公園","山形県河北町谷地荒町東2-12-1","38.421501","140.321356"
"あさひ公園","山形県河北町谷地荒町東2-22-4","38.419148","140.320737"
"ほこえ公園","山形県河北町谷地荒町東2-8-13","38.422174","140.321558"
"ひなの湯東公園","山形県河北町谷地字下野192","38.416945","140.3223"
"べに花温泉ひなの湯","山形県河北町谷地字下野269","38.417735","140.321426"
"べに花温泉ひなの湯駐車場","山形県河北町谷地字下野269","38.417068","140.321292"
"河北町民プール駐車場","山形県河北町谷地字下野288","38.416297","140.321845"
"いきいき広場","山形県河北町谷地字月山堂1136-2","38.413309","140.309162"
"健康の森公園","山形県河北町谷地字月山堂1136-4","38.412394","140.309717"
"青葉町地内広場","山形県河北町谷地字十二堂5-18","38.425206","140.306371"
"河北町職業訓練センター","山形県河北町谷地字所岡142-2","38.429653","140.31021"
"谷地中部小学校グラウンド","山形県河北町谷地字所岡73","38.429296","140.309575"
"谷地中部小学校","山形県河北町谷地字所岡73","38.429159","140.310695"
"河北町民体育館駐車場","山形県河北町谷地字所岡77","38.430191","140.310443"
"河北町民体育館","山形県河北町谷地字所岡77","38.42954","140.311253"
"谷地工業団地緑地公園","山形県河北町谷地字真木266-9","38.408172","140.32645"
"道の駅河北駐車場","山形県河北町谷地字真木335-1","38.413181","140.328171"
"県立谷地高等学校","山形県河北町谷地字田中170","38.42199","140.308913"
"県立谷地高等学校グラウンド","山形県河北町谷地字田中170","38.421544","140.309478"
"嶋団地公園","山形県河北町谷地字嶋272-4","38.423839","140.30083"
"幸町公園","山形県河北町谷地字東25-15","38.426346","140.318236"
"谷地西部小学校","山形県河北町谷地字布田55","38.437996","140.302059"
"谷地西部小学校グラウンド","山形県河北町谷地字布田55","38.437739","140.30173"
"所岡東公園","山形県河北町谷地所岡2-14-7","38.431676","140.313677"
"所岡中部公園","山形県河北町谷地所岡2-4-1","38.430634","140.311112"
"総合交流センター　サハトべに花","山形県河北町谷地所岡3-1-10","38.431463","140.309258"
"総合交流センターサハトべに花駐車場","山形県河北町谷地所岡3-1-10","38.430807","140.310063"
"吉野農村公園","山形県河北町谷地辛2127-1","38.447657","140.33603"
"田中公園","山形県河北町谷地中央1-2-4","38.42166","140.312"
"ふれあい館","山形県河北町谷地中央3-15-1","38.417925","140.314759"
"河北中央公園","山形県河北町谷地中央3-15-1","38.41885","140.314019"
"河北中学校グラウンド","山形県河北町谷地中央4-12-1","38.417606","140.310942"
"河北中学校","山形県河北町谷地中央4-12-1","38.418836","140.310284"
"若葉公園","山形県河北町谷地中央5-6-1","38.417913","140.308028"
"河北公園","山形県河北町谷地戊81","38.42584","140.31415"
"みずき公園","山形県寒河江市みずき2-79-11","38.365504","140.285105"
"栄町ふれあい広場","山形県寒河江市栄町1-11","38.36839","140.278198"
"寒河江小学校","山形県寒河江市丸内1-3-8","38.376352","140.279601"
"八幡原第１号公園","山形県寒河江市元町1-11-2","38.371889","140.271724"
"寒河江中部小学校","山形県寒河江市元町2-19","38.370727","140.271804"
"八幡原第２号公園","山形県寒河江市元町3-10","38.371198","140.268919"
"八幡原第３号公園","山形県寒河江市元町4-18","38.368156","140.270904"
"幸田町公園","山形県寒河江市幸田町8-1","38.366244","140.274967"
"東寒河江第２号公園","山形県寒河江市高田1-3-1","38.370476","140.288669"
"東寒河江第１号公園","山形県寒河江市高田2-2-1","38.368577","140.285578"
"三泉小学校","山形県寒河江市字中河原191-1","38.405623","140.285399"
"若葉町公園","山形県寒河江市若葉町11-1","38.369155","140.275296"
"新山公園","山形県寒河江市新山町9","38.370099","140.293424"
"船橋公園","山形県寒河江市船橋町5","38.373652","140.26943"
