"施設名","所在地","緯度","経度"
"幸海小学校","愛知県　豊田市幸海町下御堂下切14-1","35.082823","137.231518"
"下萱津コミュニティ防災センター","愛知県あま市下萱津山伏8","35.18156","136.839418"
"美和文化会館西側駐車場","愛知県あま市花正地先1-1","35.20444","136.783579"
"美和文化会館","愛知県あま市花正地先1-1","35.204094","136.784491"
"美和保健センター","愛知県あま市花正中之割2","35.201291","136.784281"
"坂牧コミュニティ防災センター","愛知県あま市坂牧阿原25","35.182928","136.830237"
"七宝公民館","愛知県あま市七宝町安松小新田2337","35.171397","136.79679"
"伊福小学校","愛知県あま市七宝町伊福河原28","35.156634","136.793959"
"伊福小学校グラウンド","愛知県あま市七宝町伊福河原28","35.156015","136.79389"
"七宝総合体育館","愛知県あま市七宝町伊福宮東3-1","35.16063","136.797098"
"七宝総合体育館駐車場","愛知県あま市七宝町伊福宮東3-1","35.160428","136.798007"
"七宝焼アートヴィレッジ","愛知県あま市七宝町遠島十三割2000","35.183673","136.799226"
"七宝北中学校","愛知県あま市七宝町遠島十坪117","35.185641","136.799289"
"七宝北中学校グラウンド","愛知県あま市七宝町遠島十坪117","35.185343","136.798935"
"宝小学校","愛知県あま市七宝町遠島大切戸1296","35.183006","136.806584"
"宝小学校グラウンド","愛知県あま市七宝町遠島大切戸1296","35.182668","136.807314"
"七宝小学校グラウンド","愛知県あま市七宝町桂角田1777","35.170543","136.797703"
"七宝小学校","愛知県あま市七宝町桂角田1777","35.171121","136.797693"
"七宝保健センター","愛知県あま市七宝町桂弥勒28","35.164963","136.795808"
"七宝グラウンド","愛知県あま市七宝町桂弥勒28","35.164569","136.795506"
"秋竹小学校","愛知県あま市七宝町秋竹中道358","35.17585","136.803649"
"秋竹小学校グラウンド","愛知県あま市七宝町秋竹中道358","35.175442","136.803452"
"七宝中学校グラウンド","愛知県あま市七宝町川部山王4","35.170994","136.79539"
"七宝中学校","愛知県あま市七宝町川部山王4","35.171284","136.795384"
"七宝鷹居グラウンド","愛知県あま市七宝町鷹居5-2","35.159885","136.787434"
"篠田防災コミュニティセンター","愛知県あま市篠田3-51","35.187058","136.777549"
"篠田小学校","愛知県あま市篠田十王堂59","35.186903","136.781549"
"篠田小学校グラウンド","愛知県あま市篠田十王堂59","35.186657","136.781554"
"上萱津コミュニティ防災センター","愛知県あま市上萱津上野87","35.192136","136.839391"
"上萱津コミュニティ防災センター南公用地","愛知県あま市上萱津上野87","35.191842","136.839439"
"甚目寺西小学校グラウンド","愛知県あま市新居屋三反通11","35.197792","136.815303"
"甚目寺西小学校","愛知県あま市新居屋三反通11","35.198081","136.815319"
"甚目寺西児童館（新居屋憩の家）","愛知県あま市新居屋東高田58","35.197698","136.811653"
"甚目寺北児童館（森憩の家）","愛知県あま市森2-6-2","35.209451","136.813591"
"森グラウンド","愛知県あま市森2-6-4","35.209089","136.814191"
"森ケ丘公園","愛知県あま市森4-6","35.210412","136.810723"
"甚目寺小学校","愛知県あま市甚目寺寺西40","35.195272","136.821596"
"甚目寺小学校グラウンド","愛知県あま市甚目寺寺西40","35.195","136.82158"
"甚目寺南防災センター","愛知県あま市甚目寺須原20","35.188775","136.81869"
"甚目寺会館","愛知県あま市甚目寺東大門8","35.193397","136.823418"
"甚目寺公民館","愛知県あま市甚目寺二伴田65","35.200027","136.822249"
"甚目寺中学校","愛知県あま市甚目寺二伴田76","35.199944","136.820453"
"甚目寺中学校グラウンド","愛知県あま市甚目寺二伴田76","35.199581","136.820372"
"県立五条高校","愛知県あま市西今宿阿弥陀寺56","35.203718","136.824402"
"甚目寺総合福祉会館","愛知県あま市西今宿馬洗46","35.200302","136.826771"
"甚目寺総合体育館","愛知県あま市西今宿馬洗56","35.199064","136.827018"
"甚目寺老人福祉センター","愛知県あま市西今宿平割二25","35.203009","136.834251"
"人権ふれあいセンター","愛知県あま市西今宿平割二32","35.203645","136.833732"
"甚目寺東小学校","愛知県あま市西今宿六反割60-1","35.202684","136.824719"
"甚目寺東小学校グラウンド","愛知県あま市西今宿六反割60-1","35.20243","136.824735"
"甚目寺南小学校","愛知県あま市中萱津西ノ川40","35.188258","136.83079"
"甚目寺南小学校グラウンド","愛知県あま市中萱津西ノ川40","35.18801","136.830813"
"コミュニティプラザ萱津","愛知県あま市中萱津法慶寺24","35.188446","136.843528"
"美和グラウンド","愛知県あま市東溝口3-101","35.205444","136.78494"
"正則小学校グラウンド","愛知県あま市二ツ寺三本松46","35.206198","136.798954"
"正則小学校","愛知県あま市二ツ寺三本松46","35.206435","136.798783"
"二ツ寺親水公園","愛知県あま市二ツ寺西高須賀1","35.210518","136.792447"
"蜂須賀グラウンド","愛知県あま市蜂須賀八幡前18","35.206338","136.771211"
"甚目寺南児童館（本郷憩の家）","愛知県あま市本郷柿ノ木92","35.18602","136.828329"
"甚目寺南中学校","愛知県あま市本郷八尻6","35.189429","136.828567"
"甚目寺南中学校グラウンド","愛知県あま市本郷八尻6","35.1891","136.828604"
"美和東小学校グラウンド","愛知県あま市木折寺田1-3","35.190684","136.796724"
"美和東小学校","愛知県あま市木折寺田1-3","35.190991","136.796729"
"美和児童館","愛知県あま市木田五反田124-1","35.190413","136.787757"
"美和小学校グラウンド","愛知県あま市木田小島55","35.197552","136.782126"
"美和小学校","愛知県あま市木田小島55","35.19778","136.782292"
"美和中学校","愛知県あま市木田丁子ノ口1","35.197894","136.788447"
"美和中学校グラウンド","愛知県あま市木田丁子ノ口1","35.197613","136.788367"
"美和情報ふれあいセンター","愛知県あま市木田丁子ノ口6-1","35.197943","136.786999"
"名古屋刑務所","愛知県みよし市ひばりケ丘1-1","35.118118","137.117275"
"おかよし交流センター","愛知県みよし市ひばりケ丘2-1-1","35.118137","137.114312"
