"施設名","所在地","緯度","経度"
"安飾コミュニティステーション（旧安飾地区公民館）","茨城県かすみがうら市安食1075-1","36.11379","140.347698"
"逆西防災広場","茨城県かすみがうら市稲吉2-9-18","36.122878","140.249886"
"逆西第一児童公園","茨城県かすみがうら市稲吉2613-364","36.124317","140.249987"
"下稲吉コミュニティセンター（旧働く女性の家）","茨城県かすみがうら市稲吉3-15-67","36.124801","140.248373"
"稲吉ふれあい公園","茨城県かすみがうら市稲吉4-10-1","36.127757","140.245708"
"下稲吉小学校","茨城県かすみがうら市下稲吉1623-5","36.135184","140.239504"
"大塚児童館（大塚ふれあいセンター）","茨城県かすみがうら市下稲吉1868-22","36.132106","140.239129"
"大塚ファミリー公園","茨城県かすみがうら市下稲吉1873-3","36.131749","140.238588"
"下稲吉中学校","茨城県かすみがうら市下稲吉2273-2","36.132642","140.247781"
"下稲吉東小学校","茨城県かすみがうら市下稲吉2286","36.13101","140.251458"
"桜塚公園","茨城県かすみがうら市下稲吉2607-72","36.122999","140.253094"
"わかぐり保育所","茨城県かすみがうら市下稲吉519-2","36.149718","140.245788"
"霞ヶ浦北小学校","茨城県かすみがうら市下軽部1232","36.097479","140.342711"
"下大津コミュニティステーション（旧下大津地区公民館）","茨城県かすみがうら市加茂4472","36.080097","140.28569"
"牛渡コミュニティステーション（旧牛渡地区公民館）","茨城県かすみがうら市牛渡2862-3","36.066649","140.331371"
"やまゆり保育所","茨城県かすみがうら市五反田298-20","36.177623","140.21998"
"かすみがうら市歴史博物館研修施設","茨城県かすみがうら市坂1029-1","36.074395","140.372949"
"かすみがうら市交流センター","茨城県かすみがうら市坂4784","36.06999","140.374736"
"志士庫コミュニティステーション（旧志士庫小学校）","茨城県かすみがうら市宍倉1594","36.122001","140.321852"
"戸沢公園運動広場","茨城県かすみがうら市宍倉3604-1","36.126388","140.307928"
"かすみがうらウエルネスプラザ","茨城県かすみがうら市宍倉5462","36.128566","140.286431"
"旧七会小学校","茨城県かすみがうら市上稲吉182-2","36.143219","140.220537"
"旧上佐谷小学校","茨城県かすみがうら市上佐谷1837","36.165048","140.20506"
"千代田義務教育学校","茨城県かすみがうら市上佐谷990","36.162248","140.223896"
"千代田義務教育学校児童クラブ","茨城県かすみがうら市上佐谷990-74","36.160893","140.223606"
"わかぐり運動公園体育館","茨城県かすみがうら市新治1813-2","36.140501","140.247355"
"霞ヶ浦南小学校","茨城県かすみがうら市深谷3360-1","36.088416","140.310672"
"霞ヶ浦中学校","茨城県かすみがうら市深谷3398-2","36.089551","140.305653"
"霞ヶ浦コミュニティセンター（旧あじさい館）","茨城県かすみがうら市深谷3719-1","36.086727","140.313093"
"新治児童館","茨城県かすみがうら市西野寺51-1","36.170674","140.260204"
"第１常陸野公園　千代田Ｂ＆Ｇ海洋センター体育館","茨城県かすみがうら市中佐谷1252-8","36.156735","140.220788"
"千代田コミュニティセンター（旧志筑小学校）","茨城県かすみがうら市中志筑2112","36.184427","140.231084"
"勘兵衛新田児童公園","茨城県つくばみらい市伊奈東33-100","35.991498","140.057933"
"いなひがし公園","茨城県つくばみらい市伊奈東52-2","35.997491","140.058164"
"わかくさ幼稚園","茨城県つくばみらい市下島422","35.954679","140.059677"
"谷和原小学校","茨城県つくばみらい市加藤241","35.99063","140.011255"
"鈴の丘公園","茨城県つくばみらい市絹の台1-13","35.980181","139.97864"
"小絹中学校","茨城県つくばみらい市絹の台1-14-2","35.980339","139.977413"
"絹の台桜公園","茨城県つくばみらい市絹の台3-2","35.97828","139.978974"
"笛の丘公園","茨城県つくばみらい市絹の台3-25","35.976602","139.974689"
"鐘の丘公園","茨城県つくばみらい市絹の台5-14","35.973778","139.978136"
"谷和原中学校","茨城県つくばみらい市古川950","35.991604","140.01257"
"伊奈第１保育所","茨城県つくばみらい市山王新田1253","35.944599","140.071673"
"伊奈中学校","茨城県つくばみらい市市野深600","35.967777","140.032564"
"きょうりゅう公園","茨城県つくばみらい市紫峰ヶ丘1-16-1","35.999579","140.039051"
"とんぼ公園","茨城県つくばみらい市紫峰ヶ丘2-10","36.001731","140.035929"
"かたつむり公園","茨城県つくばみらい市紫峰ヶ丘3-16-6","36.004503","140.037306"
"みらい平コミュニティセンター","茨城県つくばみらい市紫峰ヶ丘4-4-1","36.001553","140.04048"
"みらい平どんぐり公園","茨城県つくばみらい市紫峰ヶ丘4-5-1","36.002528","140.040415"
"ちょうちょう公園","茨城県つくばみらい市紫峰ヶ丘5-32-16","36.003459","140.04421"
"小絹コミュニティセンター","茨城県つくばみらい市小絹848","35.982611","139.980371"
"小絹小学校","茨城県つくばみらい市小絹858","35.981684","139.979571"
"小張小学校","茨城県つくばみらい市小張1661","35.982779","140.039055"
"総合運動公園","茨城県つくばみらい市小張1770","35.979044","140.045371"
"伊奈第２保育所","茨城県つくばみらい市小張4705","35.984482","140.040285"
"谷和原第２保育所","茨城県つくばみらい市上小目600","35.992067","140.001169"
"谷和原幼稚園","茨城県つくばみらい市上小目600","35.991895","140.001531"
"つくばみらい市総合教育支援センター","茨城県つくばみらい市上長沼1250","36.011861","140.012673"
"総合福祉施設きらくやまふれあいの丘","茨城県つくばみらい市神生530","35.963979","140.088881"
"谷和原第１保育所","茨城県つくばみらい市仁左衛門新田641","36.017735","140.019765"
"茨城県立伊奈特別支援学校","茨城県つくばみらい市青古新田300","35.972033","140.020288"
"すみれ幼稚園","茨城県つくばみらい市足高1313","35.951887","140.088094"
"谷井田コミュニティセンター","茨城県つくばみらい市谷井田1960","35.951289","140.045624"
"伊奈小学校","茨城県つくばみらい市谷井田2047","35.951573","140.049886"
"いばらき広域農業共済組合　旧茨城南部支所","茨城県つくばみらい市中平柳336-1","35.938674","140.042402"
"開智望小学校・開智望中等教育学校","茨城県つくばみらい市筒戸3400","35.966775","139.98635"
"伊奈東中学校","茨城県つくばみらい市南太田254","35.972917","140.059082"
"伊奈東小学校","茨城県つくばみらい市板橋2379","35.981991","140.054576"
"板橋コミュニティセンター","茨城県つくばみらい市板橋2675-1","35.981344","140.058817"
