"施設名","所在地","緯度","経度"
"井原小学校","岡山県井原市井原町1113-1","34.60356","133.461771"
"井原幼稚園","岡山県井原市井原町1123-5","34.603085","133.462092"
"井原市立高等学校","岡山県井原市井原町1151","34.602387","133.462766"
"袋田公園","岡山県井原市井原町116","34.595985","133.465394"
"井原公民館","岡山県井原市井原町1243-1","34.603992","133.460293"
"井原高等学校","岡山県井原市井原町1802","34.604471","133.456217"
"井原市民会館","岡山県井原市井原町311-1","34.598053","133.464303"
"田中苑","岡山県井原市井原町326","34.598616","133.463913"
"向町公園","岡山県井原市井原町3557-1","34.609256","133.45572"
"倉掛公園","岡山県井原市井原町50","34.59708","133.469176"
"稲倉小学校","岡山県井原市下稲木町888","34.56872","133.463593"
"稲倉公民館","岡山県井原市下稲木町912-3","34.567978","133.464155"
"稲倉幼稚園","岡山県井原市下稲木町949-6","34.568272","133.463027"
"出部西部公園","岡山県井原市下出部町1-101-1","34.586746","133.440399"
"大曲公園","岡山県井原市下出部町1-101-2","34.586648","133.443777"
"井原リフレッシュ公園（静のゾーン）","岡山県井原市下出部町1141-1","34.580762","133.444987"
"馬引公園","岡山県井原市下出部町2-101-1","34.579916","133.438144"
"水掻公園","岡山県井原市下出部町2-101-2","34.583686","133.440529"
"株式会社イズミゆめタウン井原店","岡山県井原市下出部町2-11-2","34.583034","133.439568"
"定信公園","岡山県井原市高屋町1-101-1","34.576831","133.425099"
"高屋幼稚園","岡山県井原市高屋町1417","34.585089","133.43072"
"高屋小学校","岡山県井原市高屋町1998","34.587793","133.428521"
"橋詰公園","岡山県井原市高屋町2-101-1","34.57814","133.430706"
"高屋中学校","岡山県井原市高屋町2-9-1","34.579233","133.43014"
"坊地公園","岡山県井原市高屋町4-101-2","34.58117","133.435625"
"高屋公民館","岡山県井原市高屋町4-25-2","34.580293","133.436416"
"高屋南公園","岡山県井原市高屋町5-101-1","34.57856","133.435387"
"田渕公園","岡山県井原市笹賀町2-101-1","34.590166","133.442409"
"白海公園","岡山県井原市笹賀町2-101-2","34.591816","133.444415"
"横田公園","岡山県井原市笹賀町2-101-3","34.590406","133.445957"
"ジャンボ井原店","岡山県井原市笹賀町2-20-1","34.589202","133.444206"
"地場産業振興センター","岡山県井原市七日市町10","34.596092","133.467957"
"アクティブライフ井原","岡山県井原市七日市町12-1","34.595718","133.468097"
"七日市公園","岡山県井原市七日市町201","34.593799","133.470677"
"出部公民館","岡山県井原市上出部町1219-2","34.591441","133.459525"
"井原運動公園","岡山県井原市上出部町1583","34.590701","133.463412"
"井原体育館","岡山県井原市上出部町1671-1","34.588463","133.462637"
"出部小学校","岡山県井原市上出部町235-1","34.593283","133.458953"
"出部幼稚園","岡山県井原市上出部町318","34.593239","133.459544"
"上出部公園","岡山県井原市上出部町603","34.593214","133.466559"
"勤労者体育センター","岡山県井原市上出部町658-1","34.592264","133.466383"
"井原保健センター","岡山県井原市上出部町658-2","34.592442","133.466705"
"井原市グラウンド・ゴルフ場","岡山県井原市上出部町四季が丘20-2","34.58484","133.466617"
"ふれあいセンター","岡山県井原市神代町2192-1","34.60088","133.52214"
"西江原公民館・西江原幼児園","岡山県井原市西江原町1414","34.600463","133.48648"
"興譲館高等学校体育館","岡山県井原市西江原町1644-1","34.602253","133.476858"
"井原中学校","岡山県井原市西江原町2000","34.603784","133.470988"
"神戸公民館","岡山県井原市西江原町2352","34.603488","133.476962"
"立戸公園","岡山県井原市西江原町2944","34.602849","133.483143"
"亀迫城山公園","岡山県井原市西江原町409-5","34.605232","133.491845"
"西江原小学校","岡山県井原市西江原町567-1","34.600175","133.487536"
"青野小学校","岡山県井原市青野町2507-1","34.626437","133.470593"
"青野幼稚園","岡山県井原市青野町2575-1","34.625374","133.470204"
"青野公民館","岡山県井原市青野町3393","34.62475","133.470787"
"葡萄浪漫館","岡山県井原市青野町3535-3","34.625134","133.478183"
"相原公園","岡山県井原市大江町1096-13","34.577205","133.453305"
"井原リフレッシュ公園（動のゾーン）","岡山県井原市大江町1419-2","34.579169","133.451135"
"大江小学校","岡山県井原市大江町2886","34.570881","133.441911"
"大江幼稚園","岡山県井原市大江町2953","34.572106","133.441978"
"大江公民館","岡山県井原市大江町2965-3","34.572961","133.44137"
"青木公園","岡山県井原市東江原町1341-4","34.596237","133.500448"
"荏原小学校","岡山県井原市東江原町2584","34.602217","133.512724"
"荏原幼稚園","岡山県井原市東江原町2788-1","34.602268","133.511832"
"荏原公民館","岡山県井原市東江原町2803-1","34.601444","133.51149"
"早雲の里交流センター","岡山県井原市東江原町855-1","34.597246","133.507796"
"宇戸谷公民館","岡山県井原市美星町宇戸谷2058","34.710266","133.576465"
"宇頭公民館","岡山県井原市美星町烏頭229-2","34.691675","133.5781"
"向組公民館","岡山県井原市美星町黒忠1997-1","34.681557","133.513365"
"八日市公会堂","岡山県井原市美星町黒忠3049-1","34.682369","133.493233"
"宗安公民館","岡山県井原市美星町黒忠3653","34.69214","133.5018"
"加谷公民館","岡山県井原市美星町黒忠4757-1","34.691632","133.489798"
"本村城平公民館","岡山県井原市美星町黒忠862","34.687564","133.506811"
"黒木公民館","岡山県井原市美星町黒木39-2","34.632807","133.526222"
"美星公民館","岡山県井原市美星町三山1043-1","34.68317","133.541993"
"三山第２公民館","岡山県井原市美星町三山2410-2","34.688817","133.549974"
"三山第３公民館","岡山県井原市美星町三山4452-2","34.681798","133.548396"
"三山第１公民館","岡山県井原市美星町三山976-2","34.68304","133.538459"
"美星中学校","岡山県井原市美星町星田1","34.677018","133.529491"
"星の郷ふれあいセンター","岡山県井原市美星町星田2-10","34.675925","133.530113"
"美星海洋センター","岡山県井原市美星町星田2-14","34.675854","133.527025"
"東星田公民館","岡山県井原市美星町星田2997-2","34.661324","133.51184"
"北星田農村公園","岡山県井原市美星町星田4385-1","34.674812","133.499341"
"北星田公民館","岡山県井原市美星町星田4978-5","34.673374","133.496074"
"西星田公民館","岡山県井原市美星町星田7153-2","34.651413","133.500918"
"美星小学校","岡山県井原市美星町西水砂20","34.672232","133.532789"
"美星農村環境改善センター","岡山県井原市美星町西水砂2474-1","34.672893","133.533501"
"老人憩の家","岡山県井原市美星町西水砂2474-1","34.673511","133.533355"
"すぱーく美星","岡山県井原市美星町西水砂2474-4","34.673094","133.532585"
"西水砂公民館","岡山県井原市美星町西水砂258","34.660149","133.533629"
"大倉公民館","岡山県井原市美星町大倉1509-2","34.675564","133.55276"
"美星幼稚園","岡山県井原市美星町大倉2456-5","34.674363","133.533723"
"東水砂公民館","岡山県井原市美星町東水砂819-2","34.658599","133.551567"
"鷹山公民館","岡山県井原市美星町明治1527-2","34.693396","133.519862"
"六部落公民館","岡山県井原市美星町明治3172-8","34.709415","133.536667"
"美星運動場","岡山県井原市美星町明治330-2","34.676599","133.525482"
"星の郷テニス場","岡山県井原市美星町明治330-4","34.675261","133.525131"
"黒萩公民館","岡山県井原市美星町明治5481-2","34.705533","133.547972"
"水名公民館","岡山県井原市美星町明治7800-1","34.740421","133.542553"
"宇戸川コミュニティハウス","岡山県井原市芳井町宇戸川2208-6","34.648752","133.448879"
"芳井公民館共和分館","岡山県井原市芳井町下鴫2546","34.68607","133.407272"
"旧共和小学校","岡山県井原市芳井町下鴫2962-1","34.684359","133.409055"
"花滝コミュニティハウス","岡山県井原市芳井町花滝2730","34.671905","133.478715"
"明治ごんぼう村ふれあい広場","岡山県井原市芳井町花滝3712-3","34.666825","133.468664"
"梶江コミュニティハウス","岡山県井原市芳井町梶江531-1","34.621054","133.443233"
"芳井体育館","岡山県井原市芳井町吉井1675","34.630178","133.425813"
"芳井運動場","岡山県井原市芳井町吉井1851-1","34.628793","133.423576"
"西吉井コミュニティハウス","岡山県井原市芳井町吉井1927-3","34.628441","133.421857"
"芳井中学校","岡山県井原市芳井町吉井4052","34.627253","133.432691"
"芳井生涯学習センター","岡山県井原市芳井町吉井4058-1","34.626092","133.433046"
"芳井幼稚園","岡山県井原市芳井町吉井4103-1","34.628939","133.432665"
"芳井公民館","岡山県井原市芳井町吉井4103-2","34.629248","133.432875"
"芳井小学校","岡山県井原市芳井町吉井4114-1","34.628449","133.432439"
"東吉井コミュニティハウス","岡山県井原市芳井町吉井688","34.633934","133.427972"
"ＪＡ晴れの国岡山　井原芳井支店（２階、３階）","岡山県井原市芳井町吉井97","34.632621","133.435175"
"旧明治小学校","岡山県井原市芳井町種522","34.672061","133.456587"
"旧明治幼稚園","岡山県井原市芳井町種600","34.671401","133.455689"
"芳井公民館明治分館","岡山県井原市芳井町種603-3","34.671236","133.455077"
"上鴫コミュニティハウス","岡山県井原市芳井町上鴫383-3","34.694427","133.400899"
"芳井公民館三原分館","岡山県井原市芳井町西三原1299-1","34.717323","133.392875"
"川相コミュニティハウス","岡山県井原市芳井町川相1391","34.651659","133.410657"
"旧川相小学校","岡山県井原市芳井町川相1461","34.651192","133.40944"
"池井コミュニティハウス","岡山県井原市芳井町池谷1549-1","34.671111","133.430285"
"上市公会堂","岡山県井原市芳井町東三原1067","34.73443","133.397484"
"村入コミュニティハウス","岡山県井原市芳井町東三原3298-5","34.734679","133.367541"
"片塚コミュニティハウス","岡山県井原市芳井町片塚1838-1","34.660121","133.441733"
"与井コミュニティハウス","岡山県井原市芳井町与井132","34.625912","133.436609"
"冨士ベークライト㈱芳井工場　２階食堂","岡山県井原市芳井町与井200","34.62392","133.439539"
"簗瀬コミュニティハウス","岡山県井原市芳井町簗瀬389-2","34.619953","133.43434"
"笹井公園","岡山県井原市木之子町110-2","34.593635","133.493998"
"高月地区コミュニティハウス","岡山県井原市木之子町1971-6","34.584917","133.479867"
"平木公園","岡山県井原市木之子町2872","34.589984","133.49774"
"木之子小学校","岡山県井原市木之子町2946","34.590904","133.500451"
"木之子中学校","岡山県井原市木之子町2957-1","34.590181","133.500924"
"木之子幼稚園","岡山県井原市木之子町3047-1","34.587853","133.498445"
"木之子公民館","岡山県井原市木之子町618","34.589871","133.495942"
"淀農村公園","岡山県井原市門田町3651-1","34.575901","133.493044"
"県主小学校","岡山県井原市門田町649-1","34.570712","133.486765"
"県主幼稚園","岡山県井原市門田町712-1","34.570622","133.485433"
"県主公民館","岡山県井原市門田町745-1","34.571225","133.48682"
