全国地方公共団体コード,ID,地方公共団体名,施設名称,施設名称_カナ,施設名称_英字,スペース名称,スペース名称_カナ,スペース名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,ベビーカー貸出,ベビーカー利用,最大収容人数,面積,机の数,椅子の数,電源口数,音響設備の有無,Wi-Fiの有無,基本料金(円/時間),半日料金,1日料金,料金特記事項,最小利用時間,最大利用時間,予約方法,予約URL,予約電話番号,予約メールアドレス,予約可能最短日,予約可能最長日,即時予約可,駐車場情報,飲食可否,飲食の可否の特記事項,URL,画像,画像_ライセンス,図面,利用規約,キャンセル規定,備考
131237,AA0010000220,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,ホール,ホール,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000221,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,第1楽屋,ダイ1ガクヤ,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000222,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,第2楽屋,ダイ2ガクヤ,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000223,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,第3楽屋,ダイ3ガクヤ,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000224,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,集会室第1,シュウカイシツダイ1,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000225,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,集会室第2,シュウカイシツダイ2,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000226,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,集会室第3,シュウカイシツダイ3,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000227,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,集会室第4,シュウカイシツダイ4,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000228,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,料理講習室,リョウリコウシュウシツ,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000229,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,和室,ワシツ,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000230,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,音楽室第1,オンガクシツダイ1,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000231,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,音楽室第2,オンガクシツダイ2,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000232,東京都江戸川区,東部フレンドホール,トウブフレンドホール,,健康スタジオ,ケンコウスタジオ,,,,江戸川区瑞江２－５－７,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000233,東京都江戸川区,瑞江コミュニティ会館,ミズエコミュニティカイカン,,集会室第1,シュウカイシツダイ1,,,,江戸川区西瑞江３－１８－１,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000234,東京都江戸川区,瑞江コミュニティ会館,ミズエコミュニティカイカン,,集会室第2,シュウカイシツダイ2,,,,江戸川区西瑞江３－１８－１,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000235,東京都江戸川区,瑞江コミュニティ会館,ミズエコミュニティカイカン,,集会室第3,シュウカイシツダイ3,,,,江戸川区西瑞江３－１８－１,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000236,東京都江戸川区,瑞江コミュニティ会館,ミズエコミュニティカイカン,,和室,ワシツ,,,,江戸川区西瑞江３－１８－１,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000237,東京都江戸川区,江戸川コミュニティ会館,エドガワコミュニティカイカン,,レクリエーションホール,レクリエーションホール,,,,江戸川区江戸川２－８,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000238,東京都江戸川区,江戸川コミュニティ会館,エドガワコミュニティカイカン,,集会室第1,シュウカイシツダイ1,,,,江戸川区江戸川２－８,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000239,東京都江戸川区,江戸川コミュニティ会館,エドガワコミュニティカイカン,,集会室第2,シュウカイシツダイ2,,,,江戸川区江戸川２－８,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000240,東京都江戸川区,江戸川コミュニティ会館,エドガワコミュニティカイカン,,集会室第3,シュウカイシツダイ3,,,,江戸川区江戸川２－８,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000241,東京都江戸川区,江戸川コミュニティ会館,エドガワコミュニティカイカン,,親子ひろば,オヤコヒロバ,,,,江戸川区江戸川２－８,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000242,東京都江戸川区,鹿骨区民館,シシボネクミンカン,,ホール,ホール,,,,江戸川区鹿骨１－５４－２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000243,東京都江戸川区,鹿骨区民館,シシボネクミンカン,,集会室すみれ,シュウカイシツスミレ,,,,江戸川区鹿骨１－５４－２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000244,東京都江戸川区,鹿骨区民館,シシボネクミンカン,,集会室りんどう,シュウカイシツリンドウ,,,,江戸川区鹿骨１－５４－２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000245,東京都江戸川区,鹿骨区民館,シシボネクミンカン,,集会室こぎく,シュウカイシツコギク,,,,江戸川区鹿骨１－５４－２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000246,東京都江戸川区,鹿骨区民館,シシボネクミンカン,,集会室すいせん,シュウカイシツスイセン,,,,江戸川区鹿骨１－５４－２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000247,東京都江戸川区,鹿骨区民館,シシボネクミンカン,,フラワーホール,フラワーホール,,,,江戸川区鹿骨１－５４－２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000248,東京都江戸川区,鹿骨区民館,シシボネクミンカン,,音楽室,オンガクシツ,,,,江戸川区鹿骨１－５４－２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000249,東京都江戸川区,鹿骨区民館,シシボネクミンカン,,和室,ワシツ,,,,江戸川区鹿骨１－５４－２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000250,東京都江戸川区,鹿骨区民館,シシボネクミンカン,,くつろぎの間,クツロギノマ,,,,江戸川区鹿骨１－５４－２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000251,東京都江戸川区,鹿骨区民館,シシボネクミンカン,,レクリェーションホール,レクリェーションホール,,,,江戸川区鹿骨１－５４－２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000252,東京都江戸川区,篠崎コミュニティ会館,シノザキコミュニティカイカン,,スポーツルーム,スポーツルーム,,,,江戸川区上篠崎４－２１－８,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000253,東京都江戸川区,篠崎コミュニティ会館,シノザキコミュニティカイカン,,集会室1,シュウカイシツ1,,,,江戸川区上篠崎４－２１－８,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000254,東京都江戸川区,篠崎コミュニティ会館,シノザキコミュニティカイカン,,集会室2,シュウカイシツ2,,,,江戸川区上篠崎４－２１－８,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000255,東京都江戸川区,篠崎コミュニティ会館,シノザキコミュニティカイカン,,和室,ワシツ,,,,江戸川区上篠崎４－２１－８,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000256,東京都江戸川区,篠崎コミュニティホール,シノザキコミュニティホール,,健康スタジオ,ケンコウスタジオ,,,,"江戸川区篠崎町７－２７－１
交通会館篠崎ビル",,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000257,東京都江戸川区,篠崎コミュニティホール,シノザキコミュニティホール,,集会室1,シュウカイシツ1,,,,"江戸川区篠崎町７－２７－１
交通会館篠崎ビル",,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000258,東京都江戸川区,篠崎コミュニティホール,シノザキコミュニティホール,,集会室2,シュウカイシツ2,,,,"江戸川区篠崎町７－２７－１
交通会館篠崎ビル",,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000259,東京都江戸川区,篠崎コミュニティホール,シノザキコミュニティホール,,集会室3,シュウカイシツ3,,,,"江戸川区篠崎町７－２７－１
交通会館篠崎ビル",,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000260,東京都江戸川区,新川さくら館,シンカワサクラカン,,集会室1,シュウカイシツ1,,,,江戸川区船堀７－１５－１２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000261,東京都江戸川区,新川さくら館,シンカワサクラカン,,集会室2,シュウカイシツ2,,,,江戸川区船堀７－１５－１２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
131237,AA0010000262,東京都江戸川区,新川さくら館,シンカワサクラカン,,多目的ホール,タモクテキホール,,,,江戸川区船堀７－１５－１２,,,,,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,インターネット,https://www.shisetsuyoyaku.city.edogawa.tokyo.jp/user/Home,,,,,,,,,,,,,,,
