"施設名","所在地","緯度","経度"
"上野原カントリークラブ駐車場","山梨県上野原市上野原6887","35.659625","139.118241"
"下之街道公民館","神奈川県愛川町角田1413","35.529887","139.312807"
"峰公民館","神奈川県愛川町角田1929-2","35.528931","139.304303"
"愛川中原中学校","神奈川県愛川町角田210","35.528726","139.32575"
"ありんこ高峰作業所駐車場","神奈川県愛川町角田2191-2","35.529062","139.297975"
"戸倉公民館","神奈川県愛川町角田2259-2","35.528282","139.299677"
"角田児童館","神奈川県愛川町角田2469-1","35.528937","139.307763"
"下箕輪公民館","神奈川県愛川町角田3088-4","35.527927","139.318959"
"梅沢公民館","神奈川県愛川町角田332-7","35.53332","139.321181"
"海底公民館","神奈川県愛川町角田4231","35.523819","139.299641"
"小沢児童館（児童遊園地含む）","神奈川県愛川町角田642-1","35.536761","139.332837"
"上小沢公民館（児童遊園地含む）","神奈川県愛川町角田752-6","35.534621","139.326903"
"金屋公民館","神奈川県愛川町三増1590-4","35.544457","139.298444"
"中里公民館","神奈川県愛川町三増1661-6","35.542344","139.3004"
"上三増公民館","神奈川県愛川町三増2060-5","35.548894","139.295501"
"下宿公民館","神奈川県愛川町三増50-4","35.536171","139.308593"
"三増児童館（児童遊園地含む。）","神奈川県愛川町三増591","35.539984","139.303641"
"高峰小学校","神奈川県愛川町三増767","35.534805","139.31196"
"高峰保育園","神奈川県愛川町三増773","35.534626","139.313322"
"神奈川県立愛川高等学校","神奈川県愛川町三増822-1","35.53196","139.31753"
"新宿公民館","神奈川県愛川町三増860-19","35.5327","139.312283"
"春日台保育園","神奈川県愛川町春日台2-11-3","35.524857","139.329044"
"中津第二小学校","神奈川県愛川町春日台2-9-1","35.524391","139.329616"
"春日台会館","神奈川県愛川町春日台3-6-18","35.523986","139.332676"
"菅原小学校","神奈川県愛川町中津1103","35.520919","139.335127"
"上熊坂東公民館","神奈川県愛川町中津1158-6","35.520668","139.333758"
"愛川東中学校","神奈川県愛川町中津1400","35.523411","139.328727"
"大塚児童館","神奈川県愛川町中津1855-3","35.528832","139.333608"
"六倉児童館","神奈川県愛川町中津2273-3","35.529497","139.343037"
"二井坂児童館","神奈川県愛川町中津3724-2","35.509812","139.335437"
"上熊坂児童館","神奈川県愛川町中津386-1","35.518564","139.329506"
"中津南保育園","神奈川県愛川町中津3893","35.507426","139.339073"
"半縄公民館","神奈川県愛川町中津3903-1","35.506473","139.339192"
"中津工業団地第１号公園","神奈川県愛川町中津4043","35.522282","139.34207"
"桜台団地公民館","神奈川県愛川町中津4061-9","35.508735","139.344426"
"楠公民館","神奈川県愛川町中津485-2","35.515765","139.331192"
"熊坂児童館","神奈川県愛川町中津511","35.514189","139.331427"
"坂本体育館（運動場含む）","神奈川県愛川町中津5177","35.500799","139.341627"
"坂本児童館","神奈川県愛川町中津5177-2","35.501021","139.341816"
"中津小学校","神奈川県愛川町中津544","35.511945","139.333428"
"中津保育園","神奈川県愛川町中津544","35.512149","139.334411"
"下谷八菅山児童館","神奈川県愛川町中津6222","35.515618","139.329318"
"下松台公民館","神奈川県愛川町中津690","35.511878","139.335482"
"桜台児童館","神奈川県愛川町中津7341","35.510466","139.340623"
"愛川中学校","神奈川県愛川町田代1395","35.532698","139.287591"
"田代第一町内会事務所","神奈川県愛川町田代1569-1","35.528751","139.284373"
"田代保育園","神奈川県愛川町田代323","35.525612","139.288561"
"田代小学校","神奈川県愛川町田代500","35.527618","139.29111"
"田代児童館","神奈川県愛川町田代４８９－イ","35.52676","139.291591"
"八菅山公民館","神奈川県愛川町八菅山141-3","35.511528","139.325072"
"半原小学校","神奈川県愛川町半原2201","35.539917","139.273611"
"原臼児童館","神奈川県愛川町半原2312-1","35.537917","139.272863"
"両向児童館（児童遊園地含む）","神奈川県愛川町半原2683-5","35.535212","139.269265"
"愛川ソーラー観光広場","神奈川県愛川町半原2891","35.532411","139.267538"
"県立愛川ふれあいの村グラウンド","神奈川県愛川町半原3390","35.538773","139.264432"
"半原公民館","神奈川県愛川町半原4343-3","35.545293","139.267593"
"半原保育園","神奈川県愛川町半原4495-1","35.543572","139.266937"
"宮本児童館","神奈川県愛川町半原4604","35.542059","139.266396"
"細野クラブ中細野児童遊園地","神奈川県愛川町半原481-1","35.531512","139.277861"
"細野児童館","神奈川県愛川町半原498","35.532633","139.277254"
"川北児童館（青少年広場含む）","神奈川県愛川町半原6356","35.545366","139.264628"
"県立あいかわ公園・パークセンター","神奈川県愛川町半原５４２３外","35.540941","139.257015"
"綾西小学校【校庭】","神奈川県綾瀬市綾西1-2-1","35.432975","139.416941"
"綾西小学校【校舎及び体育館】","神奈川県綾瀬市綾西1-2-1","35.433436","139.417042"
"綾西公園","神奈川県綾瀬市綾西2-1800-124","35.43138","139.414287"
"吉岡地区センター【屋外】","神奈川県綾瀬市吉岡2316","35.425876","139.412533"
"春日台中学校【校舎及び体育館】","神奈川県綾瀬市吉岡393-1","35.423015","139.432209"
"春日台中学校【校庭】","神奈川県綾瀬市吉岡393-1","35.423392","139.431677"
"天台小学校【校舎及び体育館】","神奈川県綾瀬市寺尾台1-3-1","35.456221","139.417809"
"天台小学校【校庭】","神奈川県綾瀬市寺尾台1-3-1","35.456654","139.417393"
"寺尾小学校【校舎及び体育館】","神奈川県綾瀬市寺尾南1-3-1","35.447568","139.427666"
"寺尾小学校【校庭】","神奈川県綾瀬市寺尾南1-3-1","35.447608","139.428376"
"県立綾瀬高校【校舎及び体育館】","神奈川県綾瀬市寺尾南1-4-1","35.449264","139.429067"
"県立綾瀬高校【校庭】","神奈川県綾瀬市寺尾南1-4-1","35.449125","139.428021"
"綾北小学校【校庭】","神奈川県綾瀬市寺尾本町3-10-1","35.45591","139.426936"
"綾北小学校【校舎及び体育館】","神奈川県綾瀬市寺尾本町3-10-1","35.456455","139.426672"
"早園小学校【校舎及び体育館】","神奈川県綾瀬市小園420","35.450302","139.412523"
"早園小学校【校庭】","神奈川県綾瀬市小園420","35.449918","139.412572"
"綾南小学校【校庭】","神奈川県綾瀬市上土棚中1-12-19","35.417923","139.446953"
"綾南保育園【園庭】","神奈川県綾瀬市上土棚南1-4-17","35.414601","139.44681"
"土棚小学校【校庭】","神奈川県綾瀬市上土棚南6-1-1","35.411668","139.442732"
"土棚小学校【校舎及び体育館】","神奈川県綾瀬市上土棚南6-1-1","35.411432","139.442248"
"市民スポーツセンター【陸上競技場】","神奈川県綾瀬市深谷上3-6-1","35.44414","139.428082"
"綾北中学校【校舎及び体育館】","神奈川県綾瀬市深谷上4-4-1","35.449273","139.431681"
"綾北中学校【校庭】","神奈川県綾瀬市深谷上4-4-1","35.4486","139.431161"
"光綾公園","神奈川県綾瀬市深谷上4-5234","35.447326","139.431837"
"綾瀬小学校【校舎及び体育館】","神奈川県綾瀬市深谷中5-1-1","35.438763","139.434051"
"綾瀬小学校【校庭】","神奈川県綾瀬市深谷中5-1-1","35.439322","139.434255"
"綾瀬中学校【校舎及び体育館】","神奈川県綾瀬市深谷南2-3-1","35.43066","139.439241"
"綾瀬中学校【校庭】","神奈川県綾瀬市深谷南2-3-1","35.430017","139.43949"
"藤沢ゴルフクラブ","神奈川県綾瀬市深谷南7-2-1","35.427802","139.442082"
"藤沢ゴルフクラブ","神奈川県綾瀬市深谷南7-2-1","35.42795","139.44128"
"県立綾瀬西高校【校庭】","神奈川県綾瀬市早川1485-1","35.437356","139.412302"
"県立綾瀬西高校【校舎及び体育館】","神奈川県綾瀬市早川1485-1","35.436281","139.412517"
"城山中学校【校舎及び体育館】","神奈川県綾瀬市早川2230","35.439113","139.415617"
"城山中学校【校庭】","神奈川県綾瀬市早川2230","35.439057","139.414767"
"早園地区センター【屋外】","神奈川県綾瀬市早川2934","35.442356","139.411786"
"城山公園","神奈川県綾瀬市早川城山3-4-1","35.438539","139.419854"
"風車公園","神奈川県綾瀬市大上2-555-9","35.460195","139.425524"
"北の台小学校【校舎及び体育館】","神奈川県綾瀬市大上9-14-1","35.465492","139.434569"
"北の台小学校【校庭】","神奈川県綾瀬市大上9-14-1","35.46594","139.434589"
"落合小学校【校庭】","神奈川県綾瀬市落合北3-10-1","35.420736","139.434817"
"落合小学校【校舎及び体育館】","神奈川県綾瀬市落合北3-10-1","35.421132","139.434792"
"北の台中学校【校舎及び体育館】","神奈川県綾瀬市蓼川1-2-1","35.461613","139.435424"
"北の台中学校【校庭】","神奈川県綾瀬市蓼川1-2-1","35.462398","139.434966"
"粟田小学校グランド","神奈川県横須賀市ハイランド2-41-1","35.223249","139.684978"
"大楠中学校グランド","神奈川県横須賀市芦名1-2-1","35.23063","139.615312"
"安針台第２公園","神奈川県横須賀市安針台18","35.281898","139.642238"
"長浦小学校グランド","神奈川県横須賀市安針台3-1","35.288474","139.645942"
"三笠公園","神奈川県横須賀市稲岡町82","35.286457","139.673865"
"浦賀中学校グランド","神奈川県横須賀市浦賀3-26-1","35.251218","139.70975"
"浦賀小学校グランド","神奈川県横須賀市浦賀3-8-1","35.250574","139.713988"
"夏島小学校グランド","神奈川県横須賀市浦郷町4-35","35.315978","139.634114"
"神奈川歯科大学グランド","神奈川県横須賀市浦上台4-1","35.256597","139.713994"
"荻野小学校グランド","神奈川県横須賀市荻野8-1","35.226324","139.628315"
"追浜中学校グランド","神奈川県横須賀市夏島町12","35.318946","139.633311"
"県立追浜高校グランド","神奈川県横須賀市夏島町13","35.321278","139.633213"
"追浜公園","神奈川県横須賀市夏島町2","35.317392","139.635043"
"旧上の台中学校グランド","神奈川県横須賀市鴨居2-55-15","35.248721","139.731224"
"鴨居小学校グランド","神奈川県横須賀市鴨居3-1-6","35.25111","139.732521"
"鴨居中学校グランド","神奈川県横須賀市鴨居3-2-2","35.253098","139.733834"
"横須賀美術館","神奈川県横須賀市鴨居4-1","35.25962","139.738003"
"岩戸中学校グランド","神奈川県横須賀市岩戸5-6-3","35.227965","139.667762"
"県立岩戸養護学校グランド","神奈川県横須賀市岩戸5-6-5","35.226235","139.66729"
"久里浜中学校グランド","神奈川県横須賀市久里浜2-11-1","35.229528","139.698297"
"横須賀総合高校グランド","神奈川県横須賀市久里浜6-1-1","35.226382","139.708825"
"久里浜小学校グランド","神奈川県横須賀市久里浜6-6-1","35.228884","139.707232"
"明浜小学校グランド","神奈川県横須賀市久里浜6-7-1","35.227828","139.706247"
"県立横須賀高校グランド","神奈川県横須賀市公郷町3-117","35.256917","139.670315"
"県立横須賀工業高校グランド","神奈川県横須賀市公郷町4-10","35.253778","139.677017"
"公郷小学校グランド","神奈川県横須賀市公郷町4-5","35.255467","139.674767"
"公郷中学校グランド","神奈川県横須賀市公郷町5-81","35.257542","139.678997"
"佐原２丁目公園","神奈川県横須賀市佐原2-2-10","35.242399","139.684581"
