"緊急避難場所","施設名称","住所","地震・大火","津波","備考","経度","緯度","分類"
"○","鷹取駅北公園","神戸市須磨区大池町5-7","○","○","","135.1354231","34.6544838633476","屋外の緊急避難場所"
"○","塩屋中学校グラウンド","神戸市垂水区塩屋町字大谷","○","○","","135.0775417","34.6434643333327","屋外の緊急避難場所"
"○","青山台東公園","神戸市垂水区青山台4-1","○","○","","135.0756724","34.6427532333318","屋外の緊急避難場所"
"○","平磯芝生公園","神戸市垂水区平磯1","○","×","《津波時》念のため海岸から離れること。","135.0616837","34.6275435733112","屋外の緊急避難場所"
"○","平磯緑地","神戸市垂水区平磯1","○","×","《津波時》念のため海岸から離れること。","135.0631429","34.6283734433124","屋外の緊急避難場所"
"○","マリンピア神戸","神戸市垂水区海岸通12","○","×","《津波時》念のため海岸から離れること。※工事中のため一部使用できません","135.049261","34.6264270333097","屋外の緊急避難場所"
"○","アジュール舞子","神戸市垂水区海岸通11","○","×","《津波時》念のため海岸から離れること。","135.0376812","34.628840433313","屋外の緊急避難場所"
"○","舞子墓園","神戸市垂水区舞子陵1-1","○","○","","135.0459026","34.6470497333376","屋外の緊急避難場所"
"○","舞子中学校グラウンド","神戸市垂水区狩口台3-1-1","○","○","","135.0295985","34.6494212033407","屋外の緊急避難場所"
"○","西舞子小学校グラウンド","神戸市垂水区狩口台3-1-2","○","○","","135.0307916","34.6492533533405","屋外の緊急避難場所"
"○","矢元台公園","神戸市垂水区狩口台2-7","○","○","","135.0256817","34.6494765333408","屋外の緊急避難場所"
