"施設名","所在地","緯度","経度"
"増戸会館","東京都あきる野市伊奈1157-5","35.72746","139.247614"
"増戸小学校体育館","東京都あきる野市伊奈1173","35.727505","139.248007"
"増戸小学校校庭","東京都あきる野市伊奈1173","35.727818","139.248575"
"増戸中学校体育館","東京都あきる野市伊奈1181","35.727987","139.250407"
"増戸中学校校庭","東京都あきる野市伊奈1181","35.727825","139.249694"
"森の下公園","東京都あきる野市伊奈851-2","35.72923","139.255823"
"五日市ファインプラザ","東京都あきる野市伊奈859-3","35.729313","139.255406"
"楓ヶ原会館","東京都あきる野市引田512-2","35.723869","139.268527"
"一の谷児童館","東京都あきる野市引田928","35.720086","139.271012"
"一の谷小学校体育館","東京都あきる野市引田980","35.720728","139.27237"
"一の谷小学校校庭","東京都あきる野市引田980","35.719801","139.272156"
"いきいきセンター","東京都あきる野市雨間1946","35.716645","139.291498"
"南秋留児童館","東京都あきる野市雨間801-2","35.720744","139.292066"
"南秋留小学校体育館","東京都あきる野市雨間810","35.720774","139.293468"
"南秋留小学校校庭","東京都あきる野市雨間810","35.720495","139.292906"
"鳥居場会館","東京都あきる野市雨間999-2","35.719897","139.295955"
"小宮ふるさと自然体験学校校庭","東京都あきる野市乙津1984","35.733997","139.183517"
"小宮ふるさと自然体験学校体育館","東京都あきる野市乙津1984","35.734217","139.184019"
"小宮ふるさと自然体験学校２・３Ｆ","東京都あきる野市乙津1984","35.734136","139.183349"
"小宮会館","東京都あきる野市乙津1997","35.733712","139.183"
"ふるさと工房五日市","東京都あきる野市乙津671","35.723404","139.179457"
"市民球場","東京都あきる野市原小宮353","35.736924","139.300373"
"戸倉会館","東京都あきる野市戸倉133-4","35.72612","139.204675"
"アートスタジオ五日市","東京都あきる野市戸倉300","35.726995","139.204001"
"戸倉しろやまテラスグラウンド","東京都あきる野市戸倉325","35.725771","139.204407"
"戸倉しろやまテラス体育館","東京都あきる野市戸倉325","35.725542","139.20394"
"戸倉運動場","東京都あきる野市戸倉611-1","35.729765","139.199122"
"五日市小学校体育館","東京都あきる野市五日市315","35.731535","139.222972"
"五日市小学校校庭","東京都あきる野市五日市315","35.731303","139.222393"
