"施設名","所在地","緯度","経度"
"江名中学校校庭","福島県いわき市永崎字館1","36.958585","140.941241"
"永崎小学校校舎","福島県いわき市永崎字川畑159-5","36.955383","140.937171"
"稲荷神社","福島県いわき市永崎字川畑220","36.957869","140.93891"
"遠野市民運動場","福島県いわき市遠野町上遠野字久保作34","37.002954","140.741138"
"旧県立いわき湯本高等学校遠野校舎校庭","福島県いわき市遠野町上遠野字赤坂10-1","37.004085","140.740966"
"遠野小学校校庭","福島県いわき市遠野町上遠野字本町68","37.008941","140.747487"
"入遠野中学校校庭","福島県いわき市遠野町上根本字荒神平20","37.031963","140.71663"
"旧入遠野小学校校庭","福島県いわき市遠野町入遠野字前田142","37.036754","140.707938"
"立地区高台","福島県いわき市久之浜町久之浜字館ノ山地内","37.147646","140.999874"
"龍光寺","福島県いわき市久之浜町久之浜字後原68","37.136844","140.995574"
"久之浜第一小学校校庭","福島県いわき市久之浜町久之浜字糠塚3-1","37.142937","140.993002"
"市営住宅久之浜東団地","福島県いわき市久之浜町久之浜字川田23","37.148725","140.996066"
"久之浜中学校校庭","福島県いわき市久之浜町久之浜字大場72-1","37.145167","140.987134"
"いわき市地域防災交流センター　久之浜・大久ふれあい館","福島県いわき市久之浜町久之浜字中町32","37.141516","140.997892"
"久之浜市民運動場","福島県いわき市久之浜町金ケ沢字北磯脇29-2","37.152737","140.99967"
"三嶋神社","福島県いわき市久之浜町田之網字横内93","37.121674","140.995887"
"福島県いわき海浜自然の家駐車場","福島県いわき市久之浜町田之網字向山53","37.121013","140.983848"
"江之網集会所","福島県いわき市久之浜町田之網字江之網106","37.114707","140.996061"
"円成院","福島県いわき市久之浜町田之網字西ノ内58-2","37.12571","140.993078"
"翠祥園","福島県いわき市久之浜町末続字深谷33-1","37.166559","140.999722"
"末続集会所","福島県いわき市久之浜町末続字鍋田49-2","37.178656","140.991598"
"郷ケ丘小学校校庭","福島県いわき市郷ケ丘3-50-18","37.029079","140.913065"
"市営住宅錦団地","福島県いわき市錦町鵜ノ巣23","36.902764","140.791621"
