"施設名","所在地","緯度","経度"
"安来港公園","島根県安来市安来町","35.429552","133.259021"
"とかみ公園","島根県安来市安来町","35.43026","133.25798"
"和鋼博物館","島根県安来市安来町1058","35.435283","133.253713"
"安来市立図書館","島根県安来市安来町1062-1","35.435503","133.252929"
"社日交流センター","島根県安来市安来町1281-1","35.422698","133.247876"
"市民体育館","島根県安来市安来町1337-1","35.424361","133.248484"
"十神地区学習等供用施設","島根県安来市安来町1931-1","35.428687","133.255939"
"観光交流プラザ（２Ｆギャラリー）","島根県安来市安来町2093-3","35.428211","133.259417"
"十神小学校（校舎）","島根県安来市安来町843-3","35.429098","133.247726"
"十神小学校（体育館）","島根県安来市安来町843-3","35.429575","133.247565"
"十神小学校（グラウンド）","島根県安来市安来町843-3","35.429814","133.248118"
"松永医院跡地","島根県安来市安来町858-8","35.43003","133.249229"
"防災研修棟","島根県安来市安来町878-1","35.430355","133.2504"
"市民広場","島根県安来市安来町878-1","35.430513","133.25092"
"安来中央交流センター","島根県安来市安来町896-1","35.431662","133.251411"
"宇賀荘幼稚園","島根県安来市宇賀荘町323-1","35.393547","133.263981"
"宇賀荘交流センター","島根県安来市宇賀荘町98-1","35.395436","133.26294"
"安来運動公園陸上競技場","島根県安来市吉岡町450","35.410223","133.256232"
"第二中学校（校舎）","島根県安来市吉岡町7","35.397509","133.248161"
"第二中学校（体育館）","島根県安来市吉岡町7","35.398034","133.247936"
"第二中学校（グラウンド）","島根県安来市吉岡町7","35.396967","133.247721"
"古代出雲王陵の丘　塩津山公園","島根県安来市久白町","35.425675","133.207985"
"社日小学校（グラウンド）","島根県安来市宮内町101","35.422995","133.248992"
"社日小学校（校舎）","島根県安来市宮内町101","35.422216","133.248581"
"社日小学校（体育館）","島根県安来市宮内町101","35.422601","133.248241"
"養護老人ホーム鴨来荘","島根県安来市月坂町563","35.41293","133.244138"
"安来節演芸館","島根県安来市古川町534","35.381111","133.197323"
"旧宇波小学校体育館","島根県安来市広瀬町宇波482-2","35.311085","133.191218"
"宇波交流センター","島根県安来市広瀬町宇波482-2","35.310998","133.191636"
"旧奥田原小学校体育館","島根県安来市広瀬町奥田原479","35.283938","133.077544"
"旧奥田原小学校","島根県安来市広瀬町奥田原479","35.283851","133.077877"
"奥田原交流センター","島根県安来市広瀬町奥田原602-1","35.27961","133.077098"
