13．守山区,,"令和6年4月1日現在
名古屋市が設置した都市公園",,
1.都市公園,,,,
No.,名　　称,所　　在　　地,"面積
（ha）","開園
年度"
1,天神橋緑地,"守山区瀬古一丁目、大字瀬古字高見、
　　大字守山字川田
北区上飯田東町２丁目、５丁目
　　上飯田北町４丁目、
　　辻町６丁目、字古新田、山田北町１丁目、
85,釜ヶ洞公園,守山区笹ヶ根一丁目,0.19 ,H15
86,平池北公園,守山区平池東,0.06 ,H15
87,平池南公園,守山区平池東,0.04 ,H15
88,太鼓ヶ根南公園,守山区百合が丘,0.25 ,H15
89,吉根仲田公園,守山区吉根一丁目,0.35 ,H15
90,下江公園,守山区吉根三丁目,0.25 ,H15
91,平池東公園,守山区花咲台二丁目,0.22 ,H15
92,太鼓ヶ根北公園,守山区鼓が丘二丁目,0.32 ,H15
93,平池緑地,守山区花咲台一丁目,0.11 ,H16
94,太鼓ヶ根緑地,"守山区花咲台二丁目、鼓が丘二丁目、
　　百合が丘、青山台",1.01 ,H16
95,日ノ後緑地,守山区日の後、泉が丘,0.46 ,H16
96,山島公園,守山区吉根二丁目,0.35 ,H17
97,日ノ後池公園,守山区泉が丘,1.99 ,H18
98,幸心なかよし公園,守山区幸心三丁目,0.09 ,H18
99,釜ヶ洞北公園,守山区吉根南,1.50 ,H19
100,吉根公園,守山区吉根三丁目,1.56 ,H19
101,小幡駅南公園,守山区小幡駅南一丁目,0.18 ,H19
102,平池中央公園,守山区平池東,1.65 ,H20
103,風越池緑地,守山区桜坂一丁目、桜坂五丁目,0.59 ,H22
104,大牧緑地,守山区大牧町,0.07 ,H23
105,長戸公園,守山区下志段味一丁目,0.23 ,H24
106,東新田公園,守山区下志段味一丁目,0.15 ,H24
107,風越公園,守山区桜坂二丁目,0.30 ,H24
108,島の口公園,守山区下志段味二丁目,0.26 ,H25
109,八竜緑地,守山区大森八龍一丁目,4.37 ,H25
110,下志段味公園,守山区桜坂五丁目,1.63 ,H26
111,しだみ中央公園,"守山区下志段味五丁目、大字中志段味字舟場、
　　字申新田",1.45 ,H27
112,小幡ちよだ公園,守山区小幡千代田,0.09 ,H28
113,しんこうじ公園,守山区下志段味五丁目,0.20 ,H29
114,幸心南公園,守山区幸心一丁目,0.10 ,H31
115,東禅寺公園,守山区東禅寺,0.10 ,H31
116,太鼓ケ根西公園,守山区大字吉根字太鼓ケ根,0.25 ,R2
117,西の原公園,守山区東禅寺,1.55 ,R2
118,葉山西公園,守山区大字上志段味字東谷,0.10 ,R3
119,桜坂公園,守山区桜坂三丁目、大字中志段味字吉田洞,0.58 ,R3
120,西新外公園,守山区下志段味三丁目,0.22 ,R4
121,所下北公園,守山区大字上志段味字東山,0.10 ,R4
